match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_totalTackle,stat_fouls,stat_ownGoals,player_firstName,player_lastName,stat_dispossessed,stat_blockedScoringAttempt,stat_wonTackle,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_errorLeadToAShot
11450064,home,Samsunspor,Okan Kocuk,okan-kocuk,O. Koçuk,G,1,187.0,289,M,190179,EUR,806803200,G,1,1,False,21.0,8.0,16.0,3.0,5.0,6.0,3.0,15.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,25.0,6.3,13.0,0.00260384,0,-0.9127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450064,home,Samsunspor,Zeki Yavru,zeki-yavru,Z. Yavru,D,18,178.0,204,M,140735,EUR,684028800,D,18,18,False,37.0,28.0,6.0,4.0,8.0,11.0,21.0,29.0,2.0,4.0,3.0,3.0,1.0,,90.0,67.0,7.6,15.0,0.183457,2,,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0627,1.0,,,,,,,,,,,,,,,,,,,,
11450064,home,Samsunspor,Ľubomír Šatka,ubomir-satka,Ľ. Šatka,D,37,185.0,293,M,187231,EUR,817862400,D,37,37,False,37.0,28.0,10.0,4.0,19.0,22.0,9.0,15.0,9.0,11.0,6.0,5.0,,,90.0,47.0,7.1,9.0,0.0974232,0,,,,3.0,,1.0,1.0,,1.0,,,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,
11450064,home,Samsunspor,Alim Öztürk,alim-ozturk,A. Öztürk,D,5,190.0,29,M,151074,EUR,721958400,D,5,5,False,42.0,32.0,13.0,7.0,23.0,25.0,9.0,17.0,5.0,7.0,5.0,7.0,1.0,,90.0,52.0,6.9,10.0,0.00661825,0,,,,1.0,,,,,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
11450064,home,Samsunspor,Soner Gönül,soner-gonul,S. Gönül,D,28,177.0,50,M,867727,EUR,865987200,D,28,28,False,29.0,18.0,9.0,3.0,10.0,15.0,8.0,15.0,1.0,3.0,4.0,5.0,1.0,,90.0,61.0,6.7,18.0,0.0138091,1,,1.0,,4.0,1.0,,,,,4.0,,0.0177,1.0,,1.0,1.0,,,,2.0,1.0,1.0,,,,,,,,,,,
11450064,home,Samsunspor,Osman Çelik,osman-celik,O. Çelik,M,88,182.0,13,M,758656,EUR,691200000,M,88,88,False,19.0,14.0,,,4.0,4.0,10.0,15.0,1.0,3.0,,4.0,2.0,,70.0,25.0,6.3,5.0,0.0331055,4,,,,1.0,1.0,,,4.0,,,,0.4053,,,,,,,,,,,True,2.0,,,,,,,,,
11450064,home,Samsunspor,Flavien Tait,flavien-tait,F. Tait,M,,175.0,101,M,312388,EUR,728611200,M,13,13,False,30.0,24.0,3.0,2.0,6.0,7.0,18.0,24.0,,2.0,1.0,5.0,2.0,,45.0,36.0,6.8,8.0,0.024156,0,,1.0,,2.0,,,,,,,1.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,
11450064,home,Samsunspor,Carlo Holse,carlo-holse,C. Holse,M,21,177.0,633,M,837012,EUR,928281600,M,21,21,False,28.0,22.0,4.0,3.0,5.0,5.0,17.0,25.0,,2.0,,1.0,,,81.0,39.0,7.6,9.0,0.0401823,3,,2.0,,2.0,,1.0,1.0,1.0,1.0,,1.0,0.1461,,1.0,1.0,1.0,,,,,,,,1.0,2.0,1.0,1.0,1.0,0.5716,,,,
11450064,home,Samsunspor,Olivier Ntcham,olivier-ntcham,O. Ntcham,M,10,180.0,801,M,352676,EUR,823824000,M,10,10,False,51.0,41.0,6.0,1.0,6.0,6.0,35.0,49.0,2.0,5.0,,5.0,,,90.0,72.0,7.8,21.0,0.324673,4,,4.0,,7.0,,4.0,3.0,1.0,,,2.0,0.4293,2.0,1.0,,1.0,,,,4.0,2.0,,,,1.0,,1.0,,0.329,1.0,,,
11450064,home,Samsunspor,Arbnor Muja,arbnor-muja,A. Muja,M,7,179.0,520,M,890695,EUR,912297600,M,98,98,False,22.0,20.0,,,1.0,2.0,19.0,21.0,,3.0,,6.0,1.0,,57.0,34.0,7.4,4.0,0.26765,1,,1.0,,5.0,2.0,1.0,,,,1.0,,0.0733,3.0,1.0,2.0,1.0,,Arbnor,Muja,,1.0,,,,,,,,,2.0,,,
11450064,home,Samsunspor,Ercan Kara,ercan-kara,E. Kara,F,9,192.0,253,M,843039,EUR,820627200,F,99,99,False,23.0,13.0,,,2.0,3.0,11.0,20.0,8.0,10.0,1.0,1.0,,,81.0,42.0,7.1,19.0,0.0191844,4,,,,11.0,,2.0,2.0,3.0,,,8.0,0.4309,,8.0,,3.0,,,,1.0,1.0,,,,,,,,,,,,
