match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialWon,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_outfielderBlock,stat_unsuccessfulTouch,captain,stat_aerialLost,stat_dispossessed,stat_clearanceOffLine,player_firstName,player_lastName,stat_wonContest,stat_bigChanceMissed,stat_totalOffside,stat_hitWoodwork,stat_goodHighClaim,stat_errorLeadToAShot
11352565,home,Liverpool,Alisson,alisson,Alisson,G,1,193,64760,M,AlissonBecker,243609,EUR,717984000,G,1,1,False,18.0,16.0,2.0,0.0,16.0,17.0,1.0,3.0,1.0,2.0,90.0,21.0,7.2,2.0,0.00010887,0,0.761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352565,home,Liverpool,Trent Alexander-Arnold,trent-alexander-arnold,T. Alexander-Arnold,D,12,180,210733,M,TrentAA,795064,EUR,907718400,D,66,66,False,43.0,42.0,7.0,0.0,7.0,7.0,41.0,8.0,,,70.0,69.0,8.1,9.0,0.140005,4,,7.0,37.0,5.0,2.0,6.0,4.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,0.2957,3.0,,,,,,,,,,,,,,,,,,
11352565,home,Liverpool,Jarell Quansah,jarell-quansah,J. Quansah,D,4,190,10315,M,jarellquansah,1003339,EUR,1043798400,D,78,78,False,74.0,67.0,7.0,0.0,25.0,28.0,46.0,4.0,,,90.0,86.0,8.7,8.0,0.0270037,2,,6.0,42.0,,,1.0,6.0,,,,,,2.0,3.0,2.0,,1.0,0.8141,1.0,3.0,2.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,
11352565,home,Liverpool,Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,4,195,98613,M,VvD,151545,EUR,678931200,D,4,4,False,67.0,63.0,5.0,0.0,33.0,33.0,34.0,5.0,,,90.0,79.0,8.1,6.0,0.0250684,5,,1.0,30.0,,,4.0,4.0,,1.0,,2.0,1.0,3.0,,,,1.0,0.2481,,4.0,2.0,,1.0,1.0,,True,1.0,1.0,1.0,,,,,,,,
11352565,home,Liverpool,Andrew Robertson,andrew-robertson,A. Robertson,D,26,178,24820,M,andyrobertson94,262911,EUR,763344000,D,26,26,False,89.0,84.0,4.0,0.0,23.0,24.0,71.0,8.0,,,90.0,104.0,8.4,10.0,0.782571,0,,2.0,64.0,6.0,3.0,3.0,3.0,2.0,1.0,1.0,,,,1.0,,,,,7.0,1.0,,,,,1.0,,,1.0,,,,1.0,,,,,
11352565,home,Liverpool,Harvey Elliott,harvey-elliott,H. Elliott,M,9,170,21132,M,harvelliott,955245,EUR,1049414400,M,19,19,False,70.0,65.0,6.0,1.0,13.0,13.0,64.0,1.0,,,81.0,87.0,8.7,8.0,0.430755,3,,5.0,58.0,7.0,6.0,1.0,3.0,,,1.0,1.0,2.0,,2.0,,1.0,1.0,0.2742,5.0,,,,,,1.0,,,,,,,,,,,,
11352565,home,Liverpool,Wataru Endo,wataru-endo,W. Endo,M,3,178,19869,M,endowataru,143040,EUR,729216000,M,3,3,False,73.0,69.0,,0.0,18.0,21.0,52.0,9.0,,,90.0,87.0,7.0,7.0,0.0391045,1,,,51.0,,,11.0,6.0,6.0,1.0,,,,,3.0,2.0,3.0,3.0,0.0424,2.0,,1.0,,,,1.0,,,1.0,,,,,,,,,
11352565,home,Liverpool,Alexis Mac Allister,alexis-mac-allister,A. Mac Allister,M,10,176,71412,M,Macca10,895324,EUR,914457600,M,10,10,False,42.0,39.0,1.0,0.0,8.0,8.0,34.0,3.0,,,70.0,53.0,8.0,4.0,0.0997178,2,,1.0,31.0,,,,8.0,,,,1.0,,1.0,3.0,2.0,2.0,,0.63,3.0,3.0,1.0,1.0,2.0,,1.0,,,,,,,,1.0,,,,
11352565,home,Liverpool,Mohamed Salah,mohamed-salah,M. Salah,M,11,175,565083,M,MoSalah,159665,EUR,708566400,F,11,11,False,29.0,20.0,,0.0,,1.0,32.0,2.0,,,90.0,54.0,6.8,21.0,0.133002,7,,,20.0,4.0,,6.0,4.0,1.0,4.0,,,2.0,,2.0,2.0,1.0,1.0,1.0663,,,5.0,,,,4.0,,,1.0,,,,1.0,2.0,3.0,,,
11352565,home,Liverpool,Cody Gakpo,cody-gakpo,C. Gakpo,M,18,193,51371,M,CodyGakpo,862967,EUR,926035200,F,18,18,False,34.0,30.0,2.0,0.0,2.0,3.0,32.0,7.0,,,81.0,50.0,7.3,9.0,0.371803,5,,2.0,28.0,1.0,,7.0,5.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,,2.0,1.0,0.8803,1.0,2.0,1.0,,,,2.0,,1.0,1.0,,,,,1.0,,,,
