match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialWon,stat_challengeLost,player_sofascoreId,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_totalCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_goals,captain,stat_bigChanceCreated,stat_hitWoodwork,stat_penaltyWon,stat_totalOffside,stat_bigChanceMissed,stat_penaltyFaced,stat_outfielderBlock,stat_penaltyConceded
12514044,home,Sporting CP,Franco Israel,franco-israel,F. Israel,G,81,189,2282,M,1084846,EUR,956361600,G,1,1,False,13.0,13.0,2.0,2.0,0.0,12.0,12.0,1.0,1.0,5.0,3.0,3.0,1.0,1.0,90.0,18.0,7.4,1.0,0.00041533,0,0.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514044,home,Sporting CP,Eduardo Quaresma,eduardo-quaresma,E. Quaresma,D,72,185,2167,M,989841,EUR,1015027200,D,72,72,False,96.0,94.0,1.0,,0.0,19.0,19.0,75.0,77.0,7.0,,,,,76.0,106.0,7.3,3.0,0.0667797,0,,Eduardo,Quaresma,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12514044,home,Sporting CP,Zeno Debast,zeno-debast,Z. Debast,D,6,191,3313,M,1126512,EUR,1066867200,D,6,6,False,98.0,91.0,3.0,,0.0,27.0,29.0,64.0,69.0,6.0,,,,,90.0,102.0,7.3,7.0,0.0616714,0,,,,1.0,2.0,3.0,,,1.0,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12514044,home,Sporting CP,Gonçalo Inácio,goncalo-inacio,G. Inácio,D,25,186,6686,M,1001196,EUR,998697600,D,25,25,False,120.0,110.0,4.0,3.0,0.0,16.0,19.0,94.0,101.0,6.0,,,,,68.0,126.0,7.7,10.0,0.209774,1,,Gonçalo,Inácio,1.0,3.0,3.0,,,,,,1.0,2.0,,goncaloinacio_25,1.0,1.0,1.0,1.0,3.0,0.0253,,,,,,,,,,,,,,,,
12514044,home,Sporting CP,Geny Catamo,geny-catamo,G. Catamo,M,10,172,10919,M,1001140,EUR,980467200,M,21,21,False,39.0,36.0,2.0,,0.0,4.0,4.0,32.0,37.0,3.0,,,,,68.0,53.0,7.0,9.0,0.144107,3,,,,,3.0,2.0,2.0,1.0,,1.0,,,1.0,,,,,,,1.0,0.0765,2.0,1.0,1.0,2.0,0.0593,,,,,,,,,,,
12514044,home,Sporting CP,Daniel Bragança,daniel-braganca,D. Bragança,M,23,178,1406,M,861979,EUR,927763200,M,23,23,False,86.0,83.0,2.0,2.0,0.0,13.0,14.0,71.0,74.0,5.0,,,,,90.0,102.0,8.1,9.0,0.198987,2,,Daniel,Bragança,1.0,6.0,3.0,3.0,2.0,,,1.0,4.0,,,,,,,,2.0,0.6612,2.0,3.0,1.0,1.0,0.9822,1.0,1.0,,,,,,,,,
12514044,home,Sporting CP,Morten Hjulmand,hjulmand-morten,M. Hjulmand,M,42,185,4443,M,859917,EUR,930268800,M,42,42,False,97.0,88.0,4.0,2.0,0.0,11.0,12.0,77.0,86.0,3.0,,,,,90.0,102.0,7.8,10.0,0.181516,1,,Morten,Hjulmand,,1.0,4.0,,,,,1.0,2.0,1.0,1.0,,,,2.0,2.0,,0.0236,1.0,,1.0,,0.1557,,,True,,,,,,,,
12514044,home,Sporting CP,Maximiliano Araújo,maximiliano-araujo,M. Araújo,M,20,179,3576,M,929193,EUR,950572800,M,20,20,False,28.0,26.0,,,0.0,3.0,3.0,25.0,31.0,3.0,,,,,64.0,46.0,7.2,6.0,0.084733,2,,Maximiliano,Araújo,,1.0,3.0,1.0,1.0,,,2.0,2.0,,,,2.0,,,,1.0,0.1414,6.0,,,,,2.0,,,,,,,,,,
12514044,home,Sporting CP,Francisco Trincão,francisco-trincao,F. Trincão,F,17,184,11949,M,830431,EUR,946425600,F,17,17,False,48.0,42.0,,,1.0,1.0,1.0,41.0,50.0,3.0,,,,,90.0,82.0,7.8,22.0,0.634488,6,,Francisco,Trincão,,7.0,8.0,6.0,3.0,,5.0,2.0,2.0,2.0,1.0,trincao,2.0,,1.0,1.0,,0.2509,3.0,3.0,,4.0,,,,,1.0,1.0,,,,,,
12514044,home,Sporting CP,Viktor Gyökeres,viktor-gyokeres,V. Gyökeres,F,14,187,198098,M,804508,EUR,896918400,F,9,9,False,19.0,16.0,,,0.0,2.0,2.0,14.0,18.0,,,,,,90.0,35.0,7.8,9.0,0.0835495,3,,,,,3.0,3.0,2.0,,,2.0,2.0,2.0,1.0,,VGyökeres,,3.0,,,,0.9264,1.0,1.0,2.0,1.0,0.8314,,1.0,,,,1.0,1.0,,,,
12514044,home,Sporting CP,Conrad Harder,harder-conrad,C. Harder,F,11,186,4727,M,1494826,EUR,1112832000,F,19,19,False,20.0,16.0,1.0,1.0,0.0,,,16.0,22.0,,,,,,45.0,37.0,6.6,12.0,0.0226904,4,,,,,6.0,2.0,3.0,1.0,,,1.0,,,,,2.0,1.0,,,,0.1162,2.0,4.0,,2.0,,,,,,,,,,,,
12514044,home,Sporting CP,Hidemasa Morita,hidemasa-morita,H. Morita,M,5,177,3106,M,926560,EUR,800064000,M,5,5,True,44.0,37.0,2.0,,0.0,1.0,1.0,36.0,43.0,1.0,,,,,45.0,48.0,6.8,8.0,0.0655676,2,,Hidemasa,Morita,,2.0,,,,,1.0,,2.0,,,,1.0,1.0,,,2.0,0.4007,,,1.0,,0.3826,,,,,,,,1.0,,,
12514044,home,Sporting CP,Nuno Santos,nuno-santos,N. Santos,M,11,179,1386,M,352882,EUR,792547200,M,11,11,True,18.0,16.0,,,0.0,3.0,4.0,14.0,17.0,3.0,,,,,26.0,25.0,6.8,4.0,0.0423659,1,,Nuno,Santos,,,1.0,,,,,1.0,,,,,1.0,,,,,0.0154,3.0,,,,,1.0,,,,,,,,,,
