match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_outfielderBlock,stat_wonTackle,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_shotOffTarget,stat_clearanceOffLine,stat_penaltyConceded,stat_goalAssist,stat_accurateCross,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_keyPass,stat_dispossessed,stat_bigChanceMissed,stat_totalOffside,captain,stat_bigChanceCreated,stat_hitWoodwork,stat_goals,stat_penaltyMiss,player_sofascoreId,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11452967,home,Al-Khaleej,Ibrahim Šehić,ibrahim-sehic,I. Šehić,G,13,190.0,350,M,63952,EUR,589161600,G,23,23,False,27.0,23.0,8.0,4.0,22.0,24.0,1.0,3.0,1.0,1.0,9.0,3.0,1.0,4.0,90.0,37.0,7.4,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11452967,home,Al-Khaleej,Saeed Al Hamsal,saeed-al-hamsal,S. A. Hamsal,D,39,176.0,21,M,818563,EUR,829785600,D,39,39,False,32.0,23.0,3.0,1.0,16.0,20.0,7.0,14.0,1.0,,7.0,,,,85.0,51.0,6.6,17.0,0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11452967,home,Al-Khaleej,Mohammed Al-Khabrani,mohammed-al-khabrani,M. Al-Khabrani,D,3,178.0,21,M,818696,EUR,750556800,D,3,3,False,55.0,51.0,7.0,4.0,42.0,43.0,9.0,12.0,4.0,1.0,3.0,,,,90.0,69.0,6.8,5.0,0,,2.0,,3.0,,,5.0,1.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11452967,home,Al-Khaleej,Lisandro López,lisandro-lopez,L. López,D,17,187.0,201,M,174377,EUR,620611200,D,4,4,False,63.0,57.0,5.0,3.0,44.0,44.0,13.0,19.0,7.0,2.0,6.0,,,,90.0,77.0,7.5,6.0,1,,4.0,4.0,5.0,,,3.0,3.0,1.0,,2.0,1.0,,2.0,Lisandro,López,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11452967,home,Al-Khaleej,Pedro Rebocho,pedro-rebocho,P. Rebocho,D,5,172.0,204,M,190139,EUR,790819200,D,5,5,False,42.0,35.0,5.0,3.0,15.0,17.0,22.0,30.0,3.0,1.0,6.0,,,,90.0,61.0,7.7,11.0,2,5.0,1.0,1.0,6.0,4.0,4.0,2.0,2.0,,,,,1.0,1.0,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,
11452967,home,Al-Khaleej,Abduleallah Hawsawi,abduleallah-hawsawi,A. Hawsawi,M,77,170.0,210,M,1533745,EUR,991440000,M,18,18,False,25.0,21.0,2.0,2.0,11.0,14.0,10.0,11.0,3.0,,4.0,,,,45.0,30.0,6.6,6.0,1,,,,1.0,,,,1.0,1.0,,,1.0,,1.0,Abduleallah Hawsawi,,,,,,,,1.0,,2.0,,,,,,,,,,,
11452967,home,Al-Khaleej,Woo-Young Jung,woo-young-jung,W. Jung,M,5,186.0,181,M,147128,EUR,629596800,M,55,55,False,49.0,42.0,9.0,5.0,18.0,20.0,26.0,33.0,2.0,,5.0,,,,90.0,62.0,7.2,9.0,0,4.0,,,1.0,,,3.0,2.0,,,,,1.0,2.0,,,,,,,2.0,,,1.0,,,,,,,,,,,,
11452967,home,Al-Khaleej,Mansour Hamzi,mansour-hamzi,M. Hamzi,M,15,170.0,31,M,818581,EUR,738892800,M,15,15,False,20.0,11.0,1.0,,4.0,5.0,7.0,15.0,3.0,,2.0,,,,79.0,33.0,6.7,11.0,1,,1.0,,3.0,2.0,1.0,,2.0,2.0,1.0,,2.0,,1.0,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,
11452967,home,Al-Khaleej,Ivo Rodrigues,ivo-rodrigues,I. Rodrigues,M,7,182.0,204,M,190171,EUR,796521600,M,8,8,False,39.0,30.0,2.0,2.0,15.0,15.0,15.0,26.0,3.0,,5.0,,,,89.0,47.0,6.9,13.0,0,2.0,,,3.0,,,,1.0,,,,,3.0,2.0,,,,,,,,,,,2.0,,,,,,,,,,,
11452967,home,Al-Khaleej,Fábio Martins,fabio-martins,F. Martins,M,10,178.0,359,M,193064,EUR,743472000,M,10,10,False,26.0,21.0,4.0,4.0,4.0,4.0,17.0,27.0,4.0,1.0,2.0,,,,90.0,38.0,7.3,12.0,2,5.0,1.0,,1.0,,,,1.0,,1.0,,,1.0,1.0,,,1.0,,,,,1.0,,2.0,1.0,1.0,,True,1.0,1.0,1.0,1.0,,,,
