match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialWon,stat_duelWon,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_wasFouled,stat_aerialLost,stat_dispossessed,stat_totalContest,stat_wonContest,player_firstName,player_lastName,stat_totalCross,stat_totalOffside,player_sofascoreId,stat_blockedScoringAttempt,stat_expectedGoals,stat_bigChanceCreated,stat_shotOffTarget,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_goodHighClaim,stat_punches,stat_errorLeadToAGoal
12437618,home,Leganés,Marko Dmitrović,marko-dmitrovic,M. Dmitrović,G,13,194,1184,M,94527,EUR,696211200,G,13,13,False,41.0,20.0,33.0,12.0,0.0,9.0,10.0,11.0,31.0,1.0,1.0,1.0,13.0,1.0,1.0,5.0,2.0,2.0,90.0,49.0,7.8,21.0,0.00583162,0,1.4325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437618,home,Leganés,Jorge Sáenz,jorge-saenz,J. Sáenz,D,3,192,188,M,592098,EUR,848188800,D,3,3,False,38.0,34.0,5.0,3.0,0.0,19.0,19.0,15.0,19.0,2.0,,1.0,2.0,,,,,,45.0,43.0,7.0,5.0,0.00457334,0,,True,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
12437618,home,Leganés,Matija Nastasić,matija-nastasic,M. Nastasić,D,15,188,481,M,98440,EUR,733276800,D,22,22,False,32.0,28.0,3.0,,0.0,20.0,21.0,8.0,11.0,2.0,,6.0,2.0,,,,,,90.0,44.0,7.3,5.0,0.00517323,0,,,,2.0,3.0,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
12437618,home,Leganés,Renato Tapia,renato-tapia,R. Tapia,M,13,185,3151,M,352376,EUR,806889600,D,5,5,False,36.0,29.0,5.0,2.0,0.0,18.0,21.0,11.0,15.0,6.0,2.0,2.0,8.0,,,,,,90.0,49.0,6.8,10.0,0.026244,0,,,1.0,3.0,1.0,1.0,,,,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
12437618,home,Leganés,Adrià Altimira,altimira-adria,A. Altimira,D,2,170,365,M,980732,EUR,985737600,M,2,2,False,22.0,21.0,3.0,2.0,0.0,8.0,9.0,13.0,18.0,2.0,,2.0,4.0,,,,,,90.0,48.0,7.1,11.0,0.00732554,0,,,,5.0,1.0,,4.0,2.0,2.0,,1.0,1.0,,1.0,,,,5.0,1.0,,,,,,,,,,,,,
12437618,home,Leganés,Seydouba Cisse,seydouba-cisse,S. Cisse,M,8,172,3843,M,906065,EUR,981763200,M,8,8,False,30.0,25.0,3.0,1.0,0.0,10.0,11.0,15.0,19.0,3.0,,1.0,6.0,,,,,,54.0,36.0,6.6,7.0,0.00894226,1,,,,2.0,,,1.0,,2.0,2.0,1.0,1.0,,,,,,,,seydoubacisse32,1.0,0.0255,,,,,,,,,,
12437618,home,Leganés,Yvan Neyou,yvan-neyou,Y. Neyou,M,5,180,972,M,869931,EUR,852249600,M,17,17,False,31.0,28.0,3.0,3.0,0.0,11.0,12.0,17.0,21.0,3.0,,2.0,10.0,,,,,,90.0,53.0,7.6,9.0,0.0155444,0,,,,11.0,,,5.0,5.0,2.0,1.0,4.0,,2.0,2.0,2.0,,,2.0,,,,,,,,,,,,,,
12437618,home,Leganés,Enric Franquesa,enric-franquesa,E. Franquesa,D,15,174,189,M,885259,EUR,856915200,M,15,15,False,19.0,8.0,7.0,3.0,0.0,4.0,7.0,4.0,15.0,1.0,,1.0,2.0,,,,,,90.0,41.0,6.7,19.0,0.00139882,0,,,1.0,4.0,,,1.0,1.0,2.0,,1.0,,,2.0,1.0,,,3.0,,,,,,,,,,,,,,
12437618,home,Leganés,Dani Raba,dani-raba,D. Raba,F,19,184,999,M,873947,EUR,814924800,F,10,10,False,27.0,21.0,,,1.0,8.0,8.0,13.0,24.0,4.0,2.0,,5.0,,,,,,69.0,44.0,7.7,14.0,0.210715,1,,,,6.0,,,2.0,,2.0,2.0,4.0,,,,,,,5.0,,,,0.0114,1.0,1.0,2.0,,,,,,,
12437618,home,Leganés,Diego García,diego-garcia,D. Garcia,F,19,188,234,M,1121475,EUR,956016000,F,19,19,False,12.0,10.0,1.0,1.0,0.0,2.0,2.0,8.0,11.0,9.0,1.0,,,,,,,,65.0,23.0,7.0,8.0,0.00674052,1,,,2.0,4.0,,,,,3.0,,2.0,6.0,1.0,1.0,,Diego Garcia,,1.0,1.0,,,0.2943,,,,1.0,1.0,0.5023,,,,
