match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,captain,stat_challengeLost,stat_interceptionWon,stat_outfielderBlock,stat_totalCross,stat_totalContest,stat_wonContest,stat_accurateCross,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,stat_errorLeadToAGoal,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_shotOffTarget,stat_penaltyMiss,stat_penaltySave,stat_penaltyFaced,stat_penaltyConceded,stat_totalOffside
14065083,home,FC St. Pauli,Nikola Vasilj,,,nikola-vasilj,N. Vasilj,G,22,194,1626,M,325061,EUR,817862400,G,22,22,False,53.0,41.0,22.0,10.0,0.0,34.0,36.0,7.0,17.0,1.0,2.0,12.0,1.0,3.0,4.0,1.0,1.0,90.0,65.0,6.9,12.0,0.00348134,0.036,0,0.1054,0.1,0.03,0.14,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065083,home,FC St. Pauli,Hauke Wahl,,,hauke-wahl,H. Wahl,D,5,189,150,M,253469,EUR,766368000,D,5,5,False,65.0,57.0,7.0,1.0,0.0,31.0,31.0,26.0,34.0,8.0,6.0,2.0,,,,,,90.0,83.0,6.9,11.0,0.0247726,,0,,0.29,0.09,-0.09,,2.0,4.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14065083,home,FC St. Pauli,Eric Smith,,,eric-smith,E. Smith,D,8,191,412,M,542038,EUR,852681600,D,8,8,False,76.0,66.0,9.0,4.0,0.0,39.0,41.0,27.0,35.0,5.0,5.0,6.0,,,,,,90.0,87.0,7.2,11.0,0.0228926,,0,,0.26,0.15,-0.1,,,2.0,1.0,,1.0,1.0,1.0,2.0,,,True,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14065083,home,FC St. Pauli,Adam Dźwigała,,,adam-dzwigala,A. Dźwigała,D,25,185,440,M,252343,EUR,811987200,D,25,25,False,66.0,59.0,3.0,,0.0,35.0,37.0,24.0,29.0,4.0,3.0,3.0,,,,,,75.0,76.0,6.8,7.0,0.0265985,,0,,0.23,0.09,-0.1,,1.0,1.0,2.0,,3.0,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
14065083,home,FC St. Pauli,Arkadiusz Pyrka,,,arkadiusz-pyrka,A. Pyrka,D,11,177,950,M,971481,EUR,1032480000,M,11,11,False,24.0,20.0,1.0,,0.0,3.0,4.0,17.0,20.0,1.0,1.0,4.0,,,,,,45.0,34.0,6.1,8.0,0.0381397,,0,,-0.01,0.16,-0.05,,3.0,,5.0,,,,1.0,,1.0,,,,1.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,,
14065083,home,FC St. Pauli,James Sands,,,james-sands,J. Sands,M,6,186,445,M,885892,EUR,962841600,M,6,6,False,44.0,34.0,,,0.0,9.0,10.0,25.0,34.0,14.0,1.0,2.0,,,,,,90.0,56.0,7.2,12.0,0.0492609,,0,,0.05,0.02,-0.18,,,7.0,4.0,,5.0,,1.0,2.0,2.0,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,
14065083,home,FC St. Pauli,Joel Chima Fujita,,,joel-chima-fujita,J. C. Fujita,M,16,175,1436,M,1002461,EUR,1013817600,M,16,16,False,62.0,49.0,8.0,2.0,0.0,17.0,19.0,32.0,43.0,2.0,2.0,4.0,,,,,,90.0,76.0,6.4,19.0,0.198979,,1,,0.3,0.18,-0.06,,2.0,,8.0,1.0,2.0,2.0,3.0,,1.0,2.0,,3.0,1.0,,1.0,1.0,,,1.0,0.0209,0.01,,,,,,,,,,,,
14065083,home,FC St. Pauli,Louis Oppie,,,louis-oppie,L. Oppie,D,23,184,183,M,1137900,EUR,1021593600,M,23,23,False,33.0,26.0,5.0,1.0,0.0,10.0,15.0,16.0,18.0,3.0,2.0,7.0,,,,,,90.0,54.0,6.3,11.0,0.068704,,0,,0.21,-0.04,-0.41,,,,1.0,,1.0,1.0,2.0,2.0,,,,1.0,,,2.0,,,,,,,1.0,,,,,,,,,,,
14065083,home,FC St. Pauli,Danel Sinani,,,danel-sinani,D. Sinani,F,10,185,628,M,887500,EUR,860198400,F,10,10,False,49.0,35.0,2.0,,0.0,11.0,12.0,24.0,37.0,3.0,,6.0,,,,,,89.0,67.0,7.9,25.0,0.563337,,2,,0.65,0.28,0.0,,5.0,2.0,13.0,5.0,1.0,1.0,1.0,,2.0,2.0,,,,,5.0,1.0,,1.0,1.0,0.0886,0.54,,1.0,1.0,1.0,0.1387,,,,,,,
14065083,home,FC St. Pauli,Andreas Hountondji,,,hountondji-andreas,A. Hountondji,F,27,190,3805,M,1112796,EUR,1026345600,F,27,27,False,13.0,7.0,,,0.0,1.0,2.0,6.0,11.0,2.0,,2.0,,,,,,45.0,29.0,5.8,14.0,0.0144595,,4,,-0.23,0.06,-0.1,,3.0,1.0,8.0,1.0,1.0,,3.0,,1.0,,,1.0,,,1.0,2.0,,,,1.0627,-0.51,,,3.0,1.0,1.5386,1.0,1.0,1.0,,,,
