match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goals,stat_penaltyWon,stat_keyPass,stat_challengeLost,stat_wonContest,stat_unsuccessfulTouch,stat_shotOffTarget,player_firstName,player_lastName,stat_bigChanceMissed,stat_totalOffside,stat_penaltyFaced,stat_penaltyConceded,stat_hitWoodwork
11407462,home,Milan,Mike Maignan,mike-maignan,M. Maignan,G,16,190,15444,M,MMaignan,191210,EUR,804729600,G,16,16,False,49.0,36.0,26.0,15.0,25.0,28.0,11.0,21.0,1.0,3.0,1.0,14.0,1.0,2.0,3.0,4.0,1.0,90.0,64.0,7.9,14.0,0.00206843,0,1.4302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407462,home,Milan,Davide Calabria,davide-calabria,D. Calabria,D,2,177,2430,M,,318607,EUR,849830400,D,2,2,False,31.0,17.0,2.0,,10.0,15.0,7.0,17.0,,4.0,4.0,3.0,,,,,,89.0,63.0,7.2,16.0,0.0130487,1,,True,1.0,1.0,3.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,0.089,0.0572,,,,,,,,,,,,,,,,,,
11407462,home,Milan,Malick Thiaw,malick-thiaw,M. Thiaw,D,12,194,6237,M,MThiaw,1014286,EUR,997228800,D,28,28,False,43.0,37.0,2.0,,30.0,34.0,7.0,9.0,3.0,4.0,4.0,2.0,,1.0,,,,90.0,51.0,7.2,6.0,0.00114814,0,,,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
11407462,home,Milan,Fikayo Tomori,fikayo-tomori,F. Tomori,D,23,185,7146,M,fikayotomori,788255,EUR,882489600,D,23,23,False,59.0,52.0,3.0,1.0,40.0,45.0,12.0,14.0,1.0,2.0,4.0,6.0,,,,,,90.0,68.0,7.1,7.0,0.00358901,0,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
11407462,home,Milan,Theo Hernández,theo-hernandez,T. Hernández,D,19,184,26616,M,TheoHdez,788027,EUR,876096000,D,19,19,False,37.0,28.0,2.0,,13.0,17.0,16.0,23.0,2.0,7.0,4.0,6.0,,1.0,,,,90.0,64.0,8.8,13.0,0.383198,2,,,3.0,2.0,5.0,,1.0,,,4.0,2.0,2.0,0.8236,0.9628,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,
11407462,home,Milan,Tijjani Reijnders,tijjani-reijnders,T. Reijnders,M,4,185,38485,M,tijjanireijnders,893549,EUR,901670400,M,14,14,False,42.0,38.0,2.0,2.0,27.0,28.0,11.0,14.0,,5.0,3.0,3.0,,,,,,90.0,58.0,7.2,7.0,0.0284257,0,,,,1.0,3.0,2.0,,,1.0,3.0,2.0,,,,,1.0,,,,,1.0,1.0,2.0,2.0,,,,,,,,
11407462,home,Milan,Tommaso Pobega,tommaso-pobega,T. Pobega,M,4,188,1344,M,,928796,EUR,931996800,M,32,32,False,21.0,14.0,3.0,1.0,9.0,13.0,5.0,8.0,,5.0,3.0,4.0,,1.0,,,,90.0,40.0,7.2,10.0,0.0257095,2,,,,1.0,5.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,0.1038,0.2645,,,,,,,,1.0,,1.0,1.0,,,,,,,
11407462,home,Milan,Samuel Chukwueze,samuel-chukwueze,S. Chukwueze,F,19,172,21963,M,chukwuezesamuel8,822470,EUR,927331200,M,21,21,False,20.0,15.0,3.0,2.0,6.0,7.0,9.0,13.0,,6.0,,7.0,,1.0,,,,90.0,45.0,6.1,16.0,0.0619242,2,,,,4.0,12.0,4.0,1.0,,,4.0,1.0,1.0,0.0737,0.0567,,3.0,,1.0,,,,2.0,1.0,4.0,,,,1.0,,,,
11407462,home,Milan,Yunus Musah,yunus-musah,Y. Musah,M,6,178,4211,M,yunusmusah8,983815,EUR,1038528000,M,80,80,False,16.0,13.0,1.0,1.0,7.0,8.0,6.0,8.0,1.0,5.0,1.0,2.0,,1.0,,,,84.0,32.0,6.9,6.0,0.0110205,0,,,,1.0,4.0,,,,,3.0,1.0,1.0,,,,1.0,,,,,2.0,1.0,,1.0,,,,,,,,
11407462,home,Milan,Christian Pulišić,christian-pulisic,C. Pulišić,M,11,177,37774,M,CMPulisic,817957,EUR,906076800,M,11,11,False,28.0,21.0,1.0,,9.0,11.0,14.0,20.0,,1.0,,2.0,,1.0,,,,61.0,38.0,6.8,12.0,0.115266,1,,,3.0,,3.0,1.0,1.0,,,,,,0.1146,0.0339,2.0,1.0,,,,,2.0,1.0,,2.0,,,,,1.0,,,
