match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_outfielderBlock,player_firstName,player_lastName,stat_challengeLost,stat_dispossessed,stat_errorLeadToAGoal,captain,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotOffTarget,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_errorLeadToAShot,player_sofascoreId,stat_hitWoodwork
12450248,home,Toulouse,Kjetil Haug,kjetil-haug,K. Haug,G,16,187,94,M,792318,EUR,897609600,G,16,16,False,21.0,12.0,13.0,4.0,0.0,10.0,12.0,2.0,9.0,7.0,1.0,2.0,2.0,90.0,30.0,6.9,9.0,0.00126111,0,1.1568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450248,home,Toulouse,Djibril Sidibé,djibril-sidibe,D. Sidibé,D,19,182,538,M,123388,EUR,712368000,D,19,19,False,43.0,32.0,3.0,,0.0,12.0,16.0,22.0,29.0,2.0,,,,90.0,74.0,7.0,19.0,0.236094,0,,2.0,2.0,1.0,2.0,5.0,2.0,1.0,1.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12450248,home,Toulouse,Charlie Cresswell,charlie-cresswell,C. Cresswell,D,4,190,1084,M,1020744,EUR,1029456000,D,4,4,False,44.0,38.0,7.0,3.0,0.0,28.0,31.0,10.0,13.0,8.0,,,,90.0,66.0,7.4,8.0,0.00295608,0,,,,1.0,2.0,4.0,,,,13.0,2.0,3.0,3.0,2.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
12450248,home,Toulouse,Mark McKenzie,mark-mckenzie,M. McKenzie,D,3,183,647,M,922759,EUR,919900800,D,3,3,False,50.0,44.0,4.0,1.0,0.0,16.0,19.0,28.0,31.0,3.0,,,,90.0,70.0,7.1,8.0,0.0116629,0,,,,4.0,4.0,9.0,,,,9.0,,3.0,2.0,1.0,2.0,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,
12450248,home,Toulouse,Rafik Messali,rafik-messali,R. Messali,M,22,177,837,M,1198264,EUR,1051488000,M,22,22,False,18.0,11.0,2.0,,0.0,6.0,9.0,5.0,10.0,1.0,,,,59.0,37.0,6.2,14.0,0.00186062,0,,1.0,,,6.0,3.0,3.0,1.0,,,,2.0,,1.0,,1.0,,,1.0,Rafik Messali,,,3.0,,,,,,,,,,,,,
12450248,home,Toulouse,Jaydee Canvot,jaydee-canvot,J. Canvot,D,23,188,804,M,1471671,EUR,1154131200,M,29,29,False,25.0,19.0,,,0.0,9.0,12.0,10.0,14.0,7.0,,,,71.0,34.0,6.0,8.0,0.00582512,0,,1.0,,,4.0,2.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,3.0,,1.0,,Jaydee Canvot,,1.0,,1.0,,,,,,,,,,,,
12450248,home,Toulouse,Vincent Sierro,vincent-sierro,V. Sierro,M,14,184,461,M,794412,EUR,813110400,M,8,8,False,55.0,49.0,9.0,8.0,0.0,20.0,21.0,30.0,37.0,6.0,,,,90.0,74.0,7.5,13.0,0.121266,1,,3.0,1.0,,1.0,6.0,,,1.0,,,3.0,1.0,5.0,3.0,,2.0,1.0,,,,,,,True,1.0,0.0206,,,,,,,,,
12450248,home,Toulouse,Gabriel Suazo,gabriel-suazo,G. Suazo,M,12,178,3981,M,818986,EUR,871084800,M,17,17,False,52.0,40.0,2.0,,0.0,14.0,17.0,26.0,35.0,4.0,,,,90.0,72.0,6.8,17.0,0.0314956,0,,,,,3.0,4.0,,,,,2.0,2.0,2.0,4.0,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,
12450248,home,Toulouse,Aron Dønnum,aron-donnum,A. Dønnum,M,15,179,643,M,863133,EUR,893030400,F,15,15,False,36.0,27.0,6.0,5.0,1.0,4.0,10.0,24.0,34.0,7.0,,,,90.0,57.0,7.1,22.0,0.0887916,1,,8.0,1.0,1.0,4.0,5.0,3.0,1.0,,,,,,4.0,3.0,2.0,2.0,1.0,,,,,,,,1.0,0.0114,,,,,,,,,
12450248,home,Toulouse,Shavy Warren Babicka,babicka-shavy-warren,S. W. Babicka,F,80,180,1188,M,1136280,EUR,959817600,F,80,80,False,19.0,15.0,1.0,1.0,0.0,3.0,3.0,12.0,17.0,3.0,,,,81.0,32.0,6.7,10.0,0.0252558,1,,1.0,,,6.0,3.0,,,,,,1.0,,3.0,2.0,3.0,,2.0,,,,1.0,1.0,,,,0.0728,1.0,,,,,,,,
12450248,home,Toulouse,Frank Magri,frank-magri,F. Magri,F,9,178,1819,M,1169436,EUR,936403200,F,9,9,False,14.0,13.0,,,0.0,3.0,3.0,10.0,11.0,2.0,,,,90.0,37.0,6.9,10.0,0.0117754,3,,,,,15.0,2.0,2.0,1.0,,,1.0,,,4.0,1.0,2.0,1.0,7.0,1.0,Frank Magri,,1.0,4.0,,,1.0,0.3313,,1.0,2.0,1.0,0.9902,,,,
12450248,home,Toulouse,Yann Gboho,yann-gboho,Y. Gboho,F,10,173,957,M,911851,EUR,979430400,F,10,10,True,15.0,11.0,,,0.0,4.0,5.0,7.0,10.0,1.0,,,,31.0,25.0,6.3,10.0,0.0270117,0,,,,,4.0,2.0,1.0,,,,,,,1.0,2.0,,,,,,,,3.0,,,,,,,,,,1.0,,,
12450248,home,Toulouse,Miha Zajc,miha-zajc,M. Zajc,M,8,180,1164,M,139256,EUR,773020800,M,21,21,True,15.0,15.0,,,0.0,8.0,8.0,7.0,8.0,,,,,19.0,20.0,6.8,1.0,0.0062685,1,,1.0,,1.0,1.0,2.0,1.0,1.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,0.0517,,1.0,1.0,,0.2084,,,,
12450248,home,Toulouse,Noah Edjouma,noah-edjouma,N. Edjouma,F,20,182,400,M,1512354,EUR,1128384000,F,31,31,True,4.0,2.0,,,0.0,1.0,2.0,1.0,2.0,1.0,,,,9.0,7.0,6.2,2.0,0.00437588,1,,,,,1.0,1.0,,,,,,,,,1.0,,,1.0,,Noah,Edjouma,,,,,,0.0836,1.0,1.0,,,,,,,
12450248,home,Toulouse,Mathys Niflore,mathys-niflore,M. Niflore,G,60,188,94,M,1479500,EUR,1172793600,G,60,60,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450248,home,Toulouse,Ümit Akdağ,umit-akdag,Ü. Akdağ,D,50,192,604,M,1215071,EUR,1065398400,D,6,6,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,Umit Akdag,,,,,,,,,,,,,,,,
12450248,home,Toulouse,Warren Kamanzi,warren-kamanzi,W. Kamanzi,M,12,177,196,M,1048366,EUR,973900800,D,12,12,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
