match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,captain,stat_dispossessed,stat_shotOffTarget,stat_accurateCross,stat_wonContest,stat_blockedScoringAttempt,player_sofascoreId,stat_goalAssist,stat_totalOffside,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_outfielderBlock,stat_errorLeadToAShot,stat_punches
10389745,home,Stade de Reims,Yehvann Diouf,,,yehvann-diouf,Y. Diouf,G,80,188.0,2968,M,845183,EUR,942710400,G,94,94,False,24.0,19.0,10.0,5.0,17.0,20.0,2.0,4.0,1.0,1.0,7.0,1.0,1.0,90.0,33.0,7.2,5.0,0.0,0.0,0.00036543,0,0.0876,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389745,home,Stade de Reims,Thomas Foket,,,thomas-foket,T. Foket,D,25,177.0,267,M,245615,EUR,780451200,D,32,32,False,57.0,45.0,1.0,1.0,13.0,16.0,32.0,45.0,,7.0,11.0,2.0,,90.0,87.0,7.1,20.0,0.0,0.0,0.0477862,0,,4.0,1.0,6.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,
10389745,home,Stade de Reims,Cheick Keita,Cheick Keita,,cheick-keita,C. Keita,D,95,185.0,227,M,1407973,EUR,1049241600,D,43,43,False,67.0,61.0,6.0,5.0,31.0,32.0,30.0,35.0,4.0,9.0,1.0,4.0,,89.0,75.0,7.2,6.0,0.0,0.0,0.0181247,0,,,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
10389745,home,Stade de Reims,Yunis Abdelhamid,,,yunis-abdelhamid,Y. Abdelhamid,D,5,190.0,1888,M,178721,EUR,559785600,D,5,5,False,97.0,82.0,13.0,7.0,35.0,41.0,47.0,56.0,4.0,8.0,12.0,3.0,,90.0,111.0,7.1,17.0,0.0222,0.0,0.0769776,1,,,2.0,7.0,,,3.0,,1.0,1.0,1.0,4.0,,True,1.0,1.0,,,,,,,,,,,,
10389745,home,Stade de Reims,Thibault De Smet,,,thibault-de-smet,T. D. Smet,D,28,182.0,215,M,844744,EUR,897004800,D,25,25,False,36.0,30.0,2.0,1.0,12.0,12.0,19.0,29.0,1.0,3.0,4.0,,,90.0,68.0,6.6,17.0,0.0,0.0,0.0958417,0,,5.0,1.0,8.0,2.0,4.0,2.0,,1.0,1.0,3.0,2.0,1.0,,,,1.0,1.0,,,,,,,,,,
10389745,home,Stade de Reims,Azor Matusiwa,,,azor-matusiwa,A. Matusiwa,M,5,173.0,458,M,856495,EUR,893721600,M,21,21,False,87.0,79.0,9.0,8.0,29.0,30.0,50.0,57.0,2.0,5.0,8.0,1.0,,71.0,98.0,7.2,10.0,0.045,0.0,0.0576846,1,,,1.0,4.0,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,
10389745,home,Stade de Reims,Dion Lopy,,,dion-lopy,D. Lopy,M,17,186.0,2405,M,982327,EUR,1012608000,M,17,17,False,52.0,41.0,6.0,4.0,14.0,17.0,27.0,35.0,,6.0,9.0,2.0,,61.0,65.0,6.9,15.0,0.0611,0.0,0.0452642,1,,,,3.0,,3.0,,,2.0,1.0,2.0,1.0,1.0,,1.0,,,2.0,1.0,,,,,,,,,
10389745,home,Stade de Reims,Junya Ito,,,junya-ito,J. Ito,M,10,176.0,4867,M,783278,EUR,731635200,M,39,39,False,35.0,27.0,,,2.0,2.0,27.0,47.0,1.0,6.0,2.0,1.0,,90.0,64.0,7.2,27.0,0.0,0.0,0.324638,0,,14.0,,5.0,1.0,5.0,,,2.0,,3.0,1.0,1.0,,,,2.0,2.0,,ItouJky,1.0,2.0,,,,,,
10389745,home,Stade de Reims,Marshall Munetsi,,,marshall-munetsi,M. Munetsi,M,18,187.0,1937,M,894733,EUR,835401600,M,15,15,False,33.0,26.0,4.0,2.0,5.0,5.0,21.0,29.0,2.0,6.0,7.0,2.0,,90.0,44.0,7.0,8.0,0.142,0.2348,0.0611684,2,,1.0,4.0,8.0,1.0,1.0,,,1.0,1.0,,3.0,1.0,,,,,1.0,1.0,,,,1.0,1.0,,,,
10389745,home,Stade de Reims,Alexis Flips,,,flips-alexis,A. Flips,M,70,173.0,226,M,879672,EUR,948153600,M,70,70,False,29.0,20.0,4.0,1.0,3.0,3.0,18.0,28.0,1.0,3.0,5.0,1.0,,61.0,44.0,6.5,16.0,0.0334,0.0142,0.109013,1,,2.0,2.0,8.0,2.0,2.0,,,,,1.0,2.0,2.0,,1.0,,1.0,1.0,,,,,1.0,,,,,
