match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_aerialWon,stat_dispossessed,stat_totalClearance,stat_fouls,player_firstName,player_lastName,stat_outfielderBlock,stat_wasFouled,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_keyPass,stat_challengeLost,stat_wonContest,stat_shotOffTarget,stat_expectedGoals,stat_interceptionWon,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated
12437798,home,Real Valladolid,Karl Hein,karl-hein,K. Hein,G,13,193,4102,M,991591,EUR,1018656000,G,13,13,False,28.0,24.0,6.0,2.0,0.0,22.0,23.0,2.0,5.0,7.0,2.0,2.0,4.0,90.0,40.0,7.2,4.0,0.0004596,0,0.7926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437798,home,Real Valladolid,Luis Pérez,luis-perez,L. Pérez,D,2,173,199,M,843180,EUR,791856000,D,2,2,False,19.0,15.0,4.0,2.0,0.0,6.0,8.0,10.0,15.0,2.0,,,,51.0,36.0,6.8,9.0,0.166405,0,,True,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12437798,home,Real Valladolid,Abdulay Juma Bah,abdulay-juma-bah,A. J. Bah,D,28,195,5965,M,1606792,EUR,1144713600,D,35,35,False,57.0,47.0,12.0,3.0,0.0,34.0,35.0,13.0,22.0,5.0,,,,90.0,68.0,6.4,11.0,0.00503872,0,,,,,,3.0,4.0,,2.0,1.0,2.0,1.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,
12437798,home,Real Valladolid,David Torres,david-torres,D. Torres,D,4,182,147,M,1214359,EUR,1046822400,D,3,3,False,55.0,45.0,8.0,3.0,0.0,34.0,36.0,11.0,19.0,1.0,,,,72.0,63.0,6.9,10.0,0.00350871,0,,,,,2.0,2.0,5.0,,1.0,1.0,3.0,,2.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,
12437798,home,Real Valladolid,Lucas Rosa,lucas-rosa,L. Rosa,D,2,177,706,M,970860,EUR,954720000,D,22,22,False,37.0,33.0,2.0,2.0,0.0,18.0,19.0,16.0,23.0,4.0,,,,90.0,59.0,6.3,14.0,0.132902,0,,,5.0,1.0,,3.0,4.0,2.0,1.0,1.0,2.0,,,1.0,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,
12437798,home,Real Valladolid,Mario Martín,martin-mario,M. Martín,M,6,177,16546,M,1154549,EUR,1078444800,M,12,12,False,29.0,26.0,4.0,4.0,0.0,14.0,16.0,12.0,13.0,3.0,,,,65.0,43.0,6.6,8.0,0.0215755,1,,,,,1.0,7.0,6.0,3.0,2.0,,,2.0,1.0,1.0,,,,3.0,,1.0,1.0,1.0,1.0,1.0,0.0693,,,,,,,,,,
12437798,home,Real Valladolid,Eray Cömert,eray-comert,E. Cömert,D,24,183,508,M,814023,EUR,886550400,M,15,15,False,43.0,36.0,9.0,7.0,0.0,19.0,22.0,17.0,21.0,3.0,,,,90.0,57.0,6.9,9.0,0.00992573,1,,,,,2.0,8.0,8.0,1.0,2.0,1.0,4.0,,3.0,3.0,,,,1.0,,2.0,,3.0,1.0,1.0,0.1026,2.0,,,,,,,,,
12437798,home,Real Valladolid,Kike Pérez,kike-perez,K. Pérez,M,71,184,312,M,857178,EUR,855878400,M,8,8,False,16.0,13.0,1.0,,0.0,6.0,6.0,7.0,10.0,1.0,,,,65.0,27.0,6.5,7.0,0.00525898,2,,,,,,5.0,2.0,1.0,2.0,1.0,,,,4.0,,,,,,3.0,,,,2.0,0.0672,1.0,,,,,,,,,
12437798,home,Real Valladolid,Raúl Moro,raul-moro,R. Moro,M,18,169,1584,M,980383,EUR,1039046400,F,11,11,False,25.0,19.0,2.0,1.0,0.0,6.0,6.0,14.0,23.0,3.0,,,,90.0,41.0,6.4,14.0,0.09308,2,,,4.0,1.0,,8.0,2.0,3.0,1.0,,,1.0,,,,,,1.0,,,2.0,4.0,,,0.154,1.0,2.0,,,,,,,,
12437798,home,Real Valladolid,Juanmi Latasa,juanmi-latasa,J. Latasa,F,9,191,1993,M,966679,EUR,985305600,F,14,14,False,20.0,13.0,1.0,,0.0,7.0,9.0,6.0,11.0,3.0,,,,90.0,33.0,6.7,11.0,0.102825,2,,,,,6.0,11.0,7.0,2.0,,,4.0,2.0,1.0,2.0,,,,3.0,,,2.0,,,1.0,0.1895,,1.0,2.0,,,,,,,
12437798,home,Real Valladolid,Darwin Machís,darwin-machis,D. Machís,F,11,174,1580,M,252863,EUR,729043200,F,18,18,False,14.0,11.0,1.0,,0.0,6.0,6.0,5.0,11.0,2.0,,,,51.0,25.0,6.5,7.0,0.00758917,3,,,3.0,,,1.0,2.0,1.0,,,,,1.0,1.0,,,,1.0,,1.0,,,1.0,2.0,0.5561,,1.0,,1.0,,,,,,
12437798,home,Real Valladolid,Raúl Chasco,raul-chasco,R. Chasco,D,34,177,34,M,1182710,EUR,1063411200,M,30,30,True,23.0,16.0,4.0,1.0,0.0,10.0,12.0,6.0,13.0,1.0,,,,39.0,38.0,6.3,13.0,0.00181936,0,,,2.0,,,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,1.0,,,,1.0,,,,,,,,,
12437798,home,Real Valladolid,Iván Sánchez,ivan-sanchez,I. Sánchez,M,23,168,223,M,142018,EUR,717206400,M,10,10,True,16.0,15.0,4.0,4.0,0.0,3.0,3.0,12.0,21.0,3.0,,,,39.0,31.0,7.4,11.0,0.0277848,2,,,8.0,,,1.0,3.0,,2.0,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,0.101,,,,,1.0,1.0,0.876,,,
12437798,home,Real Valladolid,Stanko Jurić,juric-stanko,S. Jurić,M,24,189,498,M,921417,EUR,840153600,M,20,20,True,10.0,6.0,,,0.0,2.0,3.0,4.0,7.0,2.0,,,,25.0,14.0,6.4,5.0,0.00386425,0,,,,,3.0,4.0,1.0,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,
12437798,home,Real Valladolid,Mamadou Sylla,mamadou-sylla,M. Sylla,F,9,184,1357,M,793761,EUR,764121600,F,7,7,True,3.0,1.0,,,0.0,,2.0,1.0,1.0,2.0,,,,25.0,6.0,6.7,3.0,0.00056908,0,,,,,1.0,1.0,2.0,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
12437798,home,Real Valladolid,Mario Maroto,mario-maroto,M. Maroto,M,16,176,35,M,1086415,EUR,1041379200,M,34,34,True,15.0,11.0,,,1.0,4.0,7.0,7.0,8.0,1.0,,,,18.0,20.0,6.9,4.0,0.0260441,0,,,,,1.0,2.0,2.0,1.0,,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,,2.0,,,,,,,,,
12437798,home,Real Valladolid,André Ferreira,andre-ferreira,A. Ferreira,G,13,193,225,M,788197,EUR,833328000,G,1,1,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
