match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_outfielderBlock,stat_challengeLost,stat_dispossessed,stat_blockedScoringAttempt,player_sofascoreId,captain,stat_shotOffTarget,stat_accurateCross,stat_onTargetScoringAttempt,player_firstName,player_lastName,stat_totalOffside,stat_goals,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed,stat_bigChanceCreated
10411712,home,Lazio,Ivan Provedel,ivan-provedel,I. Provedel,G,94,194,1818,M,308182,EUR,763862400,G,94,94,False,23.0,18.0,11.0,6.0,16.0,16.0,2.0,7.0,5.0,3.0,3.0,90.0,29.0,7.6,5.0,0.0,0.0,0.00027562,0,0.7635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411712,home,Lazio,Adam Marušić,adam-marusic,A. Marušić,D,77,185,1131,M,267619,EUR,719280000,D,77,77,False,67.0,61.0,3.0,1.0,33.0,35.0,28.0,33.0,8.0,,,90.0,86.0,7.2,9.0,0.0,0.0,0.0200262,0,,1.0,1.0,2.0,5.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10411712,home,Lazio,Nicolò Casale,nicolo-casale,N. Casale,D,16,191,431,M,862697,EUR,887414400,D,15,15,False,73.0,68.0,9.0,7.0,49.0,53.0,19.0,20.0,7.0,,,90.0,76.0,7.3,6.0,0.0,0.0,0.00819377,0,,,3.0,2.0,5.0,,,,,2.0,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,
10411712,home,Lazio,Alessio Romagnoli,alessio-romagnoli,A. Romagnoli,D,13,185,1922,M,227864,EUR,789868800,D,13,13,False,78.0,75.0,10.0,9.0,40.0,41.0,35.0,37.0,6.0,,,90.0,87.0,7.3,3.0,0.0,0.0,0.0165507,0,,,4.0,9.0,5.0,,,4.0,1.0,1.0,,,,5.0,,4.0,1.0,,,,,,,,,,,,,,,,
10411712,home,Lazio,Elseid Hysaj,elseid-hysaj,E. Hysaj,D,23,182,1316,M,136322,EUR,760147200,D,23,23,False,65.0,62.0,3.0,3.0,29.0,31.0,33.0,36.0,4.0,,,90.0,79.0,6.7,8.0,0.034,0.0,0.058756,1,,2.0,1.0,7.0,3.0,,,,,,,,2.0,2.0,2.0,1.0,,2.0,2.0,1.0,,,,,,,,,,,,,
10411712,home,Lazio,Sergej Milinković-Savić,sergej-milinkovic-savic,S. Milinković-Savić,M,22,191,13428,M,331447,EUR,793843200,M,21,21,False,67.0,61.0,3.0,2.0,31.0,32.0,30.0,37.0,4.0,,,90.0,76.0,6.8,10.0,0.0985,0.0,0.0620909,1,,2.0,,7.0,1.0,,,1.0,,,,2.0,1.0,3.0,2.0,3.0,,1.0,,,sms,True,1.0,,,,,,,,,,
10411712,home,Lazio,Danilo Cataldi,danilo-cataldi,D. Cataldi,M,32,180,952,M,317301,EUR,776131200,M,32,32,False,85.0,83.0,5.0,4.0,36.0,37.0,47.0,48.0,5.0,,,90.0,94.0,6.9,4.0,0.0,0.0,0.0518961,0,,,,2.0,,1.0,,2.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
10411712,home,Lazio,Luis Alberto,luis-alberto,L. Alberto,M,32,182,1864,M,111416,EUR,717638400,M,10,10,False,101.0,94.0,3.0,1.0,33.0,33.0,63.0,74.0,5.0,,,90.0,117.0,7.3,12.0,0.1112,0.0527,0.0732123,4,,6.0,1.0,4.0,5.0,2.0,2.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,2.0,,1.0,,,2.0,2.0,1.0,,,,,,,,
10411712,home,Lazio,Pedro,pedro,Pedro,F,9,167,5026,M,35428,EUR,554428800,F,9,9,False,46.0,39.0,3.0,2.0,14.0,15.0,25.0,31.0,2.0,,,89.0,66.0,7.2,12.0,0.0863,0.1519,0.0217933,2,,,,2.0,8.0,2.0,1.0,1.0,,6.0,4.0,4.0,1.0,1.0,,,,,,1.0,Pedro,,,,1.0,,,,,,,,
10411712,home,Lazio,Felipe Anderson,felipe-anderson,F. Anderson,M,7,175,6043,M,152276,EUR,734832000,F,7,7,False,40.0,36.0,2.0,2.0,11.0,12.0,25.0,28.0,2.0,,,90.0,52.0,7.4,11.0,0.0632,0.2298,0.0780579,1,,,,4.0,2.0,1.0,1.0,,,,,4.0,1.0,,3.0,1.0,1.0,1.0,2.0,,F_Andersoon,,,,1.0,,,1.0,,,,,
10411712,home,Lazio,Mattia Zaccagni,mattia-zaccagni,M. Zaccagni,M,10,176,4751,M,293581,EUR,803260800,F,20,20,False,43.0,37.0,1.0,,10.0,10.0,27.0,35.0,6.0,,,81.0,64.0,8.0,11.0,0.1815,1.0356,0.0172505,2,,2.0,2.0,6.0,12.0,7.0,6.0,,1.0,,,1.0,4.0,2.0,1.0,1.0,,1.0,1.0,,,,,,2.0,,,,1.0,,,,
