match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_hitWoodwork,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,captain,stat_wonContest,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_penaltyConceded,stat_dispossessed,stat_unsuccessfulTouch,stat_goalAssist,stat_bigChanceCreated,stat_totalOffside,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_outfielderBlock,stat_penaltyWon
10438016,home,Marítimo,Marcelo Carné,,,marcelo-carne,M. Carné,G,1,188,61,M,243463,EUR,634262400,G,31,31,False,21.0,16.0,13.0,8.0,11.0,11.0,5.0,10.0,1.0,1.0,2.0,10.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,90.0,32.0,6.7,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438016,home,Marítimo,Paulinho Mota,,,paulinho-mota,P. Mota,D,77,176,48,M,128326,EUR,679363200,D,27,27,False,19.0,13.0,6.0,2.0,7.0,7.0,8.0,14.0,1.0,7.0,3.0,4.0,,,,,,,,84.0,49.0,6.8,12.0,1,2.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,,,,,,,,,,,,,,,
10438016,home,Marítimo,Zainadine Júnior,,,zainadine-junior,Z. Júnior,D,,178,102,M,105457,EUR,583113600,D,5,5,False,50.0,42.0,9.0,6.0,28.0,34.0,14.0,16.0,1.0,3.0,7.0,6.0,,,,,,,,90.0,61.0,7.0,8.0,0,,,,,,,,,1.0,1.0,1.0,1.0,,True,,,,,,,,,,,,,,
10438016,home,Marítimo,Moises Mosquera,Moises Castillo Mosquera,,moises-mosquera,M. Mosquera,D,3,188,201,M,1066212,EUR,990662400,D,3,3,False,41.0,35.0,8.0,4.0,25.0,28.0,10.0,13.0,5.0,11.0,8.0,4.0,,,,,,,,90.0,59.0,7.5,6.0,0,,,4.0,4.0,,1.0,,,,5.0,4.0,,,,1.0,1.0,,,,,,,,,,,,
10438016,home,Marítimo,Vitor Costa,,,vitor-costa,V. Costa,M,94,182,61,M,842345,EUR,773020800,D,94,94,False,23.0,18.0,4.0,3.0,11.0,15.0,7.0,10.0,,4.0,3.0,4.0,,,,,,,,90.0,46.0,7.0,9.0,1,2.0,,,4.0,2.0,1.0,,,,1.0,,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
10438016,home,Marítimo,João Afonso,,,joao-afonso,J. Afonso,M,6,181,26,M,358496,EUR,792288000,M,21,21,False,26.0,21.0,2.0,,13.0,15.0,8.0,11.0,2.0,4.0,,3.0,,,,,,,,64.0,32.0,6.5,7.0,0,,,,3.0,,1.0,,,,1.0,1.0,,2.0,,1.0,,,,,1.0,,,,,,,,
10438016,home,Marítimo,Val Soares,,,val-soares,V. Soares,M,97,176,108,M,871681,EUR,858124800,M,8,8,False,47.0,41.0,6.0,4.0,24.0,26.0,17.0,22.0,,7.0,,11.0,,,,,,,,90.0,63.0,7.7,10.0,1,1.0,,,5.0,2.0,1.0,,,2.0,6.0,4.0,1.0,2.0,,,,1.0,1.0,,,1.0,,,,,,,
10438016,home,Marítimo,Bruno Xadas,,,bruno-xadas,B. Xadas,M,8,179,249,M,837410,EUR,881020800,M,23,23,False,20.0,14.0,3.0,1.0,5.0,7.0,10.0,14.0,,2.0,,2.0,,,,,,,,89.0,31.0,7.2,9.0,2,1.0,1.0,,4.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,2.0,1.0,,,2.0,1.0,1.0,1.0,,,,,
10438016,home,Marítimo,André Vidigal,,,andre-vidigal,A. Vidigal,M,77,176,425,M,842335,EUR,903312000,M,7,7,False,19.0,17.0,,,7.0,7.0,11.0,13.0,,3.0,,2.0,,,,,,,,90.0,34.0,7.5,11.0,2,1.0,1.0,,6.0,,1.0,,,,,,2.0,3.0,,1.0,2.0,2.0,1.0,,3.0,6.0,,1.0,1.0,,,,
10438016,home,Marítimo,Félix Correia,,,felix-correia,F. Correia,M,27,178,1349,M,934498,EUR,980121600,M,17,17,False,19.0,15.0,3.0,1.0,5.0,7.0,10.0,12.0,,3.0,,4.0,,,,,,,,84.0,25.0,7.0,5.0,1,,,,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,3.0,,,,,1.0,1.0,,1.0,1.0,,,
