match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_aerialWon,stat_outfielderBlock,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_firstName,player_lastName,captain,stat_bigChanceCreated,stat_hitWoodwork,stat_goals,stat_penaltyWon,stat_totalOffside,stat_bigChanceMissed,stat_errorLeadToAGoal,stat_penaltyFaced,stat_errorLeadToAShot,stat_penaltyConceded
13473388,home,Flamengo,Agustín Rossi,agustin-rossi,A. Rossi,G,1,195,10864,M,AgustinRossi,1140986,EUR,808963200,G,1,1,False,11.0,9.0,4.0,2.0,0.0,8.0,9.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,90.0,16.0,7.2,2.0,9.726e-05,0,0.2593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13473388,home,Flamengo,Wesley,wesley-franca,Wesley,D,43,178,26920,M,WesleyFranca03,1134200,EUR,1062806400,D,43,43,False,46.0,42.0,3.0,2.0,0.0,17.0,17.0,25.0,29.0,2.0,5.0,,,,,,90.0,70.0,7.8,9.0,0.164972,1,,3.0,1.0,1.0,3.0,6.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,0.0093,2.0,,,,,,,,,,,,,,,,,,,,,,
13473388,home,Flamengo,Léo Ortiz,leo-ortiz,L. Ortiz,D,3,185,10970,M,leortiz33,869643,EUR,820627200,D,3,3,False,57.0,53.0,5.0,5.0,0.0,38.0,38.0,15.0,19.0,1.0,7.0,,,,,,90.0,65.0,7.2,5.0,0.00937065,1,,,,1.0,3.0,2.0,,1.0,1.0,1.0,1.0,,2.0,0.0889,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
13473388,home,Flamengo,Léo Pereira,leo-pereira,L. Pereira,D,4,189,8450,M,leopereira4,358548,EUR,823046400,D,4,4,False,56.0,55.0,2.0,1.0,0.0,46.0,46.0,9.0,10.0,1.0,2.0,,,,,,90.0,62.0,7.0,1.0,0.0031294,0,,,,1.0,1.0,2.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
13473388,home,Flamengo,Ayrton Lucas,ayrton-lucas,A. Lucas,D,6,180,7146,M,AyrtonLucas,818473,EUR,866678400,D,6,6,False,53.0,49.0,1.0,1.0,0.0,31.0,33.0,18.0,20.0,1.0,7.0,,,,,,90.0,68.0,7.0,6.0,0.0110114,1,,,,1.0,4.0,4.0,,1.0,2.0,1.0,1.0,,2.0,0.009,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
13473388,home,Flamengo,Erick Pulgar,erick-pulgar,E. Pulgar,M,5,186,12411,M,erick05,590262,EUR,758592000,M,5,5,False,54.0,52.0,1.0,1.0,0.0,32.0,33.0,20.0,21.0,4.0,2.0,,,,,,87.0,66.0,6.8,5.0,0.0202325,0,,,,,6.0,2.0,,1.0,1.0,1.0,,1.0,3.0,,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,
13473388,home,Flamengo,Nicolás de la Cruz,nicolas-de-la-cruz,N. de la Cruz,M,18,167,16989,M,nicodelacruz10,877513,EUR,865123200,M,18,18,False,74.0,68.0,6.0,4.0,0.0,36.0,38.0,32.0,36.0,,4.0,,,,,,90.0,85.0,7.1,8.0,0.337781,2,,2.0,2.0,,4.0,2.0,1.0,2.0,,,,1.0,1.0,0.1815,2.0,1.0,1.0,,,,1.0,2.0,1.0,0.1252,,,,,,,,,,,,,
13473388,home,Flamengo,Gerson,gerson,Gerson,M,11,185,29672,M,gerson_santos,611876,EUR,864086400,M,8,8,False,53.0,48.0,1.0,1.0,0.0,18.0,18.0,30.0,35.0,,3.0,,,,,,87.0,63.0,7.4,8.0,0.0859396,0,,,,,3.0,5.0,,,3.0,3.0,,1.0,1.0,,3.0,,,,1.0,,,2.0,,,,,True,1.0,,,,,,,,,
13473388,home,Flamengo,Giorgian De Arrascaeta,giorgian-de-arrascaeta,Arrascaeta,M,10,173,86686,M,G10DeArrascaeta,333587,EUR,770428800,M,10,10,False,45.0,37.0,5.0,4.0,1.0,12.0,12.0,25.0,33.0,,3.0,,,,,,80.0,61.0,9.2,15.0,0.0401741,4,,6.0,,1.0,2.0,5.0,1.0,,1.0,,,4.0,,0.2524,2.0,1.0,,2.0,,,,,1.0,0.3637,,,,,1.0,1.0,1.0,1.0,,,,,
13473388,home,Flamengo,Everton,everton,Everton,M,11,174,12386,M,Evertons,386198,EUR,827452800,M,11,11,False,16.0,15.0,1.0,1.0,0.0,3.0,4.0,12.0,12.0,,1.0,,,,,,63.0,30.0,7.2,8.0,0.146977,2,,2.0,,,6.0,,,1.0,,,,,1.0,0.1205,,3.0,,1.0,,,,2.0,1.0,0.6712,Everton,,,,,1.0,,,,,,,
13473388,home,Flamengo,Pedro,pedro,Pedro,F,9,186,57455,M,pedroguilherme,840219,EUR,866764800,F,9,9,False,15.0,13.0,1.0,1.0,1.0,2.0,2.0,11.0,13.0,1.0,1.0,,,,,,80.0,33.0,8.5,11.0,0.138893,5,,,,,5.0,1.0,1.0,,,,3.0,,,1.5087,2.0,3.0,1.0,1.0,,,,3.0,3.0,1.5626,,,,,1.0,2.0,,,2.0,,,,
13473388,home,Flamengo,Luiz Araújo,luiz-araujo,L. Araújo,M,7,175,16511,M,l_araujo11ofi,840451,EUR,833673600,F,7,7,True,15.0,15.0,,,0.0,12.0,12.0,3.0,3.0,,2.0,,,,,,27.0,22.0,6.9,2.0,0.00927067,0,,,,,2.0,4.0,,,2.0,,1.0,1.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
13473388,home,Flamengo,Gonzalo Plata,gonzalo-plata,G. Plata,M,19,178,20442,M,gonzaloplata,937937,EUR,973036800,F,50,50,True,5.0,5.0,,,0.0,2.0,2.0,3.0,3.0,,,,,,,,10.0,9.0,6.4,2.0,0.00135671,0,,,,,1.0,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13473388,home,Flamengo,Bruno Henrique,bruno-henrique,B. Henrique,F,27,184,33811,M,B.henrique,795291,EUR,662515200,F,27,27,True,3.0,3.0,,,0.0,1.0,1.0,2.0,2.0,,,,,,,,10.0,5.0,6.6,1.0,0.00013739,1,,,,,1.0,1.0,,,,,,,,0.0546,,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,
