match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_bigChanceCreated,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_challengeLost,stat_interceptionWon,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialWon,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,player_firstName,stat_outfielderBlock,stat_dispossessed,player_lastName,stat_bigChanceMissed,stat_shotOffTarget,stat_goals,stat_totalOffside,captain,stat_accurateCross,stat_blockedScoringAttempt,player_sofascoreId,stat_hitWoodwork,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot
13472765,home,Internacional,Ivan Quaresma,ivan-quaresma,Ivan,G,12,195.0,673,M,795029,EUR,855273600,G,12,12,False,24.0,10.0,20.0,6.0,0.0,5.0,5.0,5.0,19.0,1.0,5.0,1.0,1.0,2.0,2.0,90.0,30.0,6.5,16.0,0.0007776,0,0.3766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472765,home,Internacional,Bruno Gomes,bruno-gomes,B. Gomes,D,15,175.0,903,M,995071,EUR,986342400,D,15,15,False,31.0,24.0,8.0,4.0,2.0,11.0,13.0,13.0,18.0,3.0,2.0,1.0,,,,90.0,48.0,7.6,11.0,0.209602,0,,2.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13472765,home,Internacional,Gabriel Mercado,gabriel-mercado,G. Mercado,D,25,180.0,995,M,128376,EUR,543024000,D,25,25,False,23.0,22.0,1.0,,0.0,18.0,18.0,4.0,5.0,2.0,2.0,1.0,,,,90.0,34.0,6.4,1.0,0.00311501,0,,,1.0,3.0,,7.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13472765,home,Internacional,Vitão,vitao,Vitão,D,44,185.0,3503,M,876625,EUR,949449600,D,4,4,False,23.0,16.0,10.0,5.0,0.0,10.0,11.0,6.0,12.0,1.0,3.0,,,,,90.0,30.0,6.6,7.0,0.00332341,1,,,3.0,4.0,,5.0,1.0,,,1.0,1.0,,1.0,0.0363,0.425,,,,,,,,,,,,,,,,,,,,,
13472765,home,Internacional,Alexandro Bernabei,alexandro-bernabei,A. Bernabei,D,26,169.0,2144,M,989200,EUR,969753600,D,26,26,False,20.0,15.0,3.0,1.0,0.0,8.0,9.0,7.0,11.0,6.0,3.0,1.0,,,,90.0,46.0,6.6,14.0,0.0255099,1,,1.0,1.0,7.0,,4.0,2.0,1.0,2.0,1.0,3.0,,1.0,0.0818,0.0614,1.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,
13472765,home,Internacional,Luis Otávio,luis-otavio,L. Otávio,M,39,181.0,427,M,1835768,EUR,1176336000,M,39,39,False,21.0,17.0,4.0,1.0,0.0,7.0,8.0,10.0,13.0,2.0,1.0,1.0,,,,90.0,28.0,6.5,5.0,0.0262478,0,,,,1.0,,1.0,,,1.0,,,1.0,,,,,1.0,1.0,1.0,Luis Otávio,1.0,,,,,,,,,,,,,,,
13472765,home,Internacional,Thiago Maia,thiago-maia,T. Maia,M,29,179.0,1392,M,358550,EUR,859075200,M,29,29,False,26.0,18.0,2.0,2.0,0.0,8.0,11.0,10.0,15.0,4.0,5.0,,,,,73.0,33.0,6.8,9.0,0.0165923,0,,,1.0,7.0,,,2.0,2.0,4.0,2.0,1.0,1.0,,,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,
13472765,home,Internacional,Vitinho,vitinho,Vitinho,M,28,181.0,1064,M,982405,EUR,922924800,M,28,28,False,15.0,10.0,1.0,,0.0,1.0,2.0,9.0,13.0,5.0,,2.0,,,,79.0,30.0,8.3,8.0,0.0394993,4,,,1.0,4.0,1.0,1.0,1.0,,,1.0,3.0,,2.0,1.1279,1.1143,1.0,1.0,1.0,3.0,,,,,1.0,2.0,2.0,1.0,,,,,,,,,
13472765,home,Internacional,Alan Patrick,alan-patrick,A. Patrick,M,10,177.0,6630,M,124997,EUR,674092800,M,10,10,False,37.0,29.0,2.0,1.0,0.0,6.0,7.0,23.0,30.0,1.0,4.0,,,,,84.0,56.0,7.1,18.0,0.151263,3,,8.0,2.0,5.0,1.0,,,,1.0,4.0,,,,0.0835,,,2.0,1.0,2.0,,,1.0,,,,,,True,2.0,3.0,,,,,,
13472765,home,Internacional,Johan Carbonero,carbonero-johan,J. Carbonero,F,7,170.0,2389,M,925125,EUR,932428800,M,7,7,False,11.0,9.0,1.0,,0.0,1.0,2.0,8.0,9.0,6.0,7.0,5.0,,,,90.0,32.0,6.6,11.0,0.0253306,1,,1.0,1.0,8.0,,,,,5.0,,,,,0.1694,,,2.0,1.0,5.0,,,1.0,,,,,1.0,,,1.0,,,,,,
