match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_wonContest,stat_bigChanceCreated,stat_errorLeadToAShot,stat_goals,stat_totalOffside,stat_bigChanceMissed,stat_goodHighClaim,stat_punches,stat_lastManTackle,stat_errorLeadToAGoal
13981658,away,Torino,Gvidas Gineitis,,,gineitis-gvidas,G. Gineitis,M,66,191,1446,M,,1030829,EUR,1081987200,M,66,66,False,,27.0,20.0,2.0,,1.0,7.0,8.0,13.0,19.0,1.0,1.0,,,90.0,45.0,6.2,11.0,0.2385,41.881077740091,6.0,-7.3849711107405,,0,,0.29,-0.18,-0.42,,4.0,3.0,1.0,8.0,5.0,1.0,,1.0,2.0,1.0,1.0,,,,4.0,,,3.0,2.0,5.0,,,2.0,,,,,,,,,,,,,1.0
13981658,away,Torino,Rafael Obrador,,,rafael-obrador,R. Obrador,D,33,181,1945,M,,1142692,EUR,1077580800,M,33,33,False,,21.0,17.0,2.0,,0.0,9.0,11.0,8.0,10.0,,1.0,,,45.0,28.0,6.4,6.0,0.00178214,49.998387551096,6.0,10.580623993821,,0,,-0.05,0.04,-0.07,,1.0,,,4.0,1.0,2.0,,,,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,
13981658,away,Torino,Sandro Kulenović,,,sandro-kulenovic,S. Kulenović,F,17,191,3157,M,,826026,EUR,944265600,F,17,17,False,,8.0,4.0,1.0,,0.0,2.0,4.0,2.0,4.0,,,,,59.0,14.0,6.6,4.0,0.00383705,26.092447887865,4.0,-2.4347678814447,,1,,-0.15,0.22,-0.02,,,,1.0,,3.0,,1.0,,,,1.0,6.4178769359186,6.4179816920898,1.0,,,,,,,0.093,-0.22,,,1.0,,1.0,,,,,,,,,
13981658,away,Torino,Che Adams,,,che-adams,C. Adams,F,19,175,2940,M,,773409,EUR,837216000,F,19,19,False,,24.0,21.0,3.0,2.0,0.0,7.0,7.0,14.0,17.0,1.0,1.0,,,83.0,31.0,6.7,6.0,0.0708651,24.970539975695,4.0,3.2744075396266,,1,,0.26,-0.2,0.14,,,,1.0,4.0,1.0,,2.0,,,,,,,,2.0,1.0,,,,,0.0412,0.0,1.0,,1.0,,,,,,,,,,,
13981658,away,Torino,Marcus Pedersen,,,marcus-pedersen,M. Pedersen,D,16,178,644,M,,934409,EUR,963705600,D,16,16,True,,11.0,10.0,,,0.0,5.0,6.0,5.0,5.0,2.0,1.0,,,45.0,18.0,5.9,3.0,0.0277496,92.497805507977,7.0,20.488747576426,,0,,0.04,0.09,-0.34,,2.0,1.0,,3.0,,,,,,1.0,,42.321693906295,56.079276921159,1.0,,,,,,3.0,,,,,,,,,,,,,,,,
13981658,away,Torino,Faustino Anjorin,,,faustino-anjorin,F. Anjorin,M,14,186,1182,M,,907667,EUR,1006473600,M,14,14,True,,22.0,21.0,1.0,,0.0,8.0,8.0,13.0,14.0,1.0,,,,31.0,27.0,6.7,2.0,0.0115336,45.547267514764,8.0,9.9341369833606,,1,,-0.09,0.28,0.16,,,,1.0,2.0,2.0,,1.0,,,1.0,,,,,1.0,,,,,2.0,0.0368,-0.31,,,1.0,,1.0,,,,,,,,,
13981658,away,Torino,Giovanni Simeone,,,giovanni-simeone,G. Simeone,F,18,179,9782,M,simeonegiovanni,341143,EUR,804902400,F,18,18,True,,10.0,6.0,,,0.0,1.0,3.0,5.0,7.0,,,,,31.0,12.0,6.3,5.0,0.0272419,15.882696101804,3.0,-11.669114645365,,0,,-0.54,0.08,-0.02,,,,1.0,3.0,2.0,,,,,1.0,1.0,,,,,3.0,,,,,,,,,,,,,,,1.0,,,,,
13981658,away,Torino,Zakaria Aboukhlal,,,zakaria-aboukhlal,Z. Aboukhlal,F,7,179,8018,M,zakariaaboukhlal,856737,EUR,950832000,F,7,7,True,,18.0,14.0,2.0,1.0,0.0,5.0,6.0,9.0,12.0,,,,,21.0,27.0,6.6,7.0,0.0850449,114.11535668561,13.0,84.250355995115,,1,,-0.01,0.33,-0.1,,3.0,,1.0,6.0,3.0,2.0,,,,,1.0,14.146459986798,48.341206329182,4.0,1.0,1.0,,1.0,1.0,3.0,0.0307,-0.21,,,1.0,,,,,,,,,,,
13981658,away,Torino,Duván Zapata,,,duvan-zapata,D. Zapata,F,91,189,6003,M,duvanzapata91,38162,EUR,670464000,F,91,91,True,,,,,,0.0,,,,,,,,,15.0,2.0,6.4,,,,,,,1,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.2323,-0.42,,1.0,,0.3096,,,,,,,,,,
13981658,away,Torino,Franco Israel,,,franco-israel,F. Israel,G,81,189,2282,M,,1084846,EUR,956361600,G,81,81,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981658,away,Torino,Lapo Siviero,Lapo Siviero,,siviero-lapo,L. Siviero,G,99,195,65,M,,1519010,EUR,1164240000,G,99,99,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981658,away,Torino,Niels Nkounkou,,,nkounkou-niels,N. Nkounkou,D,25,184,549,M,,941179,EUR,973036800,D,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981658,away,Torino,Cristiano Biraghi,,,cristiano-biraghi,C. Biraghi,D,34,184,1338,M,,122848,EUR,715305600,D,34,34,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981658,away,Torino,Enzo Ebosse,,,enzo-ebosse,E. Ebosse,D,77,185,507,M,,848279,EUR,921110400,D,77,77,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981658,away,Torino,Adrien Tameze,,,adrien-tameze,A. Tameze,M,61,182,371,M,,139235,EUR,760320000,M,61,61,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981658,away,Torino,Sergiu Perciun,Sergiu,Perciun,sergiu-perciun,Perciun,M,83,180,372,M,,1592970,EUR,1145750400,M,83,83,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981658,away,Torino,Alieu Njie,,,alieu-njie,A. Njie,F,92,185,349,M,,1493157,EUR,1116028800,F,92,92,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
