match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_fouls,stat_keyPass,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,stat_goalAssist,stat_shotOffTarget,stat_accurateCross,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_onTargetScoringAttempt,stat_wonTackle,captain,stat_goals,stat_totalOffside,stat_blockedScoringAttempt,stat_penaltyConceded,player_sofascoreId,stat_hitWoodwork,stat_penaltyWon
10665969,home,Al-Fateh,Jacob Rinne,,,jacob-rinne,J. Rinne,G,35,188,92,M,289025,EUR,740534400,G,1,1,False,34.0,20.0,19.0,5.0,17.0,19.0,3.0,15.0,11.0,3.0,2.0,1.0,5.0,90.0,48.0,7.0,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10665969,home,Al-Fateh,Ali Alzubaidi,,,ali-alzubaidi,A. Alzubaidi,D,2,177,7,M,160903,EUR,726105600,D,27,27,False,32.0,23.0,5.0,2.0,17.0,18.0,6.0,16.0,5.0,,,,,81.0,50.0,6.4,16.0,0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10665969,home,Al-Fateh,Amaar Al Dohaim,,,amaar-al-dohaim,A. A. Dohaim,D,24,175,13,M,803055,EUR,746755200,D,24,24,False,45.0,37.0,7.0,2.0,32.0,36.0,5.0,9.0,7.0,,,,,90.0,54.0,6.4,9.0,0,,2.0,4.0,2.0,1.0,1.0,,,3.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,
10665969,home,Al-Fateh,Marwane Saadane,,,marwane-saadane,M. Saadane,D,17,185,1277,M,847714,EUR,695606400,D,17,17,False,53.0,38.0,14.0,5.0,21.0,26.0,17.0,27.0,4.0,,,,,90.0,62.0,6.9,15.0,1,,2.0,4.0,2.0,2.0,,,,5.0,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10665969,home,Al-Fateh,Tawfiq Buhumaid,,,tawfiq-buhumaid,T. Buhumaid,D,25,179,6,M,871425,EUR,562464000,D,25,25,False,15.0,9.0,1.0,,3.0,4.0,7.0,13.0,4.0,,,,,62.0,30.0,6.5,9.0,0,2.0,,1.0,4.0,1.0,,1.0,1.0,,,,,,3.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,
10665969,home,Al-Fateh,Firas Al-Buraikan,,,firas-al-buraikan,F. Al-Buraikan,F,9,181,1082,M,893307,EUR,958262400,M,9,9,False,15.0,8.0,,,4.0,4.0,4.0,11.0,3.0,,,,,90.0,37.0,6.5,12.0,2,,2.0,9.0,9.0,1.0,3.0,1.0,1.0,3.0,1.0,,4.0,,1.0,,,,1.0,2.0,5.0,2.0,1.0,,,,,,,,
10665969,home,Al-Fateh,Mohammed Al-Fuhaid,,,mohammed-al-fuhaid,M. Al-Fuhaid,M,28,171,10,M,818616,EUR,631843200,M,14,14,False,29.0,24.0,,,15.0,17.0,9.0,12.0,4.0,,,,,81.0,41.0,6.6,7.0,0,,2.0,8.0,5.0,1.0,,1.0,,4.0,3.0,,3.0,,1.0,,,,2.0,1.0,1.0,,2.0,True,,,,,,,
10665969,home,Al-Fateh,Mohammed Petros,,,petros,Petros,M,,182,273,M,552678,EUR,612403200,M,6,6,False,40.0,32.0,6.0,2.0,16.0,16.0,16.0,24.0,9.0,,,,,90.0,59.0,6.9,11.0,0,,2.0,4.0,10.0,,,1.0,,,3.0,,,,4.0,,,,3.0,2.0,6.0,,2.0,,,,,,,,
10665969,home,Al-Fateh,Ayman Al-Khulaif,,,ayman-al-khulaif,A. Al-Khulaif,F,7,166,26,M,872594,EUR,864259200,M,7,7,False,19.0,15.0,2.0,1.0,8.0,11.0,7.0,8.0,4.0,,,,,62.0,29.0,6.5,6.0,0,,,7.0,5.0,5.0,,,,1.0,,,2.0,1.0,,,,,3.0,2.0,2.0,,2.0,,,,,,,,
10665969,home,Al-Fateh,Sofiane Bendebka,,,sofiane-bendebka,S. Bendebka,M,28,180,1218,M,845609,EUR,713318400,F,28,28,False,16.0,12.0,1.0,1.0,6.0,7.0,6.0,9.0,2.0,,,,,90.0,28.0,7.0,9.0,1,,,6.0,3.0,,,3.0,,,2.0,,1.0,,2.0,,,,1.0,2.0,2.0,1.0,1.0,,1.0,1.0,,,,,
