match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_challengeLost,stat_accurateCross,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_goodHighClaim,stat_punches,stat_clearanceOffLine,stat_totalOffside
12117184,home,Internacional,Wanderson,wanderson,Wanderson,M,94,175,1923,M,247483,EUR,781401600,F,11,11,True,,12.0,11.0,,,0.0,,,12.0,16.0,3.0,,,,,35.0,22.0,7.4,6.0,0.122273,1,,,,4.0,,,1.0,1.0,1.0,,,,,,,1.0,,,0.7983,,,1.0,1.0,1.0,,,,1.0,1.0,0.9914,,,,,
12117184,home,Internacional,Lucas Alario,lucas-alario,L. Alario,F,27,184,1109,M,249893,EUR,718502400,F,31,31,True,,4.0,3.0,,,0.0,,,3.0,5.0,,,,,,18.0,8.0,6.6,2.0,0.0846422,1,,,,1.0,2.0,,3.0,1.0,,,,,,,,,,1.0,0.1042,2.0,,,1.0,1.0,,,1.0,1.0,,0.0974,,,,,
12117184,home,Internacional,Ricardo Mathias,ricardo-mathias,R. Mathias,F,77,192,1826,M,1483340,EUR,1153785600,F,49,49,True,,2.0,1.0,,,0.0,,,1.0,3.0,,,,,,9.0,7.0,6.8,2.0,0.00199313,3,,Ricardo Mathias,,1.0,2.0,3.0,2.0,3.0,,2.0,,,,,,,,,0.0946,,,,,,,1.0,,,,,,,,,
12117184,home,Internacional,Anthoni,anthoni,Anthoni,G,12,191,615,M,1106134,EUR,1011744000,G,24,24,True,,,,,,,,,,,,,,,,,,,,,0,,Anthoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117184,home,Internacional,Fabricio,fabricio,Fabricio,G,12,193,150,M,883917,EUR,505440000,G,12,12,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117184,home,Internacional,Renê,rene,Renê,D,6,174,1464,M,243113,EUR,716428800,D,6,6,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117184,home,Internacional,Evertow,evertow,Evertow,D,,186,26,M,1485212,EUR,1167609600,D,42,42,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117184,home,Internacional,Hyoran,hyoran,Hyoran,M,19,174,485,M,551348,EUR,738288000,M,7,7,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117184,home,Internacional,Gustavo Prado,gustavo-prado,G. Prado,M,47,179,743,M,1485220,EUR,1118016000,M,47,47,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117184,home,Internacional,Lucca,lucca,L. Holanda,F,99,180,616,M,1199435,EUR,1049241600,F,45,45,True,,,,,,,,,,,,,,,,,,,,,0,,Lucca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
