match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,player_firstName,player_lastName,stat_unsuccessfulTouch,stat_fouls,stat_dispossessed,stat_shotOffTarget,stat_outfielderBlock,stat_wasFouled,stat_penaltyWon,captain,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork,stat_goals,stat_penaltyMiss,stat_penaltyConceded,stat_goalAssist,stat_bigChanceCreated,stat_goodHighClaim,stat_penaltySave,stat_penaltyFaced
10438058,home,Portimonense SAD,Kosuke Nakamura,kosuke-nakamura,K. Nakamura,G,23,185,357,M,155775,EUR,793843200,G,32,32,False,23.0,12.0,19.0,8.0,7.0,11.0,5.0,12.0,2.0,8.0,1.0,4.0,1.0,1.0,1.0,90.0,38.0,6.9,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438058,home,Portimonense SAD,Zié Ouattara,zie-ouattara,Z. Ouattara,D,24,178,133,M,1005407,EUR,947376000,D,3,3,False,55.0,42.0,6.0,3.0,28.0,33.0,18.0,30.0,2.0,12.0,,,,,,90.0,79.0,7.3,18.0,1,8.0,4.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
10438058,home,Portimonense SAD,Pedrão,pedrao,Pedrão,D,44,194,152,M,931811,EUR,862617600,D,44,44,False,65.0,51.0,13.0,5.0,35.0,37.0,16.0,28.0,1.0,5.0,,,,,,90.0,68.0,6.3,15.0,0,,,,1.0,4.0,1.0,,,,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,
10438058,home,Portimonense SAD,Filipe Relvas,filipe-relvas,F. Relvas,D,44,192,529,M,1131931,EUR,937785600,D,22,22,False,52.0,44.0,7.0,5.0,34.0,39.0,11.0,16.0,6.0,5.0,,,,,,90.0,72.0,7.7,11.0,1,3.0,1.0,2.0,4.0,4.0,8.0,,,,2.0,,1.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
10438058,home,Portimonense SAD,Moustapha Seck,moustapha-seck,M. Seck,D,24,176,148,M,807292,EUR,825033600,D,14,14,False,27.0,20.0,3.0,2.0,11.0,14.0,9.0,17.0,1.0,5.0,,,,,,77.0,46.0,7.0,12.0,0,4.0,,,2.0,1.0,8.0,,,,4.0,3.0,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,
10438058,home,Portimonense SAD,Henrique Jocu,henrique-jocu,H. Jocu,M,28,171,83,M,976408,EUR,999993600,M,6,6,False,31.0,27.0,3.0,1.0,17.0,17.0,12.0,19.0,,6.0,,,,,,61.0,42.0,6.7,7.0,0,5.0,2.0,,,4.0,5.0,3.0,,,3.0,1.0,1.0,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,
10438058,home,Portimonense SAD,Ewerton,ewerton,Ewerton,M,8,175,46,M,592588,EUR,723168000,M,8,8,False,22.0,18.0,1.0,,8.0,8.0,11.0,15.0,,2.0,,,,,,61.0,34.0,6.8,5.0,1,1.0,1.0,2.0,,7.0,5.0,1.0,,1.0,3.0,2.0,1.0,,,,3.0,1.0,,,1.0,,True,1.0,1.0,1.0,,,,,,,,,,,
10438058,home,Portimonense SAD,Anderson Oliveira,anderson-oliveira,Anderson Oliveira,F,70,169,238,M,931538,EUR,900547200,M,11,11,False,29.0,21.0,3.0,1.0,5.0,8.0,19.0,26.0,,6.0,,,,,,90.0,45.0,6.6,14.0,1,5.0,3.0,3.0,,7.0,2.0,1.0,1.0,,,,3.0,,,1.0,,1.0,,,2.0,,,2.0,,,1.0,,,,,,,,,,
10438058,home,Portimonense SAD,Welinton Junior,welinton-junior,W. Junior,M,93,175,43,M,329307,EUR,739497600,M,93,93,False,5.0,4.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,,,,,,90.0,26.0,7.8,6.0,8,1.0,,2.0,2.0,3.0,6.0,1.0,1.0,,1.0,,,,,3.0,,,3.0,,3.0,1.0,,,,4.0,,1.0,1.0,1.0,,,,,,,
10438058,home,Portimonense SAD,Rui Gomes,gomes-rui,R. Gomes,M,12,172,41,M,993246,EUR,873331200,M,70,70,False,11.0,11.0,1.0,1.0,5.0,5.0,8.0,10.0,,2.0,,,,,,45.0,24.0,6.5,5.0,3,4.0,2.0,1.0,,7.0,3.0,2.0,1.0,,,,1.0,,,,2.0,1.0,2.0,,2.0,,,2.0,1.0,,,,,,,,,,,,
