match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_interceptionWon,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_aerialWon,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,player_sofascoreId,stat_unsuccessfulTouch,stat_fouls,stat_totalCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_keyPass,captain,stat_goalAssist,stat_bigChanceCreated,stat_accurateCross,stat_blockedScoringAttempt,stat_goals,player_firstName,player_lastName,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_punches,stat_bigChanceMissed,stat_errorLeadToAShot,stat_totalOffside,stat_hitWoodwork
11396476,home,Eintracht Frankfurt,Kevin Trapp,kevin-trapp,K. Trapp,G,35,189,1775,M,38440,EUR,647395200,G,1,1,False,31.0,24.0,9.0,3.0,23.0,25.0,1.0,6.0,1.0,9.0,2.0,1.0,1.0,90.0,37.0,7.2,7.0,0.0,0.0,0.00050417,0,0.6177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396476,home,Eintracht Frankfurt,Tuta,tuta,Tuta,D,3,184,1088,M,964191,EUR,931046400,D,35,35,False,67.0,65.0,2.0,2.0,41.0,41.0,24.0,26.0,,1.0,,,,65.0,72.0,6.9,2.0,0.0,0.0,0.00778564,0,,2.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396476,home,Eintracht Frankfurt,Robin Koch,robin-koch,R. Koch,D,4,190,1832,M,581302,EUR,837561600,D,4,4,False,103.0,88.0,16.0,8.0,53.0,58.0,35.0,45.0,,9.0,,,,90.0,110.0,7.4,15.0,0.0,0.0,0.0187734,0,,2.0,2.0,,2.0,,1.0,4.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11396476,home,Eintracht Frankfurt,Willian Pacho,willian-pacho,W. Pacho,D,51,187,25693,M,979480,EUR,1003190400,D,3,3,False,70.0,67.0,4.0,2.0,40.0,40.0,27.0,30.0,1.0,3.0,,,,90.0,80.0,7.2,4.0,0.0,0.0,0.0138605,0,,1.0,2.0,,3.0,,3.0,5.0,2.0,,,pachowilliam,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11396476,home,Eintracht Frankfurt,Junior Dina Ebimbe,junior-dina-ebimbe,J. D. Ebimbe,M,7,183,2059,M,904994,EUR,974764800,M,26,26,False,42.0,34.0,1.0,1.0,19.0,23.0,15.0,20.0,,7.0,,,,90.0,70.0,7.0,16.0,0.2866,0.0464,0.0691346,2,,1.0,7.0,,1.0,,2.0,5.0,1.0,1.0,1.0,,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
11396476,home,Eintracht Frankfurt,Ellyes Skhiri,ellyes-skhiri,E. Skhiri,M,15,185,4745,M,591706,EUR,800064000,M,15,15,False,46.0,34.0,4.0,1.0,18.0,22.0,16.0,24.0,1.0,6.0,,,,90.0,57.0,6.4,14.0,0.0,0.0,0.0401555,0,,2.0,5.0,1.0,,1.0,2.0,2.0,,,,ellyes_skhiri,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
11396476,home,Eintracht Frankfurt,Sebastian Rode,sebastian-rode,S. Rode,M,,179,171,M,35194,EUR,655603200,M,17,17,False,6.0,5.0,,,1.0,1.0,4.0,5.0,,,,,,6.0,6.0,,1.0,0.0,0.0,0.00190277,0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
11396476,home,Eintracht Frankfurt,Philipp Max,philipp-max,P. Max,D,,178,608,M,142672,EUR,749347200,M,31,31,False,44.0,40.0,1.0,,16.0,16.0,24.0,32.0,,3.0,,,,90.0,65.0,7.6,8.0,0.0127,0.0,0.673914,1,,,1.0,1.0,,,,4.0,2.0,2.0,2.0,,,,4.0,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,
11396476,home,Eintracht Frankfurt,Mario Götze,mario-gotze,M. Götze,M,27,176,5881,M,66518,EUR,707529600,F,27,27,False,57.0,47.0,6.0,3.0,19.0,19.0,30.0,43.0,,2.0,,,,84.0,74.0,7.4,15.0,0.0,0.0,0.216436,0,,,3.0,1.0,,,,6.0,2.0,,2.0,MarioGotze,,,5.0,,4.0,2.0,,,4.0,,,,2.0,,,,,,,,,,,
11396476,home,Eintracht Frankfurt,Randal Kolo Muani,randal-kolo-muani,R. K. Muani,F,39,187,23574,M,871706,EUR,912816000,F,9,9,False,11.0,8.0,1.0,1.0,1.0,1.0,7.0,10.0,,1.0,,,,84.0,31.0,7.2,12.0,0.9105,0.923,0.0126007,3,,2.0,11.0,,1.0,,2.0,6.0,,,2.0,RKM,1.0,2.0,,3.0,7.0,2.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,
