match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,captain,stat_totalClearance,stat_outfielderBlock,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotOffTarget,stat_hitWoodwork,stat_wasFouled,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_bigChanceCreated,stat_totalOffside,stat_accurateCross,stat_errorLeadToAShot,stat_errorLeadToAGoal
12421085,home,Royal Antwerp FC,Senne Lammens,,,senne-lammens,S. Lammens,G,31,193.0,27447,M,964753,EUR,1026000000,G,91,91,False,42.0,26.0,31.0,15.0,0.0,18.0,23.0,8.0,19.0,16.0,3.0,5.0,7.0,90.0,63.0,8.6,16.0,0.0023167,0,0.6576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421085,home,Royal Antwerp FC,Jelle Bataille,,,jelle-bataille,J. Bataille,D,25,175.0,224,M,889387,EUR,927158400,D,25,25,False,42.0,22.0,8.0,3.0,0.0,9.0,16.0,13.0,27.0,5.0,,,,89.0,66.0,6.9,22.0,0.0113696,0,,1.0,1.0,1.0,4.0,6.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12421085,home,Royal Antwerp FC,Toby Alderweireld,,,toby-alderweireld,T. Alderweireld,D,,186.0,1445,M,44575,EUR,604800000,D,23,23,False,37.0,23.0,15.0,6.0,0.0,15.0,18.0,8.0,19.0,4.0,,,,90.0,52.0,7.1,17.0,0.00332485,0,,,,3.0,,4.0,,,,1.0,1.0,,2.0,,,True,7.0,1.0,,,,,,,,,,,,,,,
12421085,home,Royal Antwerp FC,Zeno Van Den Bosch,,,van-den-bosch-zeno,Z. V. D. Bosch,D,33,191.0,594,M,1103765,EUR,1057449600,D,33,33,False,44.0,33.0,11.0,6.0,0.0,33.0,42.0,,2.0,4.0,,,,89.0,57.0,7.2,12.0,0.00021689,0,,,2.0,5.0,3.0,6.0,1.0,,,,1.0,1.0,1.0,,,,6.0,2.0,,,,,,,,,,,,,,,
12421085,home,Royal Antwerp FC,Ayrton Costa,,,ayrton-costa,A. Costa,D,32,179.0,1038,M,976485,EUR,931824000,D,5,5,False,48.0,31.0,11.0,3.0,0.0,22.0,32.0,9.0,17.0,4.0,,,,90.0,81.0,7.7,20.0,0.00481302,1,,1.0,5.0,10.0,5.0,13.0,,1.0,1.0,7.0,2.0,1.0,,,,,8.0,,1.0,0.0973,,,,,,,,,,,,,
12421085,home,Royal Antwerp FC,Denis Odoi,Denis,Odoi,denis-odoi,D. Odoi,M,3,177.0,876,M,58994,EUR,580694400,M,6,6,False,33.0,23.0,7.0,4.0,0.0,14.0,19.0,9.0,14.0,6.0,,,,90.0,48.0,7.2,11.0,0.00726619,1,,,3.0,5.0,7.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,4.0,1.0,,0.0208,1.0,1.0,1.0,,,,,,,,,,
12421085,home,Royal Antwerp FC,Mahamadou Doumbia,Mahamadou Doumbia,,mahamadou-doumbia,M. Doumbia,M,17,186.0,5407,M,1400846,EUR,1084579200,M,20,20,False,37.0,29.0,6.0,3.0,0.0,20.0,24.0,9.0,13.0,4.0,,,,90.0,64.0,6.6,18.0,0.00468892,3,,,1.0,2.0,10.0,10.0,,6.0,5.0,,3.0,1.0,3.0,2.0,,,4.0,,1.0,0.1529,1.0,,,6.0,1.0,1.0,0.2246,,,,,,
12421085,home,Royal Antwerp FC,Gyrano Kerk,,,gyrano-kerk,G. Kerk,M,7,175.0,505,M,386950,EUR,817862400,M,7,7,False,13.0,6.0,,,0.0,2.0,4.0,4.0,10.0,2.0,,,,80.0,38.0,6.8,18.0,0.0032237,1,,1.0,4.0,2.0,12.0,6.0,1.0,7.0,3.0,,,,2.0,1.0,,,1.0,,,0.2313,,,2.0,2.0,,1.0,0.3717,1.0,,,,,
12421085,home,Royal Antwerp FC,Tjaronn Chery,,,tjaronn-chery,T. Chery,M,10,170.0,874,M,35208,EUR,581385600,M,9,9,False,24.0,19.0,4.0,3.0,0.0,6.0,8.0,13.0,18.0,,,,,85.0,36.0,7.3,12.0,0.161232,2,,2.0,,,3.0,,1.0,2.0,,,,,3.0,,1.0,,1.0,,,0.9908,1.0,,,,1.0,1.0,0.6976,1.0,1.0,,,,
12421085,home,Royal Antwerp FC,Jacob Ondrejka,,,ondrejka-jacob,J. Ondrejka,M,17,180.0,1006,M,1004790,EUR,1030924800,M,11,11,False,13.0,7.0,,,0.0,1.0,2.0,6.0,11.0,2.0,,,,85.0,25.0,7.1,15.0,0.131903,1,,,2.0,2.0,6.0,3.0,1.0,1.0,,1.0,1.0,,6.0,1.0,1.0,,,,,0.0481,,,,2.0,,1.0,0.334,1.0,1.0,1.0,,,
