match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_aerialWon,stat_totalClearance,stat_fouls,stat_aerialLost,stat_shotOffTarget,stat_unsuccessfulTouch,player_height,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,captain,stat_goodHighClaim,stat_punches,stat_goalAssist,stat_bigChanceCreated,stat_totalOffside,stat_goals
11807968,home,RKAV Volendam,Dion Vlak,Dion Vlak,,dion-vlak,D. Vlak,G,22,6,M,1065542,EUR,993686400.0,G,23,23,False,39.0,21.0,31.0,13.0,13.0,18.0,8.0,21.0,8.0,1.0,1.0,90.0,41.0,6.7,18.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11807968,home,RKAV Volendam,Lex Veerman,,,lex-veerman,L. Veerman,D,4,1,M,1066442,EUR,1034726400.0,D,4,4,False,41.0,29.0,10.0,4.0,14.0,18.0,16.0,24.0,6.0,,,90.0,66.0,7.0,17.0,0,1.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
11807968,home,RKAV Volendam,Stef Schokker,Stef Schokker,,stef-schokker,S. Schokker,D,3,0,M,1423776,EUR,922492800.0,D,3,3,False,51.0,33.0,18.0,9.0,26.0,36.0,7.0,16.0,15.0,,,90.0,68.0,7.1,19.0,0,1.0,,2.0,4.0,1.0,,1.0,1.0,,5.0,2.0,2.0,,,1.0,5.0,1.0,,,,,,,,,,,,,
11807968,home,RKAV Volendam,Daan Steur,Daan Steur,,daan-steur,D. Steur,D,14,8,M,1423740,EUR,1028592000.0,D,14,14,False,53.0,40.0,12.0,8.0,28.0,31.0,12.0,22.0,12.0,,,90.0,65.0,7.4,13.0,1,,,2.0,2.0,,,,,2.0,1.0,,,1.0,,1.0,5.0,,2.0,1.0,,,,,,,,,,,
11807968,home,RKAV Volendam,Perry Karregat,Perry Karregat,,perry-karregat,P. Karregat,D,13,2,M,1423691,EUR,967593600.0,D,13,13,False,30.0,19.0,5.0,1.0,12.0,16.0,8.0,15.0,6.0,,,73.0,48.0,6.7,16.0,0,1.0,1.0,5.0,7.0,1.0,,1.0,1.0,,2.0,3.0,2.0,1.0,,2.0,1.0,1.0,3.0,,3.0,,,,,,,,,,
11807968,home,RKAV Volendam,Roy Tol,,,roy-tol,R. Tol,M,7,3,M,902444,EUR,900115200.0,M,7,7,False,17.0,11.0,2.0,2.0,7.0,7.0,6.0,15.0,2.0,,,90.0,27.0,6.8,11.0,1,5.0,2.0,1.0,,,1.0,,,,1.0,,,,,,,,,,1.0,173.0,1.0,,,,,,,,
11807968,home,RKAV Volendam,Patrick Plugboer,Patrick Plugboer,,patrick-plugboer,P. Plugboer,M,26,2,M,1423713,EUR,941328000.0,M,26,26,False,19.0,6.0,4.0,1.0,3.0,5.0,3.0,15.0,4.0,,,73.0,34.0,6.7,20.0,1,1.0,,5.0,4.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,4.0,,6.0,,1.0,,,,,,,,
11807968,home,RKAV Volendam,Eric Veerman,,,eric-veerman,E. Veerman,M,,0,M,253739,EUR,741398400.0,M,25,25,False,11.0,7.0,1.0,,2.0,2.0,5.0,9.0,1.0,,,37.0,16.0,6.7,6.0,1,,,,,,,,,,1.0,,,,1.0,,,,,1.0,2.0,180.0,,,,,,,,,
11807968,home,RKAV Volendam,Azeddine Sout,Azeddine Sout,,azeddine-sout,A. Sout,F,11,4,M,1423662,EUR,922924800.0,M,11,11,False,14.0,12.0,,,4.0,4.0,8.0,13.0,3.0,,,73.0,33.0,6.4,12.0,1,3.0,,3.0,3.0,,1.0,3.0,1.0,,,1.0,1.0,1.0,,,1.0,,,,4.0,,,1.0,,,,,,,
11807968,home,RKAV Volendam,Nick Runderkamp,Nick,Runderkamp,nick-runderkamp,N. Runderkamp,F,10,3,M,807638,EUR,839289600.0,F,20,20,False,34.0,27.0,5.0,3.0,13.0,13.0,17.0,34.0,6.0,,,90.0,61.0,7.1,21.0,0,13.0,3.0,7.0,4.0,1.0,,3.0,1.0,,,2.0,2.0,1.0,2.0,,,4.0,,,,182.0,,,True,,,,,,
