match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_dispossessed,stat_shotOffTarget,stat_interceptionWon,stat_expectedGoals,stat_blockedScoringAttempt,stat_wasFouled,stat_goalAssist,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId
11399378,home,Excelsior,Stijn van Gassel,,,stijn-van-gassel,S. van Gassel,G,1,185,166,M,367118,EUR,845596800,G,1,1,False,True,42.0,27.0,20.0,5.0,22.0,25.0,5.0,17.0,1.0,1.0,1.0,15.0,1.0,3.0,1.0,90.0,58.0,6.7,15.0,0.00406724,0,-0.7125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11399378,home,Excelsior,Siebe Horemans,,,siebe-horemans,S. Horemans,D,2,186,201,M,794990,EUR,896745600,D,2,2,False,,41.0,29.0,10.0,5.0,12.0,13.0,18.0,31.0,,4.0,2.0,10.0,,,,90.0,62.0,7.1,17.0,0.0304459,0,,3.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
11399378,home,Excelsior,Casper Widell,,,widell-casper,C. Widell,D,4,192,137,M,1031721,EUR,1052092800,D,5,5,False,,59.0,46.0,8.0,1.0,37.0,41.0,9.0,18.0,3.0,4.0,3.0,5.0,,,,90.0,67.0,6.5,14.0,0.0837219,1,,,,1.0,2.0,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,0.0142,,,,,,,,,,,,
11399378,home,Excelsior,Redouan El Yaakoubi,,,redouan-el-yaakoubi,R. E. Yaakoubi,D,,182,100,M,887617,EUR,822528000,D,4,4,False,,45.0,35.0,11.0,4.0,24.0,26.0,11.0,19.0,2.0,6.0,8.0,5.0,,,,90.0,64.0,7.1,11.0,0.0171309,1,,,,3.0,3.0,,,,,2.0,2.0,,,1.0,,,2.0,0.2308,1.0,2.0,,,,,,,,,,
11399378,home,Excelsior,Arthur Zagre,Arthur,Zagre,zagre-arthur,A. Zagre,D,12,168,411,M,910053,EUR,1002153600,D,12,12,False,,29.0,27.0,6.0,5.0,15.0,15.0,12.0,14.0,,,2.0,5.0,,,,87.0,42.0,7.1,4.0,0.190695,0,,,,,2.0,1.0,1.0,,1.0,,,1.0,,1.0,,,3.0,,,,1.0,,,,,,,,,
11399378,home,Excelsior,Lance Duijvestijn,,,lance-duijvestijn,L. Duijvestijn,M,70,179,148,M,946505,EUR,916358400,M,23,23,False,,22.0,16.0,2.0,1.0,8.0,8.0,9.0,15.0,,5.0,,5.0,,,,71.0,37.0,7.5,9.0,0.0421476,1,,1.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,,1.0,,,1.0,0.1669,,1.0,,1.0,1.0,0.4338,,,,,,
11399378,home,Excelsior,Julian Baas,,,julian-baas,J. Baas,M,16,184,147,M,1046143,EUR,1018915200,M,33,33,False,,40.0,31.0,2.0,1.0,18.0,20.0,14.0,25.0,1.0,5.0,2.0,2.0,,,,90.0,60.0,7.1,13.0,0.263996,0,,5.0,1.0,1.0,3.0,,1.0,1.0,1.0,2.0,1.0,,2.0,1.0,,,3.0,,,1.0,,,,,,,,,,
11399378,home,Excelsior,Cisse Sandra,,,cisse-sandra,C. Sandra,M,11,183,563,M,1004449,EUR,1071532800,M,8,8,False,,23.0,19.0,2.0,1.0,11.0,13.0,8.0,10.0,3.0,5.0,4.0,4.0,,,,83.0,35.0,7.0,4.0,0.0108333,0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,
11399378,home,Excelsior,Couhaib Driouech,,,couhaib-driouech,C. Driouech,F,11,175,4625,M,1047395,EUR,1019001600,M,14,14,False,,24.0,18.0,5.0,3.0,6.0,8.0,12.0,19.0,,7.0,2.0,6.0,,,,88.0,44.0,7.4,13.0,0.90759,2,,3.0,,1.0,6.0,2.0,3.0,3.0,,4.0,3.0,1.0,1.0,2.0,2.0,,,0.1213,,,,2.0,,0.3494,1.0,1.0,1.0,,,
11399378,home,Excelsior,Kenzo Goudmijn,,,kenzo-goudmijn,K. Goudmijn,M,24,174,248,M,916947,EUR,1008633600,F,10,10,False,,29.0,23.0,6.0,5.0,11.0,13.0,15.0,20.0,,3.0,,4.0,,,,90.0,46.0,7.6,12.0,0.218303,3,,4.0,3.0,,5.0,,3.0,1.0,,,,1.0,1.0,2.0,2.0,,,0.2977,1.0,2.0,,2.0,,0.2743,1.0,,,,,
