match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,captain,stat_aerialLost,stat_onTargetScoringAttempt,stat_goals,player_firstName,player_lastName,stat_goalAssist,stat_keyPass,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_totalOffside,stat_errorLeadToAShot
10388276,home,Borussia Dortmund,Gregor Kobel,gregor-kobel,G. Kobel,G,1,193,6864,M,gregorkobel,556866,EUR,881366400,G,1,1,False,28.0,22.0,15.0,9.0,18.0,19.0,4.0,9.0,1.0,3.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,2.0,90.0,40.0,7.4,6.0,0.0,0.0,0.00501932,0,0.0894,,,,,,,,,,,,,,,,,,,,,,,,,
10388276,home,Borussia Dortmund,Julian Ryerson,julian-ryerson,J. Ryerson,D,26,183,3446,M,,800951,EUR,879724800,D,26,26,False,41.0,37.0,2.0,1.0,22.0,24.0,16.0,21.0,,5.0,2.0,,2.0,4.0,1.0,,,,90.0,76.0,6.8,14.0,0.0,0.0,0.0326944,0,,4.0,1.0,7.0,3.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,,,,,,,,,,,,,,
10388276,home,Borussia Dortmund,Mats Hummels,mats-hummels,M. Hummels,D,15,191,4570,M,aussenrist15,16632,EUR,598233600,D,15,15,False,77.0,63.0,16.0,7.0,47.0,52.0,17.0,26.0,2.0,5.0,1.0,1.0,1.0,11.0,,,,,90.0,90.0,8.1,14.0,0.0777,0.1924,0.140723,1,,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,1.0,,,True,1.0,1.0,1.0,,,,,,,,,,
10388276,home,Borussia Dortmund,Nico Schlotterbeck,nico-schlotterbeck,N. Schlotterbeck,D,4,191,10353,M,nico.schlotterbeck,940871,EUR,944006400,D,4,4,False,23.0,20.0,3.0,2.0,9.0,10.0,11.0,13.0,,2.0,1.0,,,4.0,,,,,25.0,29.0,6.6,5.0,0.0,0.0,0.0171427,0,,,,3.0,,1.0,,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,
10388276,home,Borussia Dortmund,Raphaël Guerreiro,raphael-guerreiro,R. Guerreiro,D,22,170,7880,M,raphaelguerreiro14,246999,EUR,756518400,D,13,13,False,48.0,38.0,6.0,4.0,16.0,20.0,24.0,35.0,,4.0,1.0,1.0,1.0,4.0,1.0,,,,70.0,72.0,7.6,16.0,0.0,0.0,0.159298,0,,7.0,2.0,2.0,,1.0,,2.0,2.0,1.0,,,,1.0,,,,,1.0,1.0,,,,,,
10388276,home,Borussia Dortmund,Jude Bellingham,jude-bellingham,J. Bellingham,M,5,188,1020811,M,JudeBell,991011,EUR,1056844800,M,22,22,False,37.0,33.0,3.0,3.0,22.0,24.0,11.0,14.0,,7.0,3.0,2.0,1.0,5.0,2.0,,,,77.0,57.0,7.7,8.0,0.3868,0.7405,0.0260475,3,,1.0,,4.0,1.0,1.0,,1.0,3.0,1.0,1.0,1.0,,,2.0,1.0,,,,1.0,1.0,1.0,,,,
10388276,home,Borussia Dortmund,Emre Can,emre-can,E. Can,D,23,186,5006,M,emrecan23,138156,EUR,758332800,M,23,23,False,39.0,37.0,2.0,2.0,22.0,23.0,15.0,16.0,,4.0,,,1.0,5.0,2.0,,,,90.0,59.0,6.9,7.0,0.0,0.0,0.0354026,0,,,,4.0,,1.0,,3.0,2.0,1.0,3.0,2.0,,1.0,,,,,,,,,,,,
10388276,home,Borussia Dortmund,Julian Brandt,julian-brandt,J. Brandt,M,10,186,9499,M,julianbrandt,226978,EUR,830995200,M,19,19,False,28.0,22.0,5.0,3.0,7.0,9.0,16.0,21.0,,6.0,6.0,3.0,,5.0,2.0,,,,70.0,48.0,7.0,15.0,0.0,0.0,0.0857031,0,,2.0,1.0,7.0,1.0,2.0,,,1.0,1.0,3.0,1.0,,,,,,,1.0,2.0,,,,,,
10388276,home,Borussia Dortmund,Donyell Malen,donyell-malen,D. Malen,F,14,176,12595,M,donyellmalen,803039,EUR,916704000,F,21,21,False,28.0,19.0,1.0,1.0,7.0,10.0,13.0,21.0,,7.0,8.0,5.0,,5.0,1.0,,,,90.0,55.0,8.5,20.0,0.4003,1.0949,0.0251643,4,,3.0,1.0,6.0,,3.0,,,1.0,,,,,,3.0,2.0,,,,,,,1.0,,,
10388276,home,Borussia Dortmund,Sébastien Haller,sebastien-haller,S. Haller,F,91,190,47139,M,SebHaller,149731,EUR,772243200,F,9,9,False,26.0,15.0,,,5.0,7.0,10.0,19.0,6.0,7.0,1.0,,,1.0,1.0,,,,77.0,32.0,6.9,14.0,0.0545,0.0,0.0305521,1,,,,3.0,,1.0,,,,,1.0,,,1.0,,,,,,1.0,,1.0,,1.0,1.0,
