match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_keyPass,player_sofascoreId,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_expectedGoals,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_wasFouled,stat_expectedGoalsOnTarget,stat_outfielderBlock,captain,stat_goodHighClaim,stat_challengeLost,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals
11407417,home,Fiorentina,Pietro Terracciano,pietro-terracciano,P. Terracciano,G,1,193,1591,M,136856,EUR,636854400,G,1,1,False,29.0,27.0,8.0,6.0,24.0,24.0,3.0,5.0,1.0,6.0,1.0,1.0,1.0,90.0,35.0,6.7,2.0,0.00031146,0,-0.3474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407417,home,Fiorentina,Michael Kayode,michael-kayode,M. Kayode,D,33,179,2419,M,1137431,EUR,1089417600,D,33,33,False,52.0,44.0,7.0,5.0,23.0,26.0,23.0,31.0,1.0,8.0,,,,90.0,84.0,6.8,18.0,0.123491,0,,,,5.0,2.0,1.0,1.0,5.0,6.0,2.0,5.0,3.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11407417,home,Fiorentina,Lucas Martínez Quarta,lucas-martinez-quarta,L. M. Quarta,D,28,183,3115,M,795297,EUR,831686400,D,28,28,False,61.0,56.0,9.0,8.0,31.0,33.0,26.0,29.0,2.0,5.0,,,,90.0,80.0,7.2,9.0,0.0321629,1,,,,1.0,1.0,2.0,2.0,6.0,5.0,4.0,2.0,2.0,1.0,1.0,,,chinomartinezquarta96,1.0,1.0,2.0,0.128,,,,,,,,,,,,,
11407417,home,Fiorentina,Nikola Milenković,nikola-milenkovic,N. Milenković,D,31,195,5064,M,836168,EUR,876614400,D,4,4,False,82.0,71.0,10.0,5.0,50.0,53.0,21.0,29.0,1.0,6.0,,,,90.0,93.0,6.8,12.0,0.0530291,2,,,,,,3.0,4.0,5.0,7.0,,2.0,1.0,,1.0,,1.0,milenkovicn_4,,,2.0,0.0278,1.0,1.0,1.0,1.0,0.0413,,,,,,,,
11407417,home,Fiorentina,Fabiano Parisi,fabiano-parisi,F. Parisi,D,65,178,788,M,972886,EUR,973728000,D,65,65,False,66.0,58.0,8.0,5.0,23.0,24.0,35.0,49.0,,11.0,,,,90.0,95.0,7.7,18.0,0.153507,0,,,,7.0,,2.0,1.0,4.0,11.0,3.0,1.0,1.0,2.0,1.0,,,,3.0,,1.0,,1.0,,,6.0,,,,,,,,,
11407417,home,Fiorentina,Arthur,arthur,Arthur,M,29,172,8988,M,794927,EUR,839808000,M,6,6,False,69.0,62.0,7.0,3.0,24.0,27.0,39.0,43.0,,4.0,,,,82.0,81.0,6.8,10.0,0.163722,0,,,,1.0,1.0,,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,arthurmelo,,,,,1.0,,,,,,,,,,,,
11407417,home,Fiorentina,Alfred Duncan,alfred-duncan,A. Duncan,M,32,178,572,M,232224,EUR,731721600,M,32,32,False,48.0,40.0,7.0,5.0,16.0,18.0,26.0,38.0,,9.0,,,,73.0,61.0,6.9,15.0,0.149701,1,,,,8.0,2.0,1.0,,4.0,,1.0,,,,2.0,,1.0,,,,,0.0161,,1.0,,,0.2108,1.0,,,,,,,
11407417,home,Fiorentina,Nicolás González,nicolas-gonzalez,N. González,M,23,180,17229,M,901325,EUR,891820800,M,10,10,False,43.0,32.0,,,4.0,5.0,28.0,43.0,,4.0,,,,90.0,70.0,7.5,25.0,0.165198,4,,,,5.0,,1.0,6.0,6.0,10.0,3.0,1.0,1.0,4.0,1.0,,1.0,nicoigonzalez,,2.0,,0.1839,1.0,2.0,,3.0,0.0651,,,,,,,,
11407417,home,Fiorentina,Giacomo Bonaventura,giacomo-bonaventura,G. Bonaventura,M,,180,1099,M,36784,EUR,619747200,M,5,5,False,55.0,49.0,3.0,2.0,8.0,9.0,45.0,51.0,,3.0,,,,90.0,76.0,7.8,11.0,0.83072,2,,,,5.0,4.0,1.0,,2.0,6.0,2.0,2.0,1.0,2.0,,,6.0,,2.0,,,0.0576,1.0,,2.0,2.0,,,True,,,,,,
11407417,home,Fiorentina,Josip Brekalo,josip-brekalo,J. Brekalo,M,7,175,2234,M,357598,EUR,898560000,M,77,77,False,22.0,19.0,1.0,1.0,7.0,7.0,12.0,18.0,,2.0,,,,45.0,29.0,6.5,10.0,0.046182,0,,,,3.0,,,,2.0,,,,,3.0,1.0,,,,,,,,1.0,,,,,,,,,,,,
11407417,home,Fiorentina,M'Bala Nzola,mbala-nzola,M. Nzola,F,8,185,2430,M,788061,EUR,840326400,F,18,18,False,13.0,11.0,2.0,1.0,2.0,2.0,9.0,11.0,1.0,1.0,,,,73.0,26.0,7.2,8.0,0.114603,2,,,,,,,5.0,2.0,6.0,1.0,,,4.0,,1.0,2.0,,1.0,1.0,,0.1179,2.0,1.0,,,0.1025,,,,,,,,
11407417,home,Fiorentina,Riccardo Sottil,riccardo-sottil,R. Sottil,M,23,180,1381,M,893640,EUR,928368000,F,7,7,True,18.0,17.0,,,3.0,3.0,15.0,20.0,,1.0,,,,45.0,33.0,7.6,7.0,0.0517616,5,,,,5.0,1.0,,2.0,2.0,4.0,2.0,,,1.0,1.0,,1.0,,1.0,3.0,,0.3157,,2.0,,1.0,0.4796,,,,,,,,
11407417,home,Fiorentina,Lucas Beltrán,lucas-beltran,L. Beltrán,M,15,177,3780,M,962029,EUR,985824000,F,9,9,True,2.0,1.0,,,1.0,1.0,,1.0,,,,,,17.0,5.0,6.5,2.0,2.735e-05,2,,,,,,,,1.0,,,,,1.0,2.0,,,beltranlucass,,,,0.2006,,,2.0,,,,,,,,,,
11407417,home,Fiorentina,Rolando Mandragora,rolando-mandragora,R. Mandragora,M,8,183,2103,M,548178,EUR,867542400,M,38,38,True,18.0,16.0,1.0,1.0,4.0,4.0,12.0,18.0,,1.0,,,,17.0,22.0,6.7,6.0,0.114798,0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407417,home,Fiorentina,Christian Kouamé,christian-kouame,C. Kouamé,F,31,185,2375,M,812946,EUR,881366400,F,99,99,True,10.0,8.0,1.0,,,,8.0,10.0,,,,,,8.0,14.0,6.5,5.0,0.0434665,0,,,,,,,,2.0,,1.0,,,1.0,,,1.0,christianmichael.11,,,,,1.0,,,,,,,,,,,,
11407417,home,Fiorentina,Oliver Christensen,oliver-christensen,O. Christensen,G,53,190,517,M,860306,EUR,922060800,G,53,53,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
