match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_unsuccessfulTouch,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_dispossessed,stat_totalClearance,stat_fouls,player_firstName,player_lastName,stat_accurateCross,stat_shotOffTarget,captain,stat_goalAssist,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,stat_hitWoodwork
12190322,home,Arsenal,David Raya,david-raya,D. Raya,G,1,183,26174,M,d_raya1,581310,EUR,811123200,G,22,22,False,17.0,12.0,7.0,2.0,11.0,12.0,1.0,5.0,9.0,1.0,1.0,90.0,24.0,6.8,7.0,7.772e-05,0,0.0216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12190322,home,Arsenal,Ben White,benjamin-white,B. White,D,4,186,13830,M,benwhite,846036,EUR,876268800,D,4,4,False,58.0,48.0,1.0,,29.0,30.0,19.0,30.0,7.0,1.0,,90.0,80.0,9.7,16.0,0.0667165,2,,2.0,2.0,3.0,3.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.3132,1.0327,3.0,,,,,,,,,,,,,,,,,,,,
12190322,home,Arsenal,William Saliba,william-saliba,W. Saliba,D,2,193,43258,M,WSaliba4,941168,EUR,985392000,D,2,2,False,50.0,49.0,2.0,2.0,37.0,37.0,12.0,13.0,9.0,1.0,,90.0,56.0,7.1,3.0,0.00372224,0,,,,1.0,2.0,1.0,1.0,,,,,1.0,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
12190322,home,Arsenal,Gabriel Magalhães,gabriel-magalhaes,Gabriel,D,6,190,49131,M,GabrielMagalhães,869792,EUR,882489600,D,6,6,False,47.0,45.0,3.0,2.0,32.0,33.0,13.0,14.0,5.0,,,90.0,61.0,7.2,3.0,0.0105671,0,,,,,5.0,3.0,1.0,,,,,,2.0,3.0,2.0,,,,,1.0,7.0,3.0,,,,,,,,,,,,,,,,,
12190322,home,Arsenal,Takehiro Tomiyasu,tomiyasu-takehiro,T. Tomiyasu,D,32,188,10753,M,tomiyasu_t,804434,EUR,910224000,D,18,18,False,25.0,24.0,,,12.0,12.0,13.0,15.0,5.0,1.0,,72.0,39.0,7.3,3.0,0.0417311,1,,2.0,1.0,1.0,2.0,3.0,1.0,,,,,,2.0,1.0,1.0,1.0,0.2944,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,
12190322,home,Arsenal,Martin Ødegaard,martin-odegaard,M. Ødegaard,M,8,178,78911,M,Ødegaard,547410,EUR,913852800,M,8,8,False,66.0,58.0,7.0,5.0,24.0,25.0,36.0,44.0,6.0,2.0,,90.0,84.0,9.9,13.0,1.39446,2,,3.0,,,3.0,8.0,,4.0,3.0,,,,1.0,2.0,,3.0,0.0951,,8.0,1.0,,1.0,,,2.0,1.0,True,2.0,2.0,1.0,,,,,,,,,
12190322,home,Arsenal,Thomas Partey,thomas-partey,T. Partey,M,16,185,42575,M,TPartey5,316148,EUR,739929600,M,5,5,False,44.0,38.0,3.0,2.0,16.0,18.0,22.0,26.0,4.0,,,72.0,56.0,7.0,8.0,0.0285444,3,,,,1.0,4.0,3.0,,,,,,,3.0,1.0,1.0,1.0,0.1396,,2.0,2.0,1.0,2.0,,,,,,,,3.0,,,,,,,,,
12190322,home,Arsenal,Declan Rice,declan-rice,D. Rice,M,41,188,64734,M,DeclanRice,856714,EUR,916272000,M,41,41,False,38.0,33.0,1.0,1.0,11.0,12.0,22.0,26.0,5.0,1.0,,90.0,57.0,7.8,8.0,0.0413031,3,,,,1.0,4.0,7.0,1.0,3.0,1.0,1.0,,,2.0,5.0,3.0,,0.1843,0.0288,1.0,,2.0,1.0,,,,1.0,,1.0,,1.0,1.0,,,,,,,,
12190322,home,Arsenal,Bukayo Saka,bukayo-saka,B. Saka,F,7,178,182271,M,BSaka7,934235,EUR,999648000,F,7,7,False,32.0,29.0,2.0,,7.0,9.0,22.0,25.0,4.0,,,82.0,47.0,7.9,6.0,0.210557,4,,2.0,2.0,,4.0,5.0,,2.0,1.0,1.0,,,1.0,2.0,2.0,2.0,0.1438,0.1284,5.0,,,2.0,,,,1.0,,1.0,,2.0,,,,,,,,,
12190322,home,Arsenal,Kai Havertz,kai-havertz,K. Havertz,F,29,193,67778,M,KaiHav,836705,EUR,929059200,F,29,29,False,29.0,22.0,,,2.0,4.0,20.0,26.0,2.0,3.0,,72.0,38.0,8.6,12.0,0.099157,4,,1.0,4.0,4.0,6.0,4.0,,,,4.0,2.0,,,,,,1.0261,1.7792,2.0,1.0,,1.0,,,,,,,,,2.0,1.0,,,,,,,
