match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialWon,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_aerialLost,stat_duelLost,stat_totalContest,stat_fouls,player_sofascoreId,captain,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_challengeLost,stat_dispossessed,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalCross,player_firstName,player_lastName,stat_goals,stat_totalOffside,stat_accurateCross,stat_savedShotsFromInsideTheBox,stat_punches
13981533,home,Napoli,Vanja Milinković-Savić,vanja-milinkovic-savic,V. Milinković-Savić,G,32,202,6222,M,356160,EUR,856396800,G,32,32,False,48.0,31.0,25.0,8.0,0.0,25.0,29.0,6.0,19.0,1.0,6.0,2.0,1.0,1.0,90.0,54.0,6.5,19.0,0.0102248,0.0092,1.0,0,-0.0675,0.14,0.03,-0.08,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981533,home,Napoli,Sam Beukema,sam-beukema,S. Beukema,D,31,188,2235,M,898815,EUR,911260800,D,31,31,False,64.0,59.0,8.0,5.0,0.0,41.0,43.0,18.0,21.0,2.0,5.0,,,,90.0,70.0,6.9,5.0,0.00983803,,,0,,0.25,0.03,-0.13,,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981533,home,Napoli,Amir Rrahmani,amir-rrahmani,A. Rrahmani,D,13,190,3520,M,332155,EUR,762048000,D,13,13,False,51.0,50.0,2.0,2.0,0.0,38.0,39.0,12.0,12.0,,3.0,,,,64.0,55.0,7.0,1.0,0.0114706,,,0,,0.12,0.03,-0.14,,3.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981533,home,Napoli,Alessandro Buongiorno,alessandro-buongiorno,A. Buongiorno,D,4,191,3972,M,870263,EUR,928627200,D,4,4,False,50.0,40.0,3.0,1.0,0.0,29.0,32.0,11.0,18.0,4.0,5.0,,,,90.0,59.0,6.4,11.0,0.00453523,,,0,,0.0,0.02,-0.14,,3.0,4.0,1.0,1.0,1.0,,1.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
13981533,home,Napoli,Giovanni Di Lorenzo,giovanni-di-lorenzo,G. Di Lorenzo,D,22,182,6986,M,153257,EUR,744422400,M,22,22,False,42.0,31.0,2.0,,1.0,18.0,22.0,13.0,20.0,2.0,2.0,,,,90.0,67.0,7.3,16.0,0.60861,,1.0,2,,0.55,0.09,-0.04,,1.0,4.0,,1.0,,1.0,,3.0,2.0,2.0,dilorenzo22,True,1.0,1.0,1.0,1.0,1.0,0.0586,0.0352,-0.49,,,,,,,,,,,,,
13981533,home,Napoli,Stanislav Lobotka,stanislav-lobotka,S. Lobotka,M,68,170,4661,M,150383,EUR,785721600,M,68,68,False,48.0,43.0,,,0.0,24.0,26.0,19.0,22.0,,4.0,,,,90.0,54.0,6.4,5.0,0.0137758,,1.0,0,,0.02,0.07,-0.17,,,2.0,,1.0,,1.0,1.0,3.0,,,StanLobotka,,,,,,,,,,2.0,,,,,,,,,,,,
13981533,home,Napoli,Scott McTominay,scott-mctominay,S. McTominay,M,8,193,25748,M,879346,EUR,850003200,M,8,8,False,26.0,23.0,2.0,1.0,1.0,13.0,13.0,10.0,13.0,3.0,9.0,,,,90.0,56.0,7.2,10.0,0.0299156,,1.0,4,,0.2,0.22,0.34,,1.0,7.0,3.0,2.0,,4.0,2.0,8.0,2.0,1.0,ScottMcTominay,,1.0,,1.0,2.0,1.0,0.6191,0.2712,0.23,1.0,4.0,1.0,1.0,1.0,,,,,,,,
13981533,home,Napoli,Miguel Gutiérrez,miguel-gutierrez,M. Gutiérrez,D,3,180,4281,M,908716,EUR,996192000,M,3,3,False,17.0,15.0,1.0,,0.0,9.0,9.0,6.0,8.0,1.0,3.0,,,,69.0,27.0,6.1,7.0,0.0040634,,1.0,0,,-0.19,-0.2,-0.05,,,,,,,,,3.0,2.0,,MGutiérrez,,,,,,,,,,,1.0,,,,1.0,,,,,,,
13981533,home,Napoli,David Neres,david-neres,D. Neres,F,7,175,15134,M,850993,EUR,857347200,F,7,7,False,19.0,14.0,,,0.0,5.0,7.0,9.0,12.0,,3.0,,,,69.0,38.0,9.1,16.0,0.0347577,,1.0,2,,0.37,0.39,-0.05,,,1.0,,,,1.0,,4.0,1.0,1.0,davidneres,,,1.0,,2.0,7.0,0.347,0.6787,0.88,1.0,1.0,,,1.0,2.0,,,2.0,,,,
13981533,home,Napoli,Rasmus Højlund,rasmus-hojlund,R. Højlund,F,19,191,70296,M,1086417,EUR,1044316800,F,19,19,False,16.0,11.0,,,1.0,2.0,3.0,9.0,13.0,,1.0,,,,74.0,28.0,6.3,14.0,0.0152388,,1.0,0,,0.01,0.02,-0.02,,2.0,4.0,,,,2.0,5.0,9.0,1.0,2.0,RHøjlund,,,1.0,,,6.0,,,,,2.0,,,,,,,,2.0,,,
