match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,captain,stat_outfielderBlock,player_sofascoreId,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_dispossessed,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_keyPass,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_lastManTackle,stat_hitWoodwork,stat_totalOffside
14083187,home,Valencia,Julen Agirrezabala,,,julen-agirrezabala,J. Agirrezabala,G,25,187.0,1097,M,1014412,EUR,977788800,G,25,25,False,26.0,17.0,12.0,3.0,0.0,14.0,16.0,3.0,10.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,90.0,31.0,7.2,9.0,0.0008487,0.4,0,0.3489,0.03,0.0,-0.06,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083187,home,Valencia,Dimitri Foulquier,,,dimitri-foulquier,D. Foulquier,D,20,183.0,461,M,151138,EUR,732844800,D,20,20,False,55.0,44.0,4.0,1.0,0.0,32.0,38.0,12.0,17.0,,4.0,2.0,6.0,,,,,,90.0,83.0,6.9,18.0,0.00694773,,0,,0.05,0.09,-0.03,,3.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14083187,home,Valencia,César Tárrega,,,cesar-tarrega,C. Tárrega,D,5,193.0,816,M,996928,EUR,1014681600,D,5,5,False,49.0,44.0,4.0,1.0,0.0,38.0,41.0,6.0,8.0,3.0,3.0,8.0,2.0,,,,,,90.0,60.0,7.1,5.0,0.00251868,,0,,0.06,0.1,0.38,,,,1.0,2.0,,,,,,,,1.0,True,1.0,,,,,,,,,,,,,,,,
14083187,home,Valencia,Mouctar Diakhaby,,,mouctar-diakhaby,M. Diakhaby,D,4,192.0,4026,M,797306,EUR,850953600,D,4,4,False,59.0,54.0,7.0,5.0,0.0,38.0,39.0,16.0,20.0,3.0,5.0,6.0,1.0,,,,,,90.0,70.0,8.5,5.0,0.00842265,,1,,0.15,0.12,0.24,,,,,1.0,,,,,1.0,1.0,1.0,2.0,,,mouctar_dkh,1.0,1.0,0.3112,0.7607,0.54,,,,,,,,,,
14083187,home,Valencia,Jesús Vázquez,,,jesus-vazquez,J. Vázquez,D,21,182.0,419,M,996929,EUR,1041465600,D,21,21,False,24.0,20.0,1.0,1.0,0.0,14.0,17.0,6.0,7.0,2.0,6.0,2.0,3.0,,,,,,90.0,54.0,6.8,9.0,0.00478152,,2,,-0.08,0.04,-0.05,,,,1.0,7.0,1.0,3.0,2.0,,2.0,1.0,,2.0,,,,1.0,,0.0362,0.1192,0.01,2.0,1.0,1.0,,,,,,,
14083187,home,Valencia,Javier Guerra,,,javier-guerra,J. Guerra,M,8,187.0,1800,M,1122610,EUR,1052784000,M,8,8,False,33.0,29.0,2.0,2.0,1.0,19.0,22.0,10.0,11.0,,1.0,3.0,2.0,,,,,,62.0,44.0,6.7,8.0,0.0100947,,0,,0.01,0.08,-0.02,,2.0,,,3.0,1.0,,,,1.0,,,1.0,,,,,,,,,1.0,,1.0,2.0,,,,,,
14083187,home,Valencia,Baptiste Santamaria,,,baptiste-santamaria,B. Santamaria,M,22,183.0,473,M,344751,EUR,794707200,M,22,22,False,52.0,42.0,2.0,1.0,0.0,23.0,26.0,19.0,26.0,4.0,6.0,1.0,4.0,,,,,,90.0,64.0,7.2,12.0,0.00823006,,1,,-0.1,0.19,0.26,,,,,2.0,,,,1.0,2.0,2.0,,1.0,,2.0,,,,0.0975,,0.0,1.0,1.0,1.0,,,,,,,
14083187,home,Valencia,Luis Rioja,,,luis-rioja,L. Rioja,M,11,173.0,860,M,900433,EUR,750729600,M,11,11,False,24.0,20.0,1.0,1.0,1.0,13.0,14.0,7.0,10.0,,7.0,,4.0,,,,,,87.0,43.0,6.9,10.0,0.109589,,0,,-0.11,-0.1,-0.1,,7.0,3.0,2.0,7.0,3.0,2.0,2.0,1.0,2.0,,3.0,,,,,,,,,,2.0,,,2.0,1.0,,,,,
14083187,home,Valencia,Diego López,,,diego-lopez,D. López,M,16,172.0,1350,M,998950,EUR,1021248000,M,16,16,False,14.0,11.0,1.0,1.0,0.0,7.0,9.0,4.0,5.0,1.0,3.0,,3.0,,,,,,83.0,27.0,6.7,10.0,0.00698662,,1,,0.09,0.28,-0.02,,4.0,,,3.0,,2.0,1.0,,,,1.0,1.0,,,,,,0.0896,,-0.51,1.0,,1.0,,,1.0,1.0,,,
14083187,home,Valencia,Arnaut Danjuma,,,arnaut-danjuma,A. Danjuma,F,7,178.0,3536,M,827064,EUR,854668800,M,7,7,False,14.0,8.0,3.0,,0.0,4.0,5.0,4.0,9.0,,1.0,,2.0,,,,,,63.0,24.0,7.5,13.0,0.00326439,,1,,-0.07,0.34,0.13,,4.0,,,3.0,,,,,1.0,1.0,,2.0,,,,1.0,1.0,0.0664,0.141,0.51,1.0,,2.0,,,,,,,
14083187,home,Valencia,Hugo Duro,,,hugo-duro,H. Duro,F,9,180.0,2868,M,909119,EUR,942192000,F,9,9,False,23.0,18.0,,,0.0,5.0,8.0,13.0,15.0,1.0,3.0,1.0,1.0,,,,,,90.0,35.0,7.6,9.0,0.0124265,,1,,-0.05,-0.28,0.15,,,,1.0,5.0,,2.0,,,1.0,1.0,1.0,2.0,,,,1.0,1.0,0.4817,0.3756,0.51,,,2.0,1.0,1.0,,,,,
