match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_dispossessed,stat_bigChanceMissed,stat_unsuccessfulTouch,stat_keyPass,stat_totalCross,stat_shotOffTarget,stat_totalOffside,stat_totalContest,stat_bigChanceCreated,captain,stat_wonContest,stat_accurateCross,stat_goals,stat_penaltyWon,stat_penaltyMiss,stat_blockedScoringAttempt,stat_ownGoals,stat_penaltyConceded,stat_penaltySave,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,stat_goalAssist,stat_hitWoodwork
11368733,home,Atlético Madrid,Jan Oblak,jan-oblak,J. Oblak,G,13,189,12131,M,oblakjan,69768,EUR,726364800,G,13,13,False,25.0,14.0,18.0,7.0,9.0,10.0,5.0,15.0,5.0,1.0,4.0,5.0,90.0,33.0,7.4,11.0,0.00066471,0,-0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368733,home,Atlético Madrid,Axel Witsel,axel-witsel,A. Witsel,D,20,186,9808,M,axelwitsel28,35612,EUR,600566400,D,20,20,False,44.0,33.0,5.0,2.0,24.0,30.0,9.0,14.0,3.0,,,,90.0,55.0,6.8,12.0,0.0020665,0,,1.0,3.0,2.0,8.0,1.0,2.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368733,home,Atlético Madrid,Gabriel Paulista,gabriel-paulista,G. Paulista,D,3,187,5224,M,,124737,EUR,659577600,D,4,4,False,46.0,34.0,7.0,2.0,31.0,34.0,3.0,12.0,5.0,,,,90.0,56.0,6.8,12.0,0.00242105,1,,1.0,2.0,2.0,2.0,,7.0,,,,1.0,1.0,1.0,1.0,0.1851,0.1469,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368733,home,Atlético Madrid,Mario Hermoso,mario-hermoso,M. Hermoso,D,22,184,2630,M,,353130,EUR,803433600,D,22,22,False,57.0,48.0,5.0,3.0,30.0,31.0,18.0,26.0,4.0,,,,90.0,73.0,6.9,12.0,0.102533,1,,,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,,0.2888,0.0839,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11368733,home,Atlético Madrid,Marcos Llorente,marcos-llorente,M. Llorente,D,14,184,9206,M,marcosllorente,353138,EUR,791424000,M,14,14,False,39.0,31.0,1.0,1.0,17.0,19.0,14.0,22.0,7.0,,,,90.0,55.0,7.0,12.0,0.0422509,1,,2.0,1.0,5.0,3.0,1.0,1.0,1.0,,1.0,,1.0,,2.0,0.2869,,,,1.0,,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,
11368733,home,Atlético Madrid,Rodrigo de Paul,rodrigo-de-paul,R. de Paul,M,7,180,54582,M,RodridePaul,249399,EUR,769737600,M,5,5,False,34.0,30.0,8.0,7.0,13.0,14.0,17.0,21.0,2.0,,,,62.0,49.0,7.0,11.0,0.201036,2,,,1.0,3.0,3.0,,,1.0,,1.0,1.0,,1.0,1.0,0.1553,0.1098,,,1.0,1.0,3.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
11368733,home,Atlético Madrid,Koke,koke,Koke,M,6,177,5822,M,Koke6,84539,EUR,694828800,M,6,6,False,60.0,52.0,3.0,3.0,29.0,34.0,23.0,26.0,6.0,,,,62.0,68.0,7.0,8.0,0.0496444,0,,,2.0,4.0,5.0,2.0,,3.0,2.0,,,,1.0,2.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
11368733,home,Atlético Madrid,Pablo Barrios,pablo-barrios,P. Barrios,M,8,181,6589,M,PBarrios,1142588,EUR,1055635200,M,24,24,False,41.0,33.0,3.0,3.0,18.0,21.0,15.0,20.0,6.0,,,,90.0,56.0,6.8,11.0,0.0138537,0,,1.0,,4.0,1.0,1.0,3.0,,,,,,3.0,1.0,,,,,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,
11368733,home,Atlético Madrid,Samuel Lino,samuel-lino,S. Lino,M,16,178,22125,M,osamuellino,874705,EUR,945907200,M,12,12,False,38.0,34.0,1.0,1.0,15.0,16.0,19.0,24.0,4.0,,,,81.0,60.0,8.0,7.0,0.101184,1,,,,1.0,10.0,,1.0,4.0,3.0,2.0,1.0,,2.0,,0.017,0.0542,,,,,,1.0,2.0,,,5.0,1.0,,4.0,,,,,,,,,,,,,,
11368733,home,Atlético Madrid,Memphis Depay,memphis-depay,M. Depay,F,10,176,76320,M,Memphis,138833,EUR,761097600,F,9,9,False,28.0,22.0,1.0,1.0,9.0,10.0,14.0,23.0,5.0,,,,81.0,45.0,7.2,13.0,0.283276,4,,,1.0,1.0,5.0,,,1.0,1.0,2.0,3.0,,,,0.4756,0.729,,,,2.0,2.0,3.0,5.0,1.0,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,
