match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_challengeLost,stat_blockedScoringAttempt,stat_interceptionWon,stat_fouls,stat_outfielderBlock,stat_errorLeadToAShot,stat_wonContest,stat_accurateCross,stat_bigChanceCreated,stat_dispossessed,captain,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_bigChanceMissed,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_clearanceOffLine,stat_goalAssist,stat_goals
11352356,home,Brentford,Mark Flekken,mark-flekken,M. Flekken,G,1,194,2856,M,171919,EUR,739929600,G,1,1,False,44.0,18.0,37.0,11.0,9.0,10.0,9.0,34.0,1.0,1.0,1.0,4.0,2.0,3.0,3.0,1.0,90.0,51.0,7.0,26.0,0.00244181,0,0.3222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352356,home,Brentford,Saman Ghoddos,saman-ghoddos,S. Ghoddos,M,7,177,2079,M,548050,EUR,747273600,D,14,14,False,11.0,8.0,1.0,,4.0,4.0,4.0,9.0,,3.0,2.0,1.0,,,,,89.0,24.0,6.7,7.0,0.00657319,1,,,,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0581,1.0,,,,,,,,,,,,,,,,,,,,
11352356,home,Brentford,Kristoffer Ajer,kristoffer-ajer,K. Ajer,D,20,196,1144,M,576384,EUR,892771200,D,20,20,False,21.0,14.0,4.0,2.0,8.0,9.0,6.0,12.0,4.0,7.0,4.0,,,,,,90.0,37.0,6.5,8.0,0.00352475,1,,,,,2.0,6.0,,,2.0,,,1.0,,0.0832,,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
11352356,home,Brentford,Ethan Pinnock,ethan-pinnock,E. Pinnock,D,5,194,1052,M,855864,EUR,738633600,D,5,5,False,37.0,26.0,5.0,2.0,19.0,23.0,7.0,14.0,4.0,4.0,12.0,7.0,,,,,90.0,59.0,7.1,13.0,0.00466628,0,,,,,1.0,1.0,,,,,,,,,,,,2.0,,2.0,1.0,,,,,,,,,,,,,,
11352356,home,Brentford,Ben Mee,ben-mee,B. Mee,D,15,180,577,M,137774,EUR,622339200,D,16,16,False,38.0,27.0,3.0,,7.0,13.0,20.0,25.0,4.0,7.0,8.0,5.0,,,,,90.0,64.0,7.2,15.0,0.0430797,0,,,,,1.0,1.0,1.0,,2.0,1.0,2.0,,,,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,
11352356,home,Brentford,Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184,1191,M,814873,EUR,894758400,D,27,27,False,30.0,20.0,3.0,,6.0,16.0,15.0,17.0,2.0,5.0,1.0,7.0,,,,,90.0,44.0,7.2,13.0,0.17462,0,,,,3.0,3.0,3.0,1.0,,2.0,1.0,1.0,,,,1.0,,,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,
11352356,home,Brentford,Frank Onyeka,frank-onyeka,F. Onyeka,M,16,183,4631,M,885864,EUR,883612800,M,15,15,False,23.0,14.0,4.0,1.0,9.0,11.0,5.0,12.0,2.0,5.0,,9.0,,,,,89.0,43.0,6.9,14.0,0.00249396,0,,,,,3.0,7.0,,,1.0,1.0,3.0,2.0,,,,,,4.0,2.0,2.0,,,,,2.0,,,,,,,,,,
11352356,home,Brentford,Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,185,9605,M,135256,EUR,763257600,M,6,6,False,31.0,23.0,4.0,2.0,10.0,11.0,13.0,22.0,1.0,7.0,3.0,8.0,,,,,90.0,45.0,7.1,12.0,0.0152691,1,,,,2.0,,5.0,1.0,1.0,5.0,5.0,,,,0.0376,,3.0,,,1.0,,,1.0,,,1.0,True,,,,,,,,,
11352356,home,Brentford,Yehor Yarmolyuk,yarmoliuk-yehor,Y. Yarmolyuk,M,18,180,2555,M,1031258,EUR,1078099200,M,33,33,False,17.0,11.0,1.0,,1.0,3.0,10.0,15.0,2.0,2.0,1.0,1.0,,,,,72.0,24.0,6.8,7.0,0.00652516,1,,,,1.0,2.0,2.0,,,,,,,,0.0292,,,,,1.0,,,,,,,,1.0,0.1189,,,,,,,
11352356,home,Brentford,Bryan Mbeumo,bryan-mbeumo,B. Mbeumo,M,19,173,110440,M,927083,EUR,933984000,F,19,19,False,16.0,13.0,1.0,1.0,3.0,3.0,10.0,13.0,,3.0,2.0,2.0,,,,,90.0,35.0,6.7,10.0,0.1641,2,,,,,3.0,5.0,2.0,1.0,,,4.0,2.0,,0.2192,2.0,,,,1.0,,,1.0,,,,,1.0,,bryan_m19,1.0,,,,,
