match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_goalAssist,stat_totalCross,stat_aerialWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_keyPass,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_interceptionWon,stat_fouls,stat_accurateCross,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,player_sofascoreId,stat_blockedScoringAttempt,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_clearanceOffLine
11451044,home,Başakşehir FK,Volkan Babacan,volkan-babacan,V. Babacan,G,1,192,197,M,30143,EUR,587260800,G,1,1,False,True,41.0,35.0,8.0,2.0,34.0,37.0,1.0,4.0,1.0,1.0,1.0,1.0,9.0,1.0,2.0,1.0,2.0,1.0,90.0,55.0,7.0,6.0,0.00010965,0,-0.6194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451044,home,Başakşehir FK,Léo Dubois,leo-dubois,L. Dubois,D,,178,587,M,552680,EUR,779500800,D,15,15,False,,55.0,47.0,7.0,4.0,35.0,37.0,12.0,20.0,,6.0,2.0,,5.0,,,,,,88.0,79.0,6.3,17.0,0.163504,0,,,,1.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11451044,home,Başakşehir FK,Léo Duarte,leo-duarte,L. Duarte,D,5,183,505,M,839982,EUR,837561600,D,5,5,False,,96.0,89.0,10.0,5.0,74.0,77.0,15.0,19.0,2.0,2.0,4.0,5.0,2.0,,,,,,90.0,109.0,7.5,7.0,0.00683874,0,,,,,,1.0,,,,,,2.0,3.0,3.0,,,,,,,,,,,,,,,,,
11451044,home,Başakşehir FK,Jerome Opoku,opoku-jerome,J. Opoku,D,3,194,1395,M,920514,EUR,908323200,D,3,3,False,,76.0,68.0,4.0,2.0,58.0,62.0,10.0,14.0,2.0,6.0,4.0,1.0,6.0,1.0,,,,,90.0,91.0,6.7,10.0,0.00620106,0,,,,,,,,,1.0,,,1.0,3.0,1.0,4.0,3.0,,,,,,,,,,,,,,,
11451044,home,Başakşehir FK,Cemali Sertel,sertel-cemali,C. Sertel,D,19,186,55,M,929956,EUR,947116800,D,88,88,False,,15.0,9.0,4.0,1.0,7.0,9.0,2.0,6.0,,2.0,2.0,,2.0,1.0,,,,,45.0,19.0,6.4,6.0,0.00069241,0,,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,
11451044,home,Başakşehir FK,Deniz Türüç,deniz-turuc,D. Türüç,M,9,175,292,M,252207,EUR,728265600,M,23,23,False,,32.0,25.0,5.0,2.0,16.0,19.0,10.0,18.0,1.0,2.0,6.0,,3.0,2.0,,,,,81.0,46.0,6.9,14.0,0.199831,0,,,,,5.0,2.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,
11451044,home,Başakşehir FK,Berkay Özcan,berkay-ozcan,B. Özcan,M,8,178,161,M,806964,EUR,887500800,M,10,10,False,,62.0,53.0,11.0,4.0,39.0,43.0,14.0,19.0,,1.0,5.0,1.0,6.0,1.0,,,,,90.0,77.0,7.1,12.0,0.00748588,0,,,,,,,1.0,,2.0,2.0,,,2.0,2.0,3.0,,,3.0,,,,,,,,,,,,,
11451044,home,Başakşehir FK,João Figueiredo,joao-figueiredo,J. Figueiredo,F,25,179,1278,M,841012,EUR,833155200,M,25,25,False,,30.0,20.0,5.0,3.0,11.0,13.0,10.0,20.0,1.0,6.0,9.0,2.0,8.0,2.0,,,,,90.0,54.0,8.5,16.0,0.821456,3,,,,,3.0,3.0,3.0,1.0,3.0,3.0,2.0,,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.4047,0.374,,,,,,
11451044,home,Başakşehir FK,Emirhan İlkhan,emirhan-ilkhan,E. İlkhan,M,6,175,987,M,1142612,EUR,1086048000,M,26,26,False,,15.0,14.0,,,6.0,6.0,8.0,9.0,4.0,6.0,1.0,1.0,2.0,1.0,,,,,73.0,20.0,6.8,2.0,0.0299173,1,,,,1.0,,,,1.0,,,1.0,1.0,,,,1.0,,,,1.0,,,,0.2483,,1.0,,,,,
11451044,home,Başakşehir FK,Krzysztof Piątek,krzysztof-piatek,K. Piątek,F,9,183,13169,M,558738,EUR,804556800,F,9,9,False,,10.0,10.0,,,4.0,4.0,6.0,6.0,1.0,4.0,5.0,2.0,1.0,2.0,,,,,90.0,25.0,7.7,4.0,0.00252805,2,,,,,,,,,1.0,1.0,,,2.0,2.0,,3.0,,4.0,,,2.0,1.0,2.0,1.0001,1.1475,,pjona_9,,,,
