match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,stat_totalCross,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,captain,stat_aerialLost,stat_onTargetScoringAttempt,stat_wasFouled,stat_clearanceOffLine,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_accurateCross,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId,stat_goalAssist,stat_bigChanceCreated,stat_goals
10909919,home,Oxford United,Edward McGinty,,,edward-mcginty,E. McGinty,G,1,192.0,48,M,888057,EUR,933811200,G,21,21,False,26.0,9.0,25.0,8.0,1.0,5.0,8.0,21.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,90.0,27.0,5.7,17.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10909919,home,Oxford United,Djavan Anderson,,,djavan-anderson,D. Anderson,D,,174.0,101,M,227194,EUR,798422400,D,33,33,False,14.0,12.0,1.0,,8.0,8.0,4.0,7.0,,2.0,3.0,,3.0,6.0,,90.0,32.0,6.4,6.0,,0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
10909919,home,Oxford United,Elliott Moore,,,elliott-moore,E. Moore,D,24,195.0,46,M,855652,EUR,858470400,D,5,5,False,38.0,29.0,5.0,,26.0,27.0,3.0,11.0,2.0,4.0,3.0,,4.0,3.0,,90.0,45.0,6.3,9.0,,0,,,,1.0,1.0,1.0,1.0,,2.0,True,2.0,,,,,,,,,,,,,,,,,
10909919,home,Oxford United,Sam Long,,,sam-long,S. Long,D,2,179.0,34,M,255391,EUR,790214400,D,2,2,False,40.0,29.0,7.0,1.0,25.0,27.0,4.0,13.0,4.0,2.0,6.0,,4.0,4.0,,90.0,49.0,6.6,11.0,,1,,1.0,1.0,1.0,,1.0,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,
10909919,home,Oxford United,Ciaron Brown,,,ciaron-brown,C. Brown,D,3,185.0,77,M,948257,EUR,884736000,D,16,16,False,22.0,11.0,6.0,2.0,8.0,10.0,3.0,13.0,2.0,6.0,4.0,,4.0,2.0,,84.0,46.0,6.6,20.0,1.0,0,1.0,,,,2.0,1.0,,,2.0,,4.0,,1.0,,,,,,,,,,,,,,,
10909919,home,Oxford United,Lewis Bate,,,lewis-bate,L. Bate,M,4,172.0,205,M,980647,EUR,1035849600,M,14,14,False,32.0,26.0,2.0,1.0,11.0,14.0,15.0,20.0,,2.0,4.0,,3.0,3.0,,90.0,43.0,7.0,9.0,,0,2.0,2.0,1.0,1.0,,2.0,2.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,
10909919,home,Oxford United,Cameron Brannagan,,,cameron-brannagan,C. Brannagan,M,8,180.0,229,M,372522,EUR,831600000,M,8,8,False,28.0,22.0,2.0,1.0,14.0,16.0,8.0,12.0,,5.0,4.0,1.0,,2.0,,90.0,44.0,6.5,10.0,,3,,1.0,,,1.0,3.0,1.0,1.0,,,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,
10909919,home,Oxford United,Josh Murphy,Josh,Murphy,josh-murphy,J. Murphy,M,23,173.0,319,M,291483,EUR,793584000,M,23,23,False,3.0,,,,,,,5.0,,4.0,3.0,,1.0,3.0,,62.0,19.0,6.5,13.0,,0,2.0,,,,,3.0,3.0,2.0,1.0,,2.0,,,,1.0,,,1.0,,,,,,,,,,
10909919,home,Oxford United,Marcus McGuane,,,marcus-mcguane,M. McGuane,M,17,178.0,76,M,836692,EUR,917913600,M,18,18,False,29.0,26.0,,,15.0,16.0,11.0,13.0,1.0,2.0,1.0,,1.0,6.0,,84.0,35.0,6.3,6.0,1.0,0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
10909919,home,Oxford United,Billy Bodin,,,billy-bodin,B. Bodin,F,31,180.0,41,M,95707,EUR,701395200,M,7,7,False,19.0,14.0,1.0,1.0,3.0,5.0,11.0,16.0,5.0,6.0,7.0,1.0,1.0,2.0,,77.0,32.0,6.4,10.0,,0,2.0,3.0,1.0,,2.0,1.0,,1.0,,,3.0,,,,,,,,,,,,,,,,,
