match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelWon,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_aerialLost,stat_duelLost,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_errorLeadToAShot,stat_fouls,stat_shotOffTarget,stat_challengeLost,stat_totalContest,stat_wonContest,stat_keyPass,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,player_sofascoreId
12450943,home,Nantes,Anthony Lopes,,,anthony-lopes,A. Lopes,G,1,184,1194,M,48535,EUR,654739200,G,16,16,False,25.0,9.0,23.0,7.0,0.0,3.0,6.0,6.0,19.0,1.0,11.0,1.0,1.0,2.0,4.0,90.0,37.0,7.1,16.0,0.00407417,0,0.2269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450943,home,Nantes,Kelvin Amian,,,kelvin-amian,K. Amian,D,98,179,199,M,802143,EUR,886896000,D,98,98,False,26.0,19.0,6.0,2.0,0.0,9.0,10.0,10.0,19.0,,,,,,,90.0,48.0,7.4,12.0,0.0203428,1,,3.0,2.0,7.0,1.0,1.0,4.0,2.0,1.0,1.0,0.105,0.3123,,,,,,,,,,,,,,,,,,,,,
12450943,home,Nantes,Nicolas Pallois,,,nicolas-pallois,N. Pallois,D,5,190,248,M,106496,EUR,559008000,D,4,4,False,24.0,21.0,6.0,4.0,0.0,16.0,17.0,5.0,7.0,8.0,5.0,,,,,90.0,44.0,7.6,4.0,0.00286093,0,,,1.0,4.0,,,2.0,1.0,1.0,1.0,,,True,1.0,2.0,1.0,2.0,4.0,1.0,1.0,,,,,,,,,,,,,
12450943,home,Nantes,Nathan Zeze,Nathan Zeze,,zeze-nathan,N. Zeze,D,44,190,847,M,1154687,EUR,1119052800,D,44,44,False,19.0,10.0,9.0,2.0,0.0,7.0,9.0,3.0,10.0,5.0,1.0,,,,,70.0,31.0,6.4,9.0,0.00081465,1,,,3.0,4.0,,,1.0,1.0,,,0.0505,,,1.0,4.0,,,,,3.0,1.0,,,,,,,,,,,,
12450943,home,Nantes,Nicolas Cozza,,,nicolas-cozza,N. Cozza,D,3,178,184,M,886286,EUR,915753600,D,3,3,False,17.0,11.0,2.0,,0.0,4.0,5.0,7.0,12.0,4.0,1.0,,,,,90.0,38.0,6.4,11.0,0.0158076,0,,,2.0,4.0,,,1.0,1.0,3.0,,,,,1.0,2.0,,,,,,,1.0,1.0,1.0,,,,,,,,,
12450943,home,Nantes,Jean-Charles Castelletto,,,jean-charles-castelletto,J.-C. Castelletto,D,21,186,1499,M,191204,EUR,791078400,M,21,21,False,23.0,18.0,,,0.0,10.0,13.0,8.0,10.0,1.0,2.0,,,,,90.0,35.0,6.6,7.0,0.00961477,0,,,1.0,2.0,,,,,2.0,1.0,,,,1.0,4.0,,,1.0,,3.0,,,,,1.0,,,,,,,,
12450943,home,Nantes,Sorba Thomas,,,sorba-thomas,S. Thomas,M,7,185,586,M,911039,EUR,917222400,M,22,22,False,26.0,23.0,,,2.0,5.0,7.0,22.0,23.0,1.0,5.0,,,,,78.0,38.0,8.1,6.0,0.115599,1,,4.0,2.0,4.0,,,,,,2.0,0.0271,,,2.0,5.0,,,,,1.0,,1.0,,,4.0,4.0,1.0,2.0,1.0,,,,
12450943,home,Nantes,Johann Lepenant,,,johann-lepenant,J. Lepenant,M,8,176,892,M,963299,EUR,1035244800,M,8,8,False,37.0,31.0,4.0,3.0,0.0,17.0,19.0,14.0,18.0,,9.0,,,,,90.0,51.0,7.1,8.0,0.0108655,1,,,1.0,10.0,,,3.0,2.0,1.0,2.0,0.0378,,,1.0,6.0,,,,,2.0,,2.0,4.0,4.0,,,1.0,,1.0,,,,
12450943,home,Nantes,Douglas Augusto,,,douglas-augusto,D. Augusto,M,66,173,491,M,809034,EUR,853113600,M,6,6,False,29.0,23.0,2.0,1.0,0.0,10.0,11.0,13.0,18.0,4.0,8.0,,,,,90.0,46.0,7.5,9.0,0.0455811,1,,,1.0,6.0,1.0,,3.0,3.0,3.0,2.0,0.0401,0.0432,,,4.0,,2.0,2.0,,2.0,,2.0,,,1.0,,,,,,,,
12450943,home,Nantes,Moses Simon,,,moses-simon,M. Simon,F,27,168,4098,M,330051,EUR,805507200,M,27,27,False,18.0,12.0,2.0,1.0,0.0,4.0,5.0,10.0,18.0,2.0,5.0,,,,,90.0,43.0,6.7,16.0,0.14257,3,,5.0,,3.0,1.0,,,,4.0,1.0,0.269,0.1785,,2.0,7.0,,,,,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,,1.0,1.0,1.0,,
