match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalContest,stat_wonContest,stat_totalClearance,stat_clearanceOffLine,stat_outfielderBlock,stat_keyPass,stat_duelLost,stat_challengeLost,stat_unsuccessfulTouch,stat_aerialLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_expectedGoals,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_fouls,stat_expectedGoalsOnTarget,captain,stat_bigChanceCreated,stat_bigChanceMissed,player_sofascoreId,stat_hitWoodwork,stat_totalOffside
12764232,home,Ludogorets,Sergio Padt,,,sergio-padt,S. Padt,G,1,197,141,M,42894,EUR,644630400,G,1,1,False,43.0,29.0,26.0,12.0,0.0,23.0,25.0,6.0,18.0,1.0,2.0,10.0,1.0,2.0,3.0,5.0,90.0,54.0,7.5,14.0,0.00474241,0,1.2984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764232,home,Ludogorets,Edvin Kurtulus,,,edvin-kurtulus,E. Kurtulus,D,15,185,232,M,981899,EUR,952214400,D,15,15,False,40.0,31.0,6.0,1.0,0.0,22.0,27.0,9.0,13.0,,3.0,8.0,2.0,,,,90.0,54.0,6.8,9.0,0.0513236,0,,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12764232,home,Ludogorets,Olivier Verdon,,,olivier-verdon,O. Verdon,D,24,190,1170,M,889680,EUR,812851200,D,24,24,False,55.0,44.0,9.0,4.0,0.0,39.0,45.0,5.0,10.0,1.0,1.0,2.0,,,,,78.0,59.0,6.2,12.0,0.0192796,0,,,,3.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12764232,home,Ludogorets,Dinis Almeida,,,dinis-almeida,D. Almeida,D,4,190,98,M,811562,EUR,804297600,D,4,4,False,58.0,49.0,6.0,3.0,0.0,41.0,46.0,8.0,12.0,3.0,6.0,2.0,,,,,90.0,76.0,6.8,13.0,0.0112152,0,,1.0,1.0,7.0,,,,3.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,
12764232,home,Ludogorets,Denny Gropper,Denny,Gropper,danny-gruper,D. Gropper,D,14,176,80,M,993378,EUR,921542400,D,14,14,False,24.0,20.0,3.0,1.0,0.0,10.0,10.0,11.0,17.0,2.0,5.0,4.0,1.0,,,,90.0,52.0,6.9,7.0,0.150673,1,,1.0,1.0,9.0,,,1.0,2.0,1.0,1.0,1.0,,2.0,1.0,,3.0,1.0,1.0,0.0082,,,,,,,,,,,
12764232,home,Ludogorets,Ivajlo Chochev,,,ivajlo-chochev,I. Chochev,M,18,187,311,M,94681,EUR,729993600,M,18,18,False,31.0,21.0,2.0,1.0,0.0,19.0,20.0,2.0,11.0,7.0,8.0,3.0,1.0,,,,90.0,45.0,7.6,11.0,0.00195276,5,,,,2.0,,1.0,,9.0,1.0,,5.0,1.0,1.0,1.0,1.0,,,3.0,0.2796,1.0,1.0,1.0,2.0,0.3221,,,,,,
12764232,home,Ludogorets,Pedro Naressi,,,pedro-naressi,Pedro Naressi,M,30,178,218,M,872390,EUR,884390400,M,30,30,False,54.0,44.0,4.0,2.0,0.0,31.0,34.0,13.0,20.0,2.0,7.0,8.0,3.0,,,,90.0,75.0,7.1,13.0,0.0838796,1,,3.0,1.0,4.0,,1.0,1.0,5.0,1.0,,1.0,1.0,3.0,1.0,,,,1.0,0.0259,,,,,,,,,,,
12764232,home,Ludogorets,Jakub Piotrowski,,,jakub-piotrowski,J. Piotrowski,M,24,188,2365,M,825271,EUR,875923200,M,6,6,False,51.0,41.0,5.0,2.0,0.0,26.0,29.0,15.0,22.0,1.0,8.0,3.0,3.0,,,,87.0,74.0,6.5,16.0,0.00873271,1,,3.0,1.0,2.0,,,2.0,8.0,1.0,,,4.0,,3.0,2.0,,,,0.0108,,1.0,,1.0,,True,,,,,
12764232,home,Ludogorets,Erick Marcus,,,erick-marcus,Erick Marcus,M,77,172,690,M,1403439,EUR,1078099200,F,77,77,False,24.0,18.0,1.0,,2.0,8.0,10.0,12.0,19.0,1.0,7.0,7.0,,,,,87.0,46.0,7.7,18.0,0.274995,0,,5.0,4.0,,,,3.0,9.0,2.0,4.0,1.0,4.0,,2.0,,5.0,2.0,,,,,,1.0,,,1.0,,,,
12764232,home,Ludogorets,Kwadwo Duah,,,kwadwo-duah,K. Duah,F,9,185,878,M,827531,EUR,856742400,F,9,9,False,16.0,14.0,,,0.0,10.0,11.0,4.0,6.0,2.0,4.0,2.0,1.0,,,,78.0,26.0,7.6,4.0,0.0143042,3,,,,,,,1.0,1.0,,,,1.0,,1.0,,1.0,,1.0,0.2452,2.0,,1.0,,0.3937,,,,,,
