match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,player_sofascoreId,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_interceptionWon,stat_expectedGoals,stat_shotValueNormalized,stat_totalContest,stat_lastManTackle,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_wonContest,captain,stat_hitWoodwork,stat_totalOffside,stat_penaltyMiss,stat_penaltySave,stat_penaltyFaced,stat_punches,stat_clearanceOffLine,stat_outfielderBlock,stat_penaltyConceded,stat_errorLeadToAGoal,stat_errorLeadToAShot
14429567,home,Al-Nassr,Nawaf Al-Aqidi,,,nawaf-al-aqidi,N. Al-Aqidi,G,1,188.0,1512,M,1014518,EUR,957916800,G,1,1,False,31.0,13.0,23.0,5.0,0.0,9.0,11.0,4.0,20.0,1.0,1.0,9.0,4.0,6.0,1.0,1.0,90.0,41.0,7.9,18.0,0.00256147,0.983,0,1.6184,0.08,0.02,-0.07,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14429567,home,Al-Nassr,Sultan Al-Ghannam,,,sultan-al-ghannam,S. Al-Ghannam,D,2,173.0,1607,M,830126,EUR,768182400,D,2,2,False,25.0,21.0,2.0,,0.0,10.0,11.0,11.0,14.0,2.0,4.0,3.0,,,,,79.0,36.0,6.6,8.0,0.0436917,,0,,0.04,0.14,-0.19,,5.0,1.0,2.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14429567,home,Al-Nassr,Mohamed Simakan,,,mohamed-simakan,M. Simakan,D,3,187.0,5883,M,945063,EUR,957312000,D,3,3,False,29.0,24.0,3.0,1.0,0.0,12.0,14.0,12.0,15.0,1.0,5.0,5.0,,,,,90.0,36.0,6.9,6.0,0.00403113,,0,,0.16,0.16,-0.12,,,,1.0,,2.0,,,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14429567,home,Al-Nassr,Iñigo Martínez,,,inigo-martinez,I. Martínez,D,26,181.0,62014,M,173883,EUR,674438400,D,26,26,False,23.0,22.0,1.0,1.0,0.0,17.0,18.0,5.0,5.0,1.0,3.0,1.0,,,,,90.0,33.0,6.7,2.0,0.0260073,,1,,0.29,0.05,-0.15,,,,2.0,,,2.0,,1.0,2.0,2.0,1.0,1.0,IñigoMartínez,1.0,1.0,1.0,0.0891,-0.07,,,,,,,,,,,,,,,,,,,,,
14429567,home,Al-Nassr,Nawaf Boushal,,,nawaf-boushal,N. Boushal,D,12,178.0,1391,M,986400,EUR,937440000,D,12,12,False,27.0,22.0,2.0,,0.0,13.0,15.0,9.0,12.0,,8.0,4.0,,,,,90.0,58.0,7.3,9.0,0.00359173,,0,,-0.05,0.02,0.65,,1.0,,3.0,,,,,2.0,7.0,8.0,6.0,1.0,,,,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
14429567,home,Al-Nassr,Kingsley Coman,,,kingsley-coman,K. Coman,M,21,178.0,32898,M,280441,EUR,834624000,M,21,21,False,34.0,28.0,1.0,1.0,0.0,7.0,7.0,21.0,27.0,,2.0,6.0,,,,,88.0,48.0,8.4,14.0,0.582988,,4,,0.68,0.45,-0.06,,3.0,,6.0,,,1.0,5.0,4.0,,2.0,2.0,4.0,KingComan,,2.0,,0.3698,0.49,1.0,,3.0,1.0,1.0,1.0,0.7342,,,,,,,,,,,,,,
14429567,home,Al-Nassr,Marcelo Brozović,,,marcelo-brozovic,M. Brozović,M,11,181.0,13081,M,108800,EUR,721872000,M,11,11,False,9.0,9.0,3.0,3.0,0.0,2.0,2.0,7.0,7.0,,1.0,,,,,,19.0,12.0,6.8,1.0,0.0138778,,0,,0.14,-0.04,-0.04,,,,2.0,1.0,,,,,,1.0,1.0,,marcelo_brozovic,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
14429567,home,Al-Nassr,Ângelo,Ângelo,,angelo,Ângelo,M,20,182.0,9961,M,1086455,EUR,1103587200,M,20,20,False,36.0,26.0,1.0,1.0,1.0,5.0,5.0,21.0,31.0,,6.0,4.0,,,,,79.0,53.0,7.2,19.0,0.195841,,1,,0.03,0.58,-0.06,,2.0,,6.0,1.0,,1.0,1.0,,,4.0,3.0,1.0,angelogabriel,,,,0.0184,-0.07,4.0,,,1.0,,,,2.0,2.0,,,,,,,,,,,,
14429567,home,Al-Nassr,Sadio Mané,,,sadio-mane,S. Mané,M,10,175.0,169227,M,217704,EUR,702864000,M,10,10,False,51.0,43.0,1.0,,2.0,8.0,9.0,35.0,42.0,2.0,9.0,8.0,,,,,88.0,74.0,7.4,14.0,0.0724521,,5,,0.34,0.32,-0.11,,1.0,,6.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,SadioMané,3.0,2.0,1.0,0.8703,-0.61,3.0,,,1.0,2.0,,0.216,3.0,3.0,,,,,,,,,,,,
14429567,home,Al-Nassr,Cristiano Ronaldo,,,cristiano-ronaldo,C. Ronaldo,F,7,187.0,2307715,M,750,EUR,476409600,F,7,7,False,23.0,18.0,,,1.0,3.0,3.0,15.0,20.0,1.0,1.0,1.0,,,,,90.0,38.0,6.8,9.0,0.0322377,,8,,-0.39,0.34,0.16,,1.0,,3.0,,,,2.0,1.0,1.0,,,,CR7,2.0,4.0,,1.3733,0.08,2.0,,1.0,3.0,1.0,1.0,1.2414,,,True,1.0,2.0,1.0,,,,,,,,
