match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_challengeLost,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_penaltyConceded,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_errorLeadToAShot,stat_keyPass,stat_totalCross,stat_blockedScoringAttempt,stat_dispossessed,stat_totalContest,stat_wonContest,stat_goals,stat_accurateCross,player_sofascoreId,stat_totalOffside,captain,stat_bigChanceCreated,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_lastManTackle
12499349,home,Como,Emil Audero,emil-audero,E. Audero,G,1,190,10668,M,318603,EUR,853545600,G,1,1,False,18.0,15.0,6.0,3.0,0.0,12.0,12.0,3.0,6.0,4.0,1.0,1.0,3.0,90.0,25.0,5.6,3.0,0.0012107,0,-2.0921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499349,home,Como,Edoardo Goldaniga,edoardo-goldaniga,E. Goldaniga,D,5,193,345,M,295133,EUR,752198400,D,5,5,False,40.0,34.0,6.0,4.0,0.0,15.0,17.0,19.0,23.0,2.0,,,,90.0,58.0,6.2,8.0,0.0106448,0,,,,2.0,1.0,3.0,5.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12499349,home,Como,Alberto Dossena,dossena-alberto,A. Dossena,D,4,195,511,M,870211,EUR,908236800,D,13,13,False,46.0,38.0,4.0,1.0,0.0,25.0,29.0,13.0,17.0,5.0,,,,90.0,57.0,5.7,8.0,0.00365726,1,,,,4.0,2.0,7.0,4.0,5.0,,,,,2.0,2.0,2.0,1.0,1.0,1.0,0.0517,0.5239,,,,,,,,,,,,,,,,,
12499349,home,Como,Marc-Oliver Kempf,marc-oliver-kempf,M. O. Kempf,D,2,186,853,M,226974,EUR,791251200,D,2,2,False,76.0,66.0,3.0,2.0,0.0,35.0,37.0,31.0,39.0,4.0,,,,90.0,89.0,6.6,12.0,0.0157966,1,,,,,2.0,,4.0,2.0,2.0,,,1.0,2.0,,,,2.0,,0.0573,,1.0,1.0,1.0,,,,,,,,,,,,,,
12499349,home,Como,Alberto Moreno,alberto-moreno,A. Moreno,D,18,171,850,M,229740,EUR,710294400,D,18,18,False,34.0,27.0,6.0,3.0,0.0,17.0,19.0,10.0,18.0,5.0,,,,73.0,54.0,6.5,12.0,0.0107128,1,,,,2.0,1.0,3.0,3.0,3.0,,2.0,2.0,1.0,,1.0,,,,,0.0111,,,,1.0,3.0,1.0,,,,,,,,,,,,
12499349,home,Como,Luca Mazzitelli,luca-mazzitelli,L. Mazzitelli,M,4,180,415,M,369866,EUR,816393600,M,36,36,False,39.0,32.0,6.0,3.0,0.0,15.0,18.0,17.0,22.0,2.0,,,,85.0,55.0,7.2,12.0,0.0203022,1,,,,3.0,,5.0,4.0,4.0,,1.0,1.0,2.0,2.0,2.0,,1.0,,,0.0523,0.6529,,,2.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,
12499349,home,Como,Matthias Braunöder,matthias-braunoder,M. Braunöder,M,27,173,418,M,962282,EUR,1017187200,M,27,27,False,23.0,19.0,2.0,1.0,0.0,16.0,16.0,3.0,7.0,1.0,,,,62.0,31.0,5.8,5.0,0.00095387,1,,,,,,3.0,4.0,1.0,,3.0,2.0,1.0,1.0,2.0,1.0,,,,0.0884,,,,,,1.0,,,,,,,,,,,,
12499349,home,Como,Gabriel Strefezza,gabriel-strefezza,G. Strefezza,M,7,168,2181,M,877201,EUR,861321600,M,7,7,False,22.0,16.0,3.0,,0.0,5.0,6.0,13.0,20.0,5.0,,,,73.0,42.0,6.9,11.0,0.0343852,0,,,,,,5.0,10.0,,,3.0,2.0,1.0,6.0,1.0,2.0,,,,,,,,3.0,4.0,,2.0,1.0,1.0,,2.0,,,,,,,
12499349,home,Como,Nico Paz,nico-paz,N. Paz,M,10,185,88676,M,1171451,EUR,1094601600,M,79,79,False,38.0,31.0,1.0,,0.0,11.0,14.0,21.0,28.0,7.0,,,,90.0,63.0,7.3,14.0,0.0650645,4,,,,2.0,3.0,5.0,10.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,,,,0.1498,,3.0,,1.0,4.0,1.0,,4.0,3.0,,1.0,nicopaz1o,,,,,,
12499349,home,Como,Alieu Fadera,fadera-alieu,A. Fadera,M,20,181,1183,M,1031548,EUR,1004745600,M,16,16,False,10.0,9.0,,,0.0,3.0,3.0,6.0,7.0,1.0,,,,45.0,20.0,6.5,5.0,0.00251374,0,,,,1.0,1.0,5.0,5.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,2.0,1.0,,,,1.0,,,,,
12499349,home,Como,Patrick Cutrone,patrick-cutrone,P. Cutrone,F,10,183,2328,M,795044,EUR,883785600,F,10,10,False,17.0,17.0,,,0.0,7.0,7.0,10.0,10.0,3.0,,,,85.0,25.0,7.1,4.0,0.27091,2,,,,3.0,,5.0,1.0,,,1.0,,4.0,,1.0,1.0,,,,0.0847,,1.0,,2.0,,1.0,,,,,,,,True,2.0,,,
