match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,player_sofascoreId,captain,stat_totalOffside,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_hitWoodwork,stat_onTargetScoringAttempt,stat_punches
10433834,away,Fenerbahçe,Attila Szalai,,,attila-szalai,A. Szalai,D,41,192,2460,M,823092,EUR,885254400,D,41,41,False,61.0,51.0,13.0,7.0,26.0,28.0,25.0,33.0,2.0,2.0,,,,90.0,72.0,7.3,10.0,1,,,1.0,5.0,4.0,1.0,,,,,2.0,1.0,,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,
10433834,away,Fenerbahçe,Ferdi Kadıoğlu,,,ferdi-kadioglu,F. Kadıoğlu,D,24,174,21029,M,825844,EUR,939254400,M,7,7,False,35.0,28.0,2.0,1.0,11.0,14.0,17.0,22.0,1.0,6.0,,,,89.0,50.0,6.6,11.0,0,1.0,,,3.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,ferdikadioglu,,,,,,,
10433834,away,Fenerbahçe,Miguel Crespo,,,miguel-crespo,M. Crespo,M,13,187,619,M,972410,EUR,842400000,M,27,27,False,38.0,27.0,4.0,1.0,12.0,14.0,15.0,26.0,,5.0,,,,70.0,52.0,6.7,17.0,3,2.0,,2.0,6.0,6.0,1.0,2.0,3.0,2.0,,1.0,,,1.0,2.0,,,,,,,,,,2.0,,1.0,
10433834,away,Fenerbahçe,Willian Arão,,,willian-arao,Willian Arão,M,15,181,1889,M,242213,EUR,700358400,M,5,5,False,28.0,15.0,1.0,1.0,7.0,11.0,8.0,17.0,2.0,6.0,,,,90.0,34.0,6.7,14.0,0,,,2.0,2.0,5.0,1.0,1.0,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,
10433834,away,Fenerbahçe,Lincoln,,,lincoln,Lincoln,M,18,177,842,M,794928,EUR,910396800,M,18,18,False,52.0,40.0,6.0,1.0,18.0,21.0,22.0,32.0,,6.0,,,,86.0,81.0,6.8,21.0,0,1.0,,,4.0,5.0,1.0,,2.0,,,3.0,2.0,3.0,2.0,,1.0,1.0,,,2.0,,,,,,,,
10433834,away,Fenerbahçe,İrfan Can Kahveci,,,irfan-can-kahveci,İ. C. Kahveci,M,71,180,4232,M,226986,EUR,805766400,F,17,17,False,13.0,10.0,,,1.0,2.0,11.0,16.0,,2.0,,,,70.0,32.0,6.3,14.0,0,5.0,2.0,,7.0,2.0,,2.0,4.0,,,,,1.0,2.0,1.0,1.0,,,,,irfankahveci,,,,,,,
10433834,away,Fenerbahçe,João Pedro Galvão,,,joao-pedro-galvao,João Pedro Galvão,F,9,184,2062,M,123208,EUR,700099200,F,20,20,False,5.0,4.0,2.0,2.0,,,4.0,5.0,,,,,,70.0,16.0,6.7,7.0,0,,,1.0,7.0,4.0,,2.0,1.0,,1.0,,,2.0,3.0,3.0,1.0,1.0,,,,,,1.0,,,,,
10433834,away,Fenerbahçe,Enner Valencia,,,enner-valencia,E. Valencia,F,13,177,9820,M,106456,EUR,626140800,F,13,13,False,17.0,14.0,1.0,1.0,2.0,2.0,12.0,15.0,,4.0,,,,90.0,42.0,6.9,11.0,4,,,,6.0,10.0,,3.0,5.0,4.0,,2.0,2.0,4.0,4.0,1.0,,2.0,1.0,,,ennervalencia,,2.0,1.0,2.0,,1.0,
10433834,away,Fenerbahçe,Bright Osayi-Samuel,,,bright-osayi-samuel,B. Osayi-Samuel,D,26,175,5511,M,791616,EUR,883526400,M,21,21,True,7.0,2.0,1.0,,1.0,5.0,1.0,2.0,2.0,2.0,,,,20.0,13.0,6.4,5.0,0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,
10433834,away,Fenerbahçe,Mert Hakan Yandaş,,,mert-hakan-yandas,M. H. Yandaş,M,8,174,1762,M,856849,EUR,777254400,M,8,8,True,10.0,7.0,3.0,2.0,4.0,6.0,3.0,4.0,,3.0,,,,20.0,17.0,6.3,6.0,0,,,1.0,5.0,1.0,1.0,2.0,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,
10433834,away,Fenerbahçe,Michy Batshuayi,,,michy-batshuayi,M. Batshuayi,F,22,185,6853,M,147745,EUR,749520000,F,23,23,True,4.0,1.0,,,,,1.0,4.0,,1.0,,,,20.0,7.0,6.5,4.0,0,,,3.0,4.0,3.0,,1.0,,,,,,,,1.0,,2.0,,,,mbatshuayi,,1.0,,,,,
10433834,away,Fenerbahçe,Ezgjan Alioski,,,ezgjan-alioski,E. Alioski,D,7,173,798,M,137060,EUR,697852800,D,6,6,True,5.0,3.0,1.0,,2.0,2.0,1.0,3.0,,,,,,9.0,7.0,6.4,2.0,0,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
10433834,away,Fenerbahçe,Diego Rossi,,,diego-rossi,D. Rossi,F,10,170,1998,M,831809,EUR,894153600,F,9,9,True,1.0,,,,,,,1.0,,,,,,1.0,2.0,,2.0,0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
10433834,away,Fenerbahçe,İrfan Can Eğribayat,,,irfan-can-egribayat,İ. C. Eğribayat,G,71,193,1983,M,594618,EUR,891216000,G,70,70,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433834,away,Fenerbahçe,Emre Mor,,,emre-mor,E. Mor,M,99,169,2588,M,826258,EUR,869702400,M,99,99,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433834,away,Fenerbahçe,İsmail Yüksek,,,ismail-yuksek,İ. Yüksek,M,5,183,3150,M,952600,EUR,917308800,M,80,80,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433834,away,Fenerbahçe,Arda Güler,Arda Guler,,arda-guler,A. Güler,M,15,176,398635,M,1091116,EUR,1109289600,M,10,10,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,AGüler,,,,,,,
10433834,away,Fenerbahçe,Serdar Dursun,,,serdar-dursun,S. Dursun,F,19,190,1064,M,123917,EUR,687830400,F,19,19,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
