match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_aerialWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,captain,stat_totalCross,stat_dispossessed,stat_wonContest,stat_errorLeadToAShot,stat_unsuccessfulTouch,player_sofascoreId,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12499420,home,SC Freiburg,Noah Atubolu,noah-atubolu,N. Atubolu,G,1,190,1842,M,980626,EUR,1022284800,G,1,1,False,34.0,23.0,19.0,8.0,0.0,18.0,18.0,5.0,16.0,9.0,1.0,3.0,3.0,90.0,41.0,7.5,11.0,0.00918978,0,1.0525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499420,home,SC Freiburg,Kiliann Sildillia,kiliann-sildillia,K. Sildillia,D,25,186,666,M,1014222,EUR,1021507200,D,25,25,False,42.0,29.0,4.0,,0.0,12.0,13.0,17.0,29.0,3.0,,,,90.0,61.0,7.2,14.0,0.00738901,2,,,,4.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0189,1.0,,,,,,,,,,,,,,,,,,,,
12499420,home,SC Freiburg,Matthias Ginter,matthias-ginter,M. Ginter,D,28,189,887,M,142259,EUR,758937600,D,28,28,False,71.0,59.0,8.0,3.0,0.0,39.0,41.0,20.0,30.0,5.0,,,,90.0,81.0,7.3,13.0,0.118567,0,,,,3.0,5.0,6.0,,,1.0,2.0,1.0,,,,1.0,3.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,
12499420,home,SC Freiburg,Philipp Lienhart,philipp-lienhart,P. Lienhart,D,3,189,690,M,576266,EUR,837043200,D,3,3,False,77.0,71.0,7.0,2.0,0.0,48.0,51.0,23.0,26.0,7.0,,,,90.0,82.0,7.2,6.0,0.0174818,0,,,,2.0,3.0,3.0,,,1.0,,,,,,1.0,2.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,
12499420,home,SC Freiburg,Christian Günter,christian-gunter,C. Günter,D,30,184,352,M,142231,EUR,730857600,D,30,30,False,32.0,20.0,5.0,2.0,0.0,8.0,14.0,12.0,21.0,2.0,,,,90.0,50.0,6.8,17.0,0.0680574,1,,,,1.0,3.0,2.0,1.0,,1.0,,,1.0,,0.019,1.0,1.0,,1.0,1.0,,,True,3.0,1.0,1.0,1.0,,,,,,,,,
12499420,home,SC Freiburg,Maximilian Eggestein,maximilian-eggestein,M. Eggestein,M,8,181,429,M,569784,EUR,850003200,M,8,8,False,62.0,58.0,2.0,1.0,0.0,33.0,33.0,25.0,29.0,4.0,,,,90.0,77.0,6.8,8.0,0.0305139,2,,,,3.0,8.0,5.0,,2.0,,1.0,1.0,2.0,,0.07,1.0,1.0,,1.0,3.0,3.0,2.0,,,2.0,,,,,,,,,,,
12499420,home,SC Freiburg,Patrick Osterhage,osterhage-patrick,P. Osterhage,M,6,183,261,M,914755,EUR,949363200,M,6,6,False,52.0,45.0,3.0,1.0,0.0,25.0,27.0,20.0,25.0,6.0,,,,90.0,70.0,7.0,11.0,0.0215402,0,,,,,3.0,6.0,,,,1.0,1.0,,,,,2.0,1.0,2.0,5.0,2.0,2.0,,,1.0,1.0,,2.0,,,,,,,,
12499420,home,SC Freiburg,Ritsu Doan,ritsu-doan,R. Doan,M,20,172,5674,M,790965,EUR,897955200,M,42,42,False,21.0,13.0,3.0,1.0,0.0,5.0,7.0,10.0,16.0,3.0,,,,90.0,44.0,7.6,14.0,0.187679,2,,,,,2.0,8.0,1.0,1.0,,,2.0,,2.0,0.1105,1.0,2.0,,2.0,,3.0,3.0,,2.0,1.0,1.0,,2.0,doanritsu,2.0,1.0,,,,,
12499420,home,SC Freiburg,Lucas Höler,lucas-holer,L. Höler,F,9,184,586,M,280009,EUR,773798400,M,9,9,False,32.0,19.0,1.0,,0.0,8.0,9.0,11.0,25.0,2.0,,,,90.0,55.0,7.6,19.0,0.00975978,2,,,,3.0,5.0,11.0,,,1.0,1.0,2.0,1.0,,0.2385,,5.0,,1.0,,3.0,3.0,,2.0,1.0,1.0,,2.0,,,,1.0,2.0,0.5242,,
12499420,home,SC Freiburg,Eren Dinkçi,eren-dinkci,E. Dinkçi,M,8,188,848,M,1067120,EUR,1008201600,M,18,18,False,10.0,6.0,2.0,,0.0,3.0,4.0,3.0,6.0,,,,,45.0,23.0,5.8,12.0,0.00193793,0,,,,,7.0,,,,,,,,,,,,2.0,5.0,,,,,,,,,3.0,,,,,,,,
