match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_hitWoodwork,stat_totalClearance,stat_wasFouled,stat_fouls,stat_totalTackle,player_firstName,player_lastName,stat_wonTackle,stat_totalContest,stat_wonContest,stat_outfielderBlock,captain,stat_blockedScoringAttempt,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_interceptionWon,stat_totalOffside,stat_dispossessed,stat_unsuccessfulTouch,stat_goalAssist,stat_bigChanceCreated,stat_goodHighClaim,stat_bigChanceMissed,stat_errorLeadToAShot
11396450,home,SC Freiburg,Noah Atubolu,noah-atubolu,N. Atubolu,G,1,190,1842,M,980626,EUR,1022284800,G,1,1,False,33.0,18.0,20.0,5.0,15.0,18.0,3.0,15.0,3.0,2.0,3.0,90.0,38.0,6.1,15.0,0.0,0.0,0.00211334,0,0.4676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396450,home,SC Freiburg,Philipp Lienhart,philipp-lienhart,P. Lienhart,D,3,189,690,M,576266,EUR,837043200,D,3,3,False,61.0,53.0,9.0,4.0,42.0,44.0,11.0,17.0,5.0,,,90.0,70.0,6.2,9.0,0.057,0.0,0.0177307,1,,1.0,4.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11396450,home,SC Freiburg,Matthias Ginter,matthias-ginter,M. Ginter,D,28,189,887,M,142259,EUR,758937600,D,28,28,False,47.0,42.0,4.0,,27.0,28.0,15.0,19.0,7.0,,,90.0,56.0,6.0,5.0,0.0,0.0,0.0112539,0,,3.0,2.0,3.0,3.0,,,,4.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
11396450,home,SC Freiburg,Manuel Gulde,manuel-gulde,M. Gulde,D,,184,63,M,71952,EUR,666316800,D,5,5,False,63.0,56.0,5.0,1.0,38.0,40.0,18.0,23.0,1.0,,,90.0,65.0,6.2,7.0,0.1148,0.0,0.00853024,1,,,4.0,2.0,5.0,,1.0,,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
11396450,home,SC Freiburg,Lukas Kübler,lukas-kubler,L. Kübler,D,17,183,237,M,142525,EUR,715132800,D,17,17,False,27.0,21.0,3.0,,10.0,11.0,11.0,16.0,4.0,,,85.0,46.0,6.9,7.0,0.0,0.0,0.00789485,0,,2.0,1.0,2.0,7.0,,,,2.0,3.0,,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11396450,home,SC Freiburg,Maximilian Eggestein,maximilian-eggestein,M. Eggestein,M,8,181,429,M,569784,EUR,850003200,M,8,8,False,27.0,23.0,2.0,2.0,6.0,6.0,17.0,21.0,4.0,,,90.0,41.0,6.6,6.0,0.0231,0.0,0.0279825,1,,1.0,1.0,5.0,4.0,,,,,,2.0,2.0,,,1.0,3.0,1.0,1.0,True,1.0,2.0,,,,,,,,,,,,,,
11396450,home,SC Freiburg,Nicolas Höfler,nicolas-hofler,N. Höfler,M,27,181,162,M,49639,EUR,636940800,M,27,27,False,40.0,36.0,2.0,2.0,14.0,16.0,22.0,24.0,6.0,,,82.0,46.0,7.1,4.0,0.2527,0.6447,0.0240935,1,,2.0,1.0,3.0,4.0,,,,2.0,2.0,1.0,1.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,
11396450,home,SC Freiburg,Roland Sallai,roland-sallai,R. Sallai,F,7,182,8489,M,355088,EUR,864259200,M,22,22,False,27.0,19.0,1.0,,7.0,11.0,13.0,23.0,4.0,,,90.0,56.0,7.1,16.0,0.1095,0.0,0.104078,4,,,2.0,3.0,9.0,,,,2.0,4.0,2.0,2.0,,,1.0,2.0,1.0,,,4.0,1.0,,,rolandsallai,7.0,1.0,2.0,1.0,,,,,,,
11396450,home,SC Freiburg,Ritsu Doan,ritsu-doan,R. Doan,M,20,172,5674,M,790965,EUR,897955200,M,42,42,False,24.0,19.0,2.0,1.0,3.0,3.0,18.0,26.0,6.0,,,85.0,48.0,7.0,15.0,0.1152,0.0,0.262685,1,,2.0,,8.0,8.0,2.0,1.0,,,2.0,,2.0,,,1.0,7.0,4.0,,,,3.0,,,doanritsu,5.0,2.0,,,1.0,3.0,,,,,
11396450,home,SC Freiburg,Lucas Höler,lucas-holer,L. Höler,F,9,184,586,M,280009,EUR,773798400,M,9,9,False,18.0,9.0,1.0,,1.0,2.0,9.0,17.0,2.0,,,77.0,28.0,7.4,10.0,0.171,0.5579,0.0189466,3,,2.0,1.0,5.0,3.0,,,,1.0,1.0,2.0,1.0,,,,1.0,,1.0,,,1.0,3.0,1.0,,1.0,1.0,,,,,,,,,
