match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_keyPass,stat_aerialWon,stat_outfielderBlock,stat_wonTackle,stat_wasFouled,stat_fouls,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_wonContest
10825440,home,Curzon Ashton FC,Chris Renshaw,,,chris-renshaw,C. Renshaw,G,1,190.0,9,M,824796,EUR,875232000.0,G,1,1,False,32.0,14.0,30.0,12.0,3.0,8.0,11.0,24.0,3.0,7.0,2.0,3.0,4.0,3.0,90.0,41.0,7.9,18.0,0,,,,,,,,,,,,,,,,,,,,,,,
10825440,home,Curzon Ashton FC,Craig Mahon,,,craig-mahon,C. Mahon,M,,170.0,2,M,44600,EUR,614390400.0,D,21,21,False,43.0,28.0,15.0,4.0,18.0,22.0,12.0,23.0,1.0,12.0,,,,,90.0,61.0,6.4,21.0,0,True,2.0,2.0,1.0,7.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,,,,
10825440,home,Curzon Ashton FC,Marcus Poscha,Marcus,Poscha,marcus-poscha,M. Poscha,D,4,180.0,1,M,555388,EUR,840153600.0,D,4,4,False,26.0,14.0,11.0,3.0,13.0,19.0,1.0,7.0,7.0,2.0,,,,,90.0,43.0,7.2,13.0,0,,,,,1.0,4.0,,,,1.0,2.0,,1.0,1.0,2.0,1.0,1.0,,,,,,
10825440,home,Curzon Ashton FC,Devon Matthews,Devon Matthews,,devon-matthews,D. Matthews,D,17,190.0,12,M,1423951,EUR,946944000.0,D,5,5,False,16.0,13.0,3.0,2.0,12.0,14.0,1.0,2.0,1.0,2.0,,,,,90.0,24.0,7.3,3.0,0,,,,2.0,3.0,5.0,,,,,2.0,,1.0,2.0,1.0,2.0,1.0,,,,,,
10825440,home,Curzon Ashton FC,Connor Hampson,,,connor-hampson,C. Hampson,D,3,178.0,3,M,860259,EUR,714528000.0,D,3,3,False,36.0,25.0,3.0,1.0,13.0,18.0,12.0,19.0,1.0,4.0,,,,,90.0,61.0,7.6,16.0,1,,1.0,,1.0,2.0,4.0,,1.0,,3.0,2.0,,2.0,2.0,2.0,,,1.0,1.0,,,,
10825440,home,Curzon Ashton FC,Ryan Hall,,,ryan-hall,R. Hall,F,,178.0,1,M,860791,EUR,771120000.0,M,7,7,False,4.0,2.0,,,1.0,1.0,1.0,3.0,,,,,,,20.0,5.0,6.5,2.0,0,,,,,,,,,,,,,,,,,,,,,,,
10825440,home,Curzon Ashton FC,Adam Barton,Adam,Barton,adam-barton,A. Barton,M,22,180.0,3,M,49235,EUR,663206400.0,M,22,22,False,30.0,23.0,8.0,5.0,10.0,14.0,13.0,16.0,1.0,2.0,,,,,90.0,34.0,6.7,8.0,0,,,,2.0,2.0,1.0,,,,,1.0,,,,1.0,,,,1.0,,,,
10825440,home,Curzon Ashton FC,Samuel Walker,,,samuel-walker,S. Walker,M,,176.0,1,M,824833,EUR,545443200.0,M,8,8,False,40.0,24.0,4.0,1.0,11.0,11.0,13.0,30.0,,8.0,,,,,90.0,54.0,6.8,19.0,0,,1.0,,2.0,5.0,3.0,1.0,1.0,,3.0,2.0,,1.0,,2.0,,1.0,,1.0,,,,
10825440,home,Curzon Ashton FC,William Hayhurst,,,william-hayhurst,W. Hayhurst,D,,178.0,2,M,231682,EUR,762048000.0,M,11,11,False,29.0,21.0,6.0,,7.0,8.0,15.0,25.0,2.0,7.0,,,,,89.0,51.0,7.0,15.0,2,,4.0,1.0,1.0,2.0,5.0,,,,,,1.0,2.0,,,3.0,1.0,,2.0,2.0,,,
10825440,home,Curzon Ashton FC,Tom Peers,,,tom-peers,T. Peers,F,7,178.0,8,M,338021,EUR,814406400.0,F,9,9,False,30.0,21.0,,,6.0,8.0,15.0,22.0,1.0,7.0,,,,,89.0,35.0,6.6,12.0,1,,,,2.0,5.0,,,1.0,,,,1.0,,,,,4.0,,2.0,,1.0,,
