match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_outfielderBlock,stat_fouls,stat_unsuccessfulTouch,stat_challengeLost,stat_shotOffTarget,stat_interceptionWon,player_firstName,player_lastName,stat_wasFouled,stat_accurateCross,stat_dispossessed,stat_keyPass,stat_goalAssist,stat_bigChanceCreated,captain,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed,player_sofascoreId,stat_errorLeadToAShot
10433823,home,Kayserispor,Bilal Bayazit,bilal-bayazit,B. Bayazit,G,25,185,235,M,825850,EUR,923529600,G,25,25,False,25.0,11.0,19.0,6.0,8.0,12.0,3.0,13.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,90.0,34.0,6.9,15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433823,home,Kayserispor,Onur Bulut,onur-bulut,O. Bulut,D,6,179,562,M,142494,EUR,766454400,D,38,38,False,39.0,30.0,7.0,2.0,16.0,17.0,14.0,23.0,5.0,6.0,,4.0,3.0,,,90.0,63.0,7.9,13.0,2,1.0,2.0,1.0,3.0,2.0,1.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10433823,home,Kayserispor,Majid Hosseini,majid-hosseini,M. Hosseini,D,5,187,803,M,359332,EUR,835228800,D,5,5,False,22.0,15.0,3.0,1.0,13.0,16.0,2.0,6.0,4.0,2.0,,,,,,90.0,29.0,6.6,8.0,0,,,4.0,,,,5.0,,,1.0,,,,,,,,,,,,,,,,,,,
10433823,home,Kayserispor,Dimitris Kolovetsios,dimitris-kolovetsios,D. Kolovetsios,D,,183,103,M,68228,EUR,687571200,D,4,4,False,22.0,18.0,2.0,,15.0,16.0,3.0,6.0,,3.0,,,,,,90.0,33.0,6.7,4.0,2,,2.0,,3.0,,,5.0,,,,1.0,2.0,3.0,,,,,,,,,,,,,,,,
10433823,home,Kayserispor,Lionel Carole,lionel-carole,L. Carole,D,23,180,84,M,122922,EUR,671414400,D,21,21,False,41.0,30.0,8.0,4.0,21.0,29.0,9.0,13.0,4.0,12.0,,4.0,2.0,,,90.0,64.0,6.9,14.0,1,1.0,,,2.0,,,4.0,,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,
10433823,home,Kayserispor,Campanharo,campanharo,Campanharo,M,,178,121,M,220094,EUR,702345600,M,88,88,False,39.0,29.0,8.0,4.0,14.0,18.0,15.0,21.0,10.0,7.0,,5.0,4.0,,,90.0,54.0,7.5,11.0,0,,,3.0,,,,3.0,,,1.0,,,1.0,,,2.0,,,,,,,,,,,,,
10433823,home,Kayserispor,Ramazan Civelek,ramazan-civelek,R. Civelek,M,28,172,61,M,781408,EUR,822268800,M,28,28,False,35.0,25.0,1.0,,8.0,12.0,18.0,24.0,2.0,5.0,,2.0,2.0,,,83.0,47.0,6.8,13.0,0,1.0,2.0,,7.0,,,1.0,,1.0,1.0,2.0,,1.0,,,,1.0,2.0,3.0,,,,,,,,,,
10433823,home,Kayserispor,Olivier Kemen,olivier-kemen,O. Kemen,M,8,177,827,M,280447,EUR,837820800,M,10,10,False,23.0,21.0,3.0,3.0,6.0,7.0,15.0,16.0,6.0,2.0,,4.0,3.0,,,67.0,38.0,7.8,4.0,2,,3.0,1.0,4.0,1.0,,1.0,,1.0,2.0,,1.0,,,,1.0,,,3.0,1.0,1.0,,,,,,,,
10433823,home,Kayserispor,Bernard Mensah,bernard-mensah,B. Mensah,M,43,180,416,M,546220,EUR,782352000,M,43,43,False,28.0,23.0,4.0,2.0,13.0,13.0,12.0,18.0,8.0,2.0,,4.0,2.0,,,83.0,60.0,7.2,13.0,4,3.0,,,8.0,,,3.0,1.0,1.0,,,2.0,,,,1.0,2.0,5.0,2.0,,,True,5.0,3.0,2.0,,,,
10433823,home,Kayserispor,Miguel Cardoso,miguel-cardoso,M. Cardoso,M,7,176,326,M,344009,EUR,771984000,M,7,7,False,25.0,17.0,,,5.0,9.0,14.0,21.0,4.0,2.0,,1.0,1.0,,,76.0,46.0,6.6,17.0,1,5.0,4.0,,9.0,1.0,,1.0,,1.0,2.0,,,,,,2.0,2.0,3.0,2.0,,,,2.0,1.0,,1.0,,,
