match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_wasFouled,stat_fouls,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_aerialWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_interceptionWon,player_lastName,stat_totalCross,stat_blockedScoringAttempt,captain,player_sofascoreId,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,stat_goodHighClaim,stat_punches
14062173,home,VfL Wolfsburg,Kamil Grabara,grabara-kamil,K. Grabara,G,1,195,3175,M,902080,EUR,915753600,G,1,1,False,33.0,31.0,5.0,3.0,0.0,31.0,31.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,41.0,7.5,2.0,0.00022638,103.68684303864,14.0,41.37,11.445,0.188,0,0.0393,-0.04,-0.02,0.77,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062173,home,VfL Wolfsburg,Jan Bürger,jan-burger,J. Bürger,D,41,180,49,M,1568511,EUR,1173484800,D,41,41,False,23.0,16.0,1.0,,0.0,10.0,10.0,13.0,2.0,,1.0,,,,,,,,59.0,40.0,6.1,14.0,0.00453389,111.07242369344,13.0,78.12,24.78,,0,,-0.11,0.09,-0.18,,Jan Bürger,6.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,40.784639994802,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14062173,home,VfL Wolfsburg,Moritz Jenz,jenz-moritz,M. Jenz,D,15,190,340,M,920525,EUR,925430400,D,15,15,False,106.0,96.0,6.0,4.0,0.0,57.0,62.0,44.0,11.0,7.0,3.0,,1.0,,,,,,90.0,123.0,8.6,11.0,0.0283098,315.43300254145,36.0,219.345,16.59,,2,,0.38,0.12,-0.14,,,39.0,3.0,3.0,,,,3.0,,,,,7.0,1.0,1.0,1.0,2.0,1.0,1.0,0.2656,0.9443,0.49,,,,,,,,,,,,,
14062173,home,VfL Wolfsburg,Konstantinos Koulierakis,konstantinos-koulierakis,K. Koulierakis,D,4,188,3369,M,1184855,EUR,1069977600,D,4,4,False,109.0,96.0,9.0,4.0,0.0,57.0,63.0,46.0,5.0,4.0,3.0,,1.0,,,,,,90.0,117.0,6.8,13.0,0.0204794,526.88867389862,55.0,350.07,26.67,,0,,0.18,0.31,-0.15,,,39.0,2.0,4.0,,,,,2.0,50.201102935065,2.0,,4.0,,,,,,,,,,1.0,,,,,,,,,,,,
14062173,home,VfL Wolfsburg,Aaron Zehnter,aaron-zehnter,A. Zehnter,M,25,180,593,M,1127788,EUR,1099180800,D,25,25,False,15.0,12.0,,,0.0,9.0,10.0,5.0,,2.0,2.0,,,,,,,,45.0,19.0,6.3,5.0,0.0028218,30.4591104148,5.0,3.465,10.5,,0,,-0.05,0.0,-0.12,,,3.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
14062173,home,VfL Wolfsburg,Yannick Gerhardt,yannick-gerhardt,Y. Gerhardt,M,31,184,166,M,169255,EUR,763516800,M,31,31,False,47.0,42.0,1.0,1.0,0.0,23.0,25.0,22.0,5.0,1.0,2.0,,1.0,1.0,,,,,70.0,58.0,6.7,9.0,0.0121083,216.27584929443,26.0,73.185,24.15,,1,,-0.05,0.13,-0.06,,,19.0,2.0,3.0,,1.0,,1.0,,48.914029400678,2.0,,3.0,,,,,,1.0,0.0831,,0.01,,,2.0,1.0,,,,,,,,,
14062173,home,VfL Wolfsburg,Maximilian Arnold,maximilian-arnold,M. Arnold,M,27,184,898,M,147289,EUR,769996800,M,27,27,False,65.0,55.0,8.0,4.0,0.0,30.0,35.0,30.0,3.0,4.0,5.0,,1.0,1.0,,,,,90.0,87.0,6.9,18.0,0.0951626,164.42384329339,19.0,74.13,17.43,,1,,0.14,0.09,0.25,,,25.0,2.0,3.0,,1.0,1.0,,1.0,,,,1.0,,1.0,,,,1.0,0.0274,0.0185,0.01,,,6.0,,True,,,,,,,,
14062173,home,VfL Wolfsburg,Christian Eriksen,christian-eriksen,C. Eriksen,M,24,182,20706,M,105734,EUR,698025600,M,24,24,False,61.0,54.0,5.0,4.0,1.0,24.0,25.0,36.0,3.0,,5.0,,1.0,,,,,,90.0,83.0,7.4,16.0,0.428974,196.94638772114,30.0,12.6,14.805,,0,,0.57,0.31,-0.13,,,30.0,,3.0,,2.0,1.0,,1.0,22.830899753429,2.0,5.0,1.0,,,,,,1.0,,,,,,9.0,,,chriseriksen8,2.0,1.0,2.0,,,,
14062173,home,VfL Wolfsburg,Lovro Majer,lovro-majer,L. Majer,M,10,179,4795,M,841947,EUR,884995200,M,10,10,False,23.0,21.0,,,0.0,6.0,6.0,17.0,1.0,,4.0,,1.0,,,,,,59.0,29.0,6.5,5.0,0.0142664,157.43403312561,18.0,82.215,25.83,,2,,-0.02,0.42,-0.09,,,15.0,,1.0,,,,,1.0,53.736316184935,3.0,,,2.0,,,,,2.0,0.1301,,-0.58,,,,,,lovromajer,,,,1.0,,,
14062173,home,VfL Wolfsburg,Patrick Wimmer,patrick-wimmer,P. Wimmer,M,39,182,1034,M,987504,EUR,991180800,M,39,39,False,35.0,24.0,2.0,,0.0,5.0,7.0,28.0,10.0,,5.0,,1.0,1.0,,,,,90.0,63.0,7.1,22.0,0.0653686,279.13466152721,26.0,73.185,28.875,,0,,0.16,0.38,-0.11,,,19.0,1.0,9.0,4.0,7.0,5.0,2.0,1.0,104.32311882988,5.0,1.0,2.0,,,,,,1.0,,,,2.0,,1.0,,,,,1.0,,,,,
