match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelWon,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_duelLost,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,player_firstName,player_lastName,player_sofascoreId,stat_aerialLost,stat_aerialWon,stat_fouls,stat_totalCross,stat_dispossessed,stat_ownGoals,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_keyPass,captain,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_lastManTackle,stat_bigChanceMissed,stat_bigChanceCreated
12504655,home,Venezia,Filip Stanković,filip-stankovic,F. Stanković,G,1,185,1020,M,986355,EUR,1014595200,G,35,35,False,28.0,17.0,15.0,4.0,0.0,15.0,20.0,2.0,8.0,1.0,6.0,1.0,3.0,1.0,90.0,34.0,6.5,11.0,0.0004459,0,-0.9274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504655,home,Venezia,Giorgio Altare,giorgio-altare,G. Altare,D,15,190,132,M,882004,EUR,902620800,D,15,15,False,19.0,7.0,7.0,1.0,0.0,7.0,13.0,,6.0,2.0,2.0,,,,64.0,35.0,6.5,16.0,0.00077788,0,,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504655,home,Venezia,Michael Svoboda,michael-svoboda,M. Svoboda,D,30,195,196,M,888340,EUR,908409600,D,30,30,False,28.0,16.0,12.0,3.0,0.0,12.0,17.0,4.0,11.0,7.0,6.0,,,,90.0,44.0,6.5,13.0,0.00196829,0,,2.0,,,,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12504655,home,Venezia,Jay Idzes,jay-idzes,J. Idzes,D,21,190,19111,M,933641,EUR,959904000,D,4,4,False,28.0,21.0,4.0,2.0,0.0,16.0,17.0,5.0,11.0,5.0,1.0,,,,90.0,54.0,6.7,14.0,0.00699889,0,,8.0,,,,1.0,5.0,2.0,4.0,3.0,2.0,,,jayidzes,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,
12504655,home,Venezia,Antonio Candela,candela-antonio,A. Candela,D,26,182,271,M,862464,EUR,956793600,M,27,27,False,15.0,10.0,,,0.0,7.0,8.0,3.0,9.0,,3.0,,,,64.0,29.0,6.2,10.0,0.00165945,0,,5.0,1.0,,,,4.0,,4.0,,1.0,,,,,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
12504655,home,Venezia,Issa Doumbia,issa-doumbia,I. Doumbia,M,8,185,313,M,1141754,EUR,1066262400,M,97,97,False,10.0,8.0,,,0.0,3.0,4.0,5.0,7.0,1.0,,,,,64.0,20.0,6.4,6.0,0.00712727,0,,,,,1.0,,2.0,,,,1.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,
12504655,home,Venezia,Hans Nicolussi Caviglia,hans-nicolussi-caviglia,H. N. Caviglia,M,41,184,1622,M,876259,EUR,961286400,M,14,14,False,17.0,14.0,2.0,1.0,0.0,9.0,11.0,5.0,13.0,2.0,9.0,,,,90.0,46.0,7.3,15.0,0.0020579,5,,6.0,2.0,,,,9.0,4.0,5.0,5.0,1.0,,,,,,2.0,7.0,1.0,,1.0,2.0,2.0,1.0,1.0,0.1733,0.6265,,,,,,,,
12504655,home,Venezia,Francesco Zampano,francesco-zampano,F. Zampano,M,7,177,142,M,235656,EUR,749347200,M,7,7,False,26.0,14.0,6.0,2.0,1.0,8.0,14.0,7.0,13.0,1.0,4.0,,,,90.0,41.0,6.6,17.0,0.033599,0,,6.0,2.0,,,,7.0,1.0,3.0,2.0,1.0,,,,1.0,,2.0,1.0,2.0,,,,,,3.0,,,1.0,2.0,,,,,,
12504655,home,Venezia,Gaetano Oristanio,gaetano-oristanio,G. Oristanio,F,21,174,968,M,965009,EUR,1033171200,F,11,11,False,8.0,5.0,1.0,,0.0,,,5.0,11.0,,6.0,,,,84.0,29.0,6.5,20.0,0.0881901,1,,2.0,6.0,1.0,,,12.0,,,,4.0,,,,,1.0,2.0,3.0,5.0,,,1.0,,1.0,,0.0062,0.3138,,1.0,,,,,,
12504655,home,Venezia,Gianluca Busio,gianluca-busio,G. Busio,M,6,170,907,M,896180,EUR,1022544000,F,6,6,False,16.0,8.0,3.0,2.0,0.0,2.0,7.0,6.0,9.0,1.0,4.0,,,,84.0,30.0,6.5,13.0,0.00983685,0,,4.0,1.0,,,,6.0,2.0,2.0,2.0,2.0,,,,,1.0,1.0,,2.0,,,,,,1.0,,,,,,,,,,
12504655,home,Venezia,Joel Pohjanpalo,joel-pohjanpalo,J. Pohjanpalo,F,20,184,2714,M,137155,EUR,779414400,F,20,20,False,22.0,11.0,2.0,,0.0,6.0,7.0,6.0,16.0,4.0,3.0,,,,90.0,33.0,7.1,12.0,0.187645,1,,4.0,,,,,3.0,,,,1.0,,,,2.0,2.0,1.0,1.0,,,,1.0,,,2.0,0.0352,0.0936,1.0,,True,1.0,,,,
