match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialLost,stat_blockedScoringAttempt,stat_outfielderBlock,stat_keyPass,captain,stat_shotOffTarget,stat_challengeLost,stat_accurateCross,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_dispossessed,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_goodHighClaim,stat_lastManTackle,stat_errorLeadToAShot,stat_hitWoodwork
12421089,home,Sint-Truidense VV,Léo Kokubo,,,leo-kokubo,L. Kokubo,G,16,193,966,M,997020,EUR,980208000,G,16,16,False,38.0,31.0,11.0,4.0,0.0,29.0,32.0,2.0,6.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,2.0,2.0,90.0,47.0,6.8,7.0,0.00025381,0,0.7986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421089,home,Sint-Truidense VV,Rein Van Helden,,,rein-van-helden,R. V. Helden,D,20,187,193,M,1047163,EUR,1027468800,D,20,20,False,61.0,47.0,9.0,5.0,0.0,32.0,38.0,15.0,25.0,2.0,5.0,2.0,6.0,,,,,,90.0,79.0,7.0,17.0,0.00882741,1,,2.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0879,0.0989,,,,,,,,,,,,,,,,,,
12421089,home,Sint-Truidense VV,Shogo Taniguchi,Shogo,Taniguchi,shogo-taniguchi,S. Taniguchi,D,5,182,732,M,386958,EUR,679536000,D,5,5,False,71.0,65.0,7.0,3.0,0.0,55.0,57.0,10.0,14.0,1.0,4.0,4.0,6.0,1.0,,,,,90.0,83.0,7.4,6.0,0.45559,1,,,3.0,,,,1.0,2.0,2.0,1.0,0.0743,,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,
12421089,home,Sint-Truidense VV,Bruno Godeau,,,bruno-godeau,B. Godeau,D,31,190,68,M,247321,EUR,705456000,D,31,31,False,63.0,56.0,8.0,3.0,0.0,37.0,38.0,19.0,26.0,3.0,3.0,2.0,2.0,,,,,,77.0,72.0,7.1,8.0,0.013638,2,,1.0,2.0,,,1.0,1.0,,,,0.262,0.0948,2.0,,1.0,,True,1.0,,,,,,,,,,,,
12421089,home,Sint-Truidense VV,Louis Patris,,,louis-patris,L. Patris,M,27,187,275,M,923972,EUR,991872000,M,19,19,False,32.0,21.0,3.0,1.0,0.0,9.0,13.0,12.0,22.0,3.0,6.0,2.0,3.0,2.0,,,,,90.0,50.0,6.9,14.0,0.0145405,2,,3.0,1.0,,,,1.0,1.0,1.0,,0.1352,,,2.0,1.0,,,,1.0,,,,,,,,,,,
12421089,home,Sint-Truidense VV,Joel Chima Fujita,,,joel-chima-fujita,J. C. Fujita,M,16,175,1436,M,1002461,EUR,1013817600,M,8,8,False,42.0,36.0,6.0,3.0,0.0,17.0,17.0,19.0,25.0,1.0,5.0,,6.0,,,,,,90.0,54.0,7.6,7.0,0.0373434,0,,,4.0,2.0,1.0,,4.0,3.0,2.0,1.0,,,1.0,,,6.0,,,1.0,,,,,,,,,,,
12421089,home,Sint-Truidense VV,Ryotaro Ito,Ryotaro,Ito,ryotaro-ito,R. Ito,M,13,174,672,M,831697,EUR,886723200,M,13,13,False,51.0,45.0,5.0,5.0,0.0,20.0,22.0,27.0,32.0,,3.0,,7.0,1.0,,,,,90.0,74.0,7.9,13.0,0.209558,5,,3.0,5.0,5.0,2.0,2.0,1.0,,,,0.1856,0.557,1.0,3.0,,5.0,,,1.0,2.0,1.0,3.0,,,,,,,,
12421089,home,Sint-Truidense VV,Ryoya Ogawa,,,ryoya-ogawa,R. Ogawa,M,7,182,155,M,790973,EUR,848793600,M,2,2,False,42.0,36.0,3.0,2.0,0.0,20.0,21.0,16.0,25.0,2.0,6.0,3.0,2.0,,,,,,90.0,62.0,7.1,11.0,0.0243035,0,,4.0,5.0,1.0,1.0,,1.0,3.0,2.0,2.0,,,1.0,,,1.0,,,2.0,,,,,,,,,,,
12421089,home,Sint-Truidense VV,Billal Brahimi,,,billal-brahimi,B. Brahimi,F,26,183,3098,M,948250,EUR,952992000,F,7,7,False,45.0,39.0,6.0,4.0,0.0,21.0,24.0,24.0,33.0,,3.0,,9.0,1.0,,,,,90.0,79.0,7.4,19.0,0.317826,7,,12.0,6.0,5.0,2.0,2.0,,,,,0.4644,0.6707,1.0,3.0,,5.0,,2.0,1.0,6.0,,3.0,1.0,1.0,,,,,,
12421089,home,Sint-Truidense VV,Adriano Bertaccini,,,adriano-bertaccini,A. Bertaccini,F,91,173,746,M,867250,EUR,966124800,F,91,91,False,17.0,14.0,1.0,,0.0,6.0,7.0,8.0,10.0,1.0,1.0,,7.0,,,,,,77.0,29.0,7.5,6.0,0.0135751,6,,,5.0,,,4.0,,,,1.0,1.1471,1.6809,1.0,1.0,,2.0,,1.0,1.0,,,1.0,2.0,1.0,1.0,1.0,,,,
