match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_aerialLost,stat_totalClearance,stat_unsuccessfulTouch,stat_fouls,stat_challengeLost,stat_totalContest,stat_wonContest,stat_penaltyConceded,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_shotOffTarget,stat_goalAssist,stat_bigChanceCreated,stat_totalOffside,stat_hitWoodwork,stat_goals,stat_punches,stat_errorLeadToAShot,stat_clearanceOffLine,stat_penaltyWon
10434133,home,Fenerbahçe,Altay Bayındır,,,altay-bayindir,A. Bayındır,G,1,198,15154,M,altaybayindir,815890,EUR,892512000,G,1,1,False,True,18.0,10.0,16.0,8.0,4.0,4.0,6.0,14.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,90.0,25.0,5.9,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434133,home,Fenerbahçe,Ferdi Kadıoğlu,,,ferdi-kadioglu,F. Kadıoğlu,D,24,174,21035,M,ferdikadioglu,825844,EUR,939254400,D,7,7,False,,33.0,23.0,4.0,1.0,10.0,13.0,14.0,25.0,,5.0,8.0,1.0,,,,,90.0,62.0,6.7,18.0,0,5.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10434133,home,Fenerbahçe,Gustavo Henrique,,,gustavo-henrique,G. Henrique,D,13,195,5370,M,,243181,EUR,732931200,D,2,2,False,,43.0,32.0,6.0,2.0,28.0,32.0,4.0,11.0,1.0,4.0,2.0,,,,,,90.0,58.0,6.5,12.0,0,,,2.0,,1.0,3.0,2.0,,1.0,8.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10434133,home,Fenerbahçe,Attila Szalai,,,attila-szalai,A. Szalai,D,41,192,2470,M,,823092,EUR,885254400,D,41,41,False,,54.0,46.0,12.0,7.0,29.0,32.0,17.0,22.0,3.0,4.0,9.0,,,,,,90.0,61.0,6.4,8.0,0,,,3.0,,1.0,1.0,,,2.0,3.0,,,1.0,,,,,,,,,,,,,,,,,
10434133,home,Fenerbahçe,Luan Peres,,,luan-peres,L. Peres,D,14,190,1170,M,,842098,EUR,774576000,D,28,28,False,,21.0,16.0,1.0,,10.0,13.0,6.0,9.0,5.0,13.0,4.0,1.0,,,,,90.0,53.0,6.6,9.0,0,1.0,,8.0,1.0,1.0,5.0,4.0,,2.0,4.0,,3.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,
10434133,home,Fenerbahçe,Willian Arão,,,willian-arao,Willian Arão,M,15,181,1833,M,,242213,EUR,700358400,M,5,5,False,,14.0,10.0,2.0,,3.0,5.0,7.0,9.0,,1.0,3.0,,,,,,45.0,18.0,6.4,4.0,0,,,2.0,,1.0,1.0,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,
10434133,home,Fenerbahçe,Lincoln,,,lincoln,Lincoln,M,18,177,840,M,,794928,EUR,910396800,M,18,18,False,,31.0,24.0,2.0,1.0,9.0,10.0,16.0,24.0,1.0,6.0,3.0,2.0,,,,,90.0,52.0,7.2,12.0,3,3.0,1.0,2.0,,3.0,1.0,,1.0,,2.0,1.0,,,4.0,2.0,,,1.0,2.0,,,,,,,,,,,
10434133,home,Fenerbahçe,Emre Mor,,,emre-mor,E. Mor,M,99,169,2587,M,,826258,EUR,869702400,M,99,99,False,,15.0,10.0,,,4.0,5.0,6.0,13.0,1.0,11.0,1.0,2.0,,,,,63.0,42.0,7.2,13.0,4,3.0,,4.0,1.0,,3.0,2.0,,1.0,,2.0,1.0,,6.0,5.0,,,1.0,2.0,1.0,1.0,,,,,,,,,
10434133,home,Fenerbahçe,Diego Rossi,,,diego-rossi,D. Rossi,F,10,170,1953,M,,831809,EUR,894153600,M,9,9,False,,14.0,12.0,,,4.0,5.0,9.0,12.0,1.0,4.0,5.0,1.0,,,,,74.0,36.0,6.6,14.0,0,3.0,1.0,6.0,,,1.0,1.0,2.0,1.0,,6.0,,2.0,4.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
10434133,home,Fenerbahçe,Enner Valencia,,,enner-valencia,E. Valencia,F,13,177,9883,M,ennervalencia,106456,EUR,626140800,F,13,13,False,,11.0,8.0,,,,,9.0,13.0,,1.0,,1.0,,,,,63.0,26.0,8.0,9.0,3,2.0,1.0,4.0,,,,,2.0,2.0,,4.0,2.0,,,,,,2.0,1.0,,,,,1.0,1.0,2.0,,,,
