match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_fouls,stat_aerialWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_totalOffside,stat_accurateCross,stat_blockedScoringAttempt,stat_keyPass,stat_goalAssist,stat_bigChanceCreated,stat_shotOffTarget,stat_wasFouled,stat_bigChanceMissed,stat_goals,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAGoal,stat_hitWoodwork
10433892,home,Galatasaray,Fernando Muslera,fernando-muslera,F. Muslera,G,16,190,9264,M,Muslera,28381,EUR,519264000,G,1,1,False,True,42.0,27.0,31.0,16.0,19.0,21.0,8.0,21.0,11.0,1.0,4.0,90.0,50.0,6.7,15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433892,home,Galatasaray,Sacha Boey,boey-sacha,S. Boey,D,93,178,14707,M,sacha_boey,980418,EUR,968803200,D,93,93,False,,13.0,11.0,2.0,1.0,5.0,5.0,6.0,10.0,1.0,,,31.0,25.0,5.4,6.0,1,,,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
10433892,home,Galatasaray,Victor Nelsson,victor-nelsson,V. Nelsson,D,15,187,2642,M,Nelsson,846148,EUR,908323200,D,25,25,False,,26.0,20.0,6.0,2.0,12.0,13.0,8.0,13.0,4.0,,,90.0,35.0,6.7,8.0,0,,,,1.0,3.0,1.0,,,,1.0,,1.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,
10433892,home,Galatasaray,Abdülkerim Bardakcı,abdulkerim-bardakci,A. Bardakcı,D,42,185,6104,M,abdulkerimbard1,178963,EUR,778896000,D,42,42,False,,23.0,22.0,4.0,3.0,15.0,16.0,7.0,7.0,4.0,,,90.0,32.0,6.4,2.0,0,,,,2.0,3.0,2.0,,,,1.0,1.0,1.0,,,4.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10433892,home,Galatasaray,Kazımcan Karataş,kazimcan-karatas,K. Karataş,D,88,182,1611,M,,1008884,EUR,1042675200,D,88,88,False,,24.0,17.0,4.0,2.0,13.0,15.0,5.0,12.0,7.0,,,58.0,36.0,6.8,11.0,1,,,3.0,1.0,4.0,3.0,1.0,1.0,,1.0,2.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,
10433892,home,Galatasaray,Lucas Torreira,lucas-torreira,L. Torreira,M,34,168,8760,M,ltorreira34,754794,EUR,823996800,M,5,5,False,,28.0,26.0,2.0,1.0,17.0,17.0,9.0,12.0,7.0,,,90.0,35.0,6.7,3.0,0,,,1.0,,3.0,,,,,,3.0,,,,3.0,,2.0,,,,,,2.0,,,,,,,,,,,
10433892,home,Galatasaray,Sérgio Oliveira,sergio-oliveira,S. Oliveira,M,27,181,1610,M,,991493,EUR,707443200,M,27,27,False,,30.0,22.0,7.0,2.0,10.0,11.0,15.0,25.0,5.0,,,71.0,46.0,7.4,14.0,2,,,6.0,,3.0,2.0,1.0,,,,,,,2.0,,,1.0,,,,3.0,,2.0,1.0,1.0,2.0,2.0,,,,,,,
10433892,home,Galatasaray,Milot Rashica,milot-rashica,M. Rashica,M,7,177,3712,M,MRashica,800411,EUR,835920000,M,26,26,False,,19.0,14.0,2.0,2.0,3.0,4.0,11.0,17.0,11.0,,,71.0,40.0,6.6,17.0,1,,,2.0,1.0,8.0,5.0,2.0,1.0,1.0,2.0,2.0,,,4.0,1.0,,,2.0,2.0,,,,2.0,,2.0,,2.0,,,,,,,
10433892,home,Galatasaray,Dries Mertens,dries-mertens,D. Mertens,M,,169,10127,M,driesmertens,32493,EUR,547257600,M,10,10,False,,11.0,7.0,1.0,1.0,4.0,5.0,3.0,6.0,2.0,,,45.0,28.0,7.1,9.0,6,,,,,3.0,3.0,3.0,1.0,4.0,1.0,,,1.0,,,,1.0,,,,,2.0,1.0,,,,2.0,2.0,1.0,,,,,
10433892,home,Galatasaray,Kerem Aktürkoğlu,kerem-akturkoglu,K. Aktürkoğlu,F,9,173,24917,M,KAktürkoğlu,903324,EUR,908928000,M,7,7,False,,22.0,13.0,6.0,2.0,5.0,9.0,8.0,15.0,7.0,,,90.0,40.0,6.3,15.0,2,,,2.0,,2.0,2.0,,,2.0,1.0,1.0,,,2.0,,,,1.0,,,,,1.0,,,,1.0,1.0,,,,,,
