match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_interceptionWon,stat_unsuccessfulTouch,stat_penaltyConceded,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_wonContest,stat_ownGoals,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_totalTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_wonTackle,player_firstName,player_lastName,stat_goalAssist,stat_errorLeadToAShot,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_goodHighClaim,stat_clearanceOffLine,stat_penaltyWon
11352392,home,Chelsea,Đorđe Petrović,dorde-petrovic,Đ. Petrović,G,1,194,8562,M,dj.petrovic12,882604,EUR,939340800,G,28,28,False,20.0,19.0,1.0,19.0,20.0,1.0,8.0,3.0,1.0,4.0,1.0,1.0,90.0,29.0,6.6,1.0,6.336e-05,0,-2.2448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352392,home,Chelsea,Malo Gusto,gusto-malo,M. Gusto,D,27,179,19313,M,malogst,996958,EUR,1053302400,D,27,27,False,46.0,40.0,2.0,22.0,24.0,1.0,6.0,,,,,,81.0,70.0,5.6,12.0,0.186467,0,,1.0,19.0,24.0,2.0,1.0,10.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11352392,home,Chelsea,Axel Disasi,axel-disasi,A. Disasi,D,4,190,9725,M,axel_disasi,827243,EUR,889574400,D,2,2,False,80.0,71.0,2.0,41.0,44.0,3.0,7.0,,,,,,90.0,92.0,6.6,10.0,0.0191374,0,,1.0,31.0,38.0,2.0,1.0,2.0,8.0,,,5.0,,,,,,,,2.0,3.0,5.0,1.0,,,,,,,,,,,,,,,,,,,
11352392,home,Chelsea,Thiago Silva,thiago-silva,T. Silva,D,3,181,42659,M,ThiagoSilva,33541,EUR,464659200,D,6,6,False,87.0,82.0,4.0,46.0,48.0,3.0,5.0,,,,,,90.0,97.0,7.4,5.0,0.0188284,2,,4.0,36.0,39.0,,,3.0,4.0,1.0,,,,2.0,,,,,,2.0,3.0,,,1.0,1.0,1.0,1.0,1.0,0.0922,0.4628,,,,,,,,,,,,
11352392,home,Chelsea,Ben Chilwell,ben-chilwell,B. Chilwell,D,3,181,10903,M,Chilly,802695,EUR,851126400,D,21,21,False,47.0,42.0,3.0,17.0,18.0,3.0,1.0,,,,,,81.0,75.0,7.5,15.0,0.250885,0,,1.0,26.0,38.0,9.0,1.0,1.0,6.0,,,,1.0,1.0,,,1.0,1.0,3.0,,,,,,,,1.0,5.0,,,True,4.0,,,,,,,,,,
11352392,home,Chelsea,Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178,79319,M,MoisesCaicedo55,987650,EUR,1004659200,M,25,25,False,53.0,47.0,4.0,28.0,33.0,,4.0,,,,,,63.0,62.0,7.1,8.0,0.24864,0,,4.0,19.0,20.0,,,4.0,3.0,,1.0,1.0,1.0,,,,1.0,2.0,2.0,,2.0,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,
11352392,home,Chelsea,Enzo Fernández,enzo-fernandez,E. Fernández,M,8,177,121227,M,Enzo8,974505,EUR,979689600,M,8,8,False,84.0,77.0,10.0,34.0,37.0,1.0,4.0,,,,,,90.0,102.0,7.8,12.0,0.271073,1,,8.0,43.0,50.0,3.0,,3.0,8.0,1.0,,1.0,1.0,1.0,2.0,,2.0,2.0,2.0,,,1.0,,1.0,,,,5.0,0.0187,,,2.0,,,,,,,,,,
11352392,home,Chelsea,Cole Palmer,cole-palmer,C. Palmer,M,10,185,363781,M,ColdPalmer,982780,EUR,1020643200,M,20,20,False,49.0,36.0,5.0,9.0,11.0,,4.0,,,,,,90.0,64.0,7.4,18.0,0.157917,4,,4.0,27.0,39.0,1.0,,4.0,5.0,1.0,,6.0,,,1.0,,2.0,,1.0,,,3.0,,1.0,1.0,1.0,,,0.4677,0.7544,,,,,,1.0,2.0,1.0,,,,
11352392,home,Chelsea,Conor Gallagher,conor-gallagher,C. Gallagher,M,22,182,16658,M,conorgallagher92,904970,EUR,949795200,M,23,23,False,64.0,60.0,3.0,23.0,23.0,,4.0,,,,,,90.0,85.0,6.6,11.0,0.0616904,2,,2.0,37.0,42.0,1.0,,8.0,4.0,2.0,2.0,1.0,,1.0,4.0,,2.0,3.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,0.2406,,,,,,,,,,1.0,,,
11352392,home,Chelsea,Raheem Sterling,raheem-sterling,R. Sterling,F,,170,36469,M,Sterling7,138534,EUR,786844800,M,7,7,False,22.0,20.0,,3.0,4.0,,1.0,,,,,,72.0,32.0,6.1,8.0,0.0503758,2,,,17.0,19.0,1.0,,6.0,2.0,,1.0,2.0,,,2.0,,1.0,2.0,,2.0,,1.0,,2.0,,,,,0.2068,,,,,,,,,1.0,1.0,,,
11352392,home,Chelsea,Christopher Nkunku,christopher-nkunku,C. Nkunku,F,18,175,49218,M,Nkunku,769333,EUR,879465600,F,18,18,False,13.0,12.0,,4.0,4.0,,2.0,,,,,,72.0,25.0,6.1,5.0,0.00906319,2,,,8.0,9.0,,,2.0,2.0,,1.0,2.0,,1.0,2.0,,,,1.0,,1.0,1.0,,,2.0,,,,0.4759,0.9134,,,,,,,,,2.0,,,
