match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,length,from,player_id,player_name,playerName,rescinded,reason
10908801,FT,3.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
10908801,,,,,90,1.0,,1,,,substitution,121474144.0,False,True,regular,,,,,,,
10908801,,,,,90,1.0,,1,,,substitution,121474140.0,False,True,regular,,,,,,,
10908801,,,,,90,1.0,,1,,,substitution,121474139.0,False,True,regular,,,,,,,
10908801,,,,,90,0.0,,1,,,injuryTime,,,,,9.0,,,,,,
10908801,,,,,82,,,9,,,substitution,121474119.0,False,True,regular,,,,,,,
10908801,,,,,82,,,9,,,substitution,121474120.0,False,False,regular,,,,,,,
10908801,,3.0,1.0,,81,,,10,,,goal,167341066.0,,True,penalty,,penalty,920559.0,Will Collar,,,
10908801,,,,,80,,,11,,,card,120568724.0,,False,yellow,,,833982.0,Sean Clare,Sean Clare,False,
10908801,,,,,77,,,14,,,card,120568720.0,,False,yellow,,,1428687.0,Zach Mitchell,Zach Mitchell,False,Foul
10908801,,2.0,1.0,,73,,,18,,,goal,167341004.0,,True,regular,,,920559.0,Will Collar,,,
10908801,,,,,73,,,18,,,substitution,121474094.0,False,False,regular,,,,,,,
10908801,,,,,69,,,22,,,card,120568710.0,,False,yellow,,,115368.0,Jake Forster-Caskey,Jake Forster-Caskey,False,Foul
10908801,,,,,67,,,24,,,substitution,121474086.0,False,True,regular,,,,,,,
10908801,,,,,66,,,25,,,card,120568708.0,,True,yellow,,,952459.0,Ryan Rydel,Ryan Rydel,False,Foul
10908801,,,,,64,,,27,,,substitution,121474084.0,False,False,regular,,,,,,,
10908801,,,,,64,,,27,,,substitution,121474083.0,False,False,regular,,,,,,,
10908801,,,,,49,,,42,,,card,120568699.0,,False,yellow,,,1186345.0,Tyreece Campbell,Tyreece Campbell,False,Foul
10908801,,,,,46,,,45,,,substitution,121474044.0,False,False,regular,,,,,,,
10908801,HT,1.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
10908801,,,,,45,0.0,,1,,,injuryTime,,,,,2.0,,,,,,
10908801,,1.0,1.0,,25,,,21,,,goal,167339836.0,,True,regular,,,920559.0,Will Collar,,,
10908801,,0.0,1.0,,7,,,39,,,goal,167339386.0,,False,ownGoal,,owngoal,791690.0,Akil Wright,,,
