match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_aerialLost,stat_challengeLost,stat_wasFouled,stat_keyPass,stat_totalContest,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_totalOffside,stat_bigChanceMissed,captain,stat_blockedScoringAttempt,stat_wonContest,stat_errorLeadToAShot,stat_goals,player_sofascoreId
14035919,home,Royal Antwerp FC,Taishi Brandon Nozawa,,,taishi-brandon-nozawa,T. B. Nozawa,G,41,191.0,524,M,1002358,EUR,1040774400,G,41,41,False,35.0,26.0,15.0,6.0,0.0,20.0,23.0,6.0,12.0,1.0,8.0,1.0,1.0,3.0,1.0,90.0,45.0,6.4,9.0,0.00326206,0.0985,0,-0.3837,0.04,0.0,-0.02,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035919,home,Royal Antwerp FC,Zeno Van Den Bosch,,,van-den-bosch-zeno,Z. V. D. Bosch,D,33,191.0,594,M,1103765,EUR,1057449600,D,33,33,False,64.0,52.0,7.0,2.0,0.0,37.0,40.0,15.0,24.0,2.0,5.0,,,,,90.0,84.0,7.1,17.0,0.023499,,1,,0.19,0.05,0.47,,1.0,4.0,2.0,7.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0093,0.0156,-0.11,,,,,,,,,,,,,,,,
14035919,home,Royal Antwerp FC,Boubakar Kouyaté,,,boubakar-kouyate,B. Kouyaté,D,25,192.0,905,M,848537,EUR,861062400,D,25,25,False,73.0,59.0,9.0,4.0,0.0,43.0,45.0,16.0,28.0,4.0,1.0,,,,,90.0,86.0,7.2,15.0,0.00797672,,0,,0.13,0.12,0.15,,,4.0,6.0,7.0,,,1.0,3.0,3.0,2.0,1.0,1.0,,,,3.0,2.0,,,,,,,,,,,,,,
14035919,home,Royal Antwerp FC,Yuto Tsunashima,Yuto Tsunashima,,tsunashima-yuto,Y. Tsunashima,D,4,188.0,256,M,1470622,EUR,966297600,D,4,4,False,78.0,72.0,4.0,,0.0,46.0,47.0,26.0,31.0,1.0,6.0,,,,,90.0,89.0,6.4,10.0,0.069868,,1,,0.27,0.2,-0.18,,,,5.0,1.0,1.0,1.0,1.0,1.0,,,2.0,2.0,0.0294,0.0288,-0.01,,2.0,1.0,1.0,,,,,,,,,,,,
14035919,home,Royal Antwerp FC,Thibo Somers,,,somers-thibo,T. Somers,F,24,183.0,225,M,1002804,EUR,921542400,M,24,24,False,29.0,21.0,4.0,3.0,0.0,12.0,15.0,9.0,14.0,4.0,3.0,,,,,90.0,61.0,6.7,20.0,0.137034,,0,,0.15,0.07,0.25,,2.0,2.0,9.0,6.0,2.0,,1.0,,4.0,3.0,1.0,1.0,,,,4.0,2.0,,2.0,,,,,,,,,,,,
14035919,home,Royal Antwerp FC,Mauricio Benitez,Mauricio Benitez,,mauricio-benitez,M. Benitez,M,16,185.0,390,M,1402224,EUR,1075766400,M,16,16,False,42.0,34.0,2.0,1.0,0.0,13.0,16.0,21.0,26.0,1.0,8.0,,,,,90.0,57.0,6.8,15.0,0.135207,,0,,0.3,0.1,-0.09,,2.0,3.0,5.0,6.0,1.0,,,1.0,2.0,2.0,4.0,2.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,
14035919,home,Royal Antwerp FC,Mahamadou Diawara,Mahamadou Diawara,,mahamadou-diawara,M. Diawara,M,34,187.0,454,M,1402751,EUR,1108512000,M,34,34,False,32.0,31.0,,,0.0,12.0,13.0,19.0,19.0,,6.0,,,,,84.0,41.0,6.3,5.0,0.0154964,,1,,-0.02,0.1,-0.09,,,,6.0,1.0,2.0,1.0,,,1.0,,,1.0,0.057,0.0383,-0.07,,1.0,,,2.0,,,,,,,,,,,
14035919,home,Royal Antwerp FC,Daam Foulon,,,daam-foulon,D. Foulon,M,5,180.0,205,M,826170,EUR,922147200,M,5,5,False,32.0,29.0,1.0,1.0,0.0,11.0,12.0,18.0,20.0,1.0,2.0,,,,,90.0,48.0,7.3,6.0,0.380172,,2,,0.54,0.07,0.16,,5.0,2.0,,5.0,,,,1.0,1.0,1.0,,,0.1909,,-0.58,,,2.0,1.0,,2.0,1.0,2.0,1.0,,,,,,,
14035919,home,Royal Antwerp FC,Youssef Hamdaoui,,,youssef-hamdaoui,Y. Hamdaoui,M,43,,475,M,1590946,EUR,1205971200,F,43,43,False,12.0,10.0,,,0.0,3.0,4.0,7.0,8.0,,3.0,,,,,66.0,26.0,7.0,6.0,0.00546869,,2,,0.01,0.22,-0.02,,,1.0,6.0,8.0,2.0,,,,3.0,3.0,1.0,,0.374,,-0.58,2.0,1.0,4.0,1.0,1.0,,,2.0,,1.0,,,,,,
14035919,home,Royal Antwerp FC,Vincent Janssen,,,vincent-janssen,V. Janssen,F,18,184.0,1452,M,339901,EUR,771552000,F,18,18,False,20.0,17.0,4.0,4.0,0.0,6.0,6.0,11.0,14.0,2.0,,,,,,90.0,39.0,6.0,12.0,0.00811164,,2,,-0.48,0.03,0.18,,,,8.0,3.0,3.0,1.0,,,,,4.0,,0.5379,0.192,-0.61,4.0,,3.0,,1.0,,,1.0,,1.0,True,,,,,
