match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_wonTackle,stat_errorLeadToAShot,stat_bigChanceMissed,stat_blockedScoringAttempt,player_sofascoreId,stat_bigChanceCreated,stat_totalOffside
12501527,home,Udinese,Maduka Okoye,,,maduka-okoye,M. Okoye,G,40,197,2162,M,891656,EUR,935798400,G,40,40,False,33.0,25.0,19.0,11.0,0.0,14.0,14.0,11.0,19.0,10.0,7.0,8.0,1.0,1.0,90.0,42.0,8.0,8.0,0.010958,0,-0.4391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501527,home,Udinese,Jaka Bijol,,,jaka-bijol,J. Bijol,D,15,192,2511,M,886930,EUR,918172800,D,29,29,False,36.0,29.0,4.0,2.0,0.0,18.0,18.0,12.0,19.0,2.0,,,,,39.0,46.0,5.6,9.0,0.0423177,0,,True,1.0,1.0,2.0,4.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
12501527,home,Udinese,Christian Kabasele,,,christian-kabasele,C. Kabasele,D,27,186,477,M,58351,EUR,667353600,D,27,27,False,27.0,22.0,4.0,1.0,0.0,18.0,18.0,4.0,9.0,2.0,,,,,90.0,49.0,7.9,5.0,0.00739561,1,,,,,2.0,2.0,5.0,1.0,,13.0,,,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,0.6821,0.9893,,,,,,,,,,
12501527,home,Udinese,Oumar Solet,,,oumar-solet,O. Solet,D,28,192,1946,M,892979,EUR,949881600,D,28,28,False,29.0,24.0,8.0,5.0,1.0,23.0,24.0,1.0,5.0,2.0,,,,,90.0,45.0,6.8,7.0,0.00040973,1,,,,,1.0,3.0,3.0,,1.0,8.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,0.0141,0.0106,1.0,1.0,,,,,,,,
12501527,home,Udinese,Kingsley Ehizibue,,,kingsley-ehizibue,K. Ehizibue,M,19,189,682,M,609206,EUR,801360000,M,19,19,False,28.0,21.0,3.0,,0.0,8.0,10.0,13.0,19.0,6.0,,,,,86.0,47.0,6.7,11.0,0.0288603,0,,,1.0,,1.0,2.0,2.0,,,2.0,,,,2.0,,,3.0,,1.0,,,,,,,,,,,,,
12501527,home,Udinese,Arthur Atta,,,atta-arthur,A. Atta,M,14,189,2507,M,1444690,EUR,1042502400,M,14,14,False,36.0,30.0,1.0,1.0,0.0,15.0,16.0,17.0,22.0,5.0,,,,,77.0,54.0,6.7,13.0,0.26183,0,,,2.0,2.0,1.0,8.0,4.0,,4.0,,,,3.0,1.0,,,1.0,,,1.0,,,5.0,2.0,,,,,,,,
12501527,home,Udinese,Jesper Karlström,,,jesper-karlstrom,J. Karlström,M,8,179,729,M,227894,EUR,803692800,M,25,25,False,33.0,25.0,7.0,1.0,0.0,12.0,13.0,13.0,20.0,5.0,,,,,90.0,42.0,6.3,9.0,0.00488423,1,,,,,1.0,6.0,2.0,1.0,1.0,3.0,,3.0,,1.0,,,,1.0,1.0,,0.1076,,,,1.0,1.0,1.0,,,,,
12501527,home,Udinese,Jürgen Ekkelenkamp,,,jurgen-ekkelenkamp,J. Ekkelenkamp,M,32,188,1146,M,904887,EUR,954892800,M,32,32,False,17.0,12.0,1.0,1.0,0.0,4.0,4.0,8.0,14.0,1.0,,,,,90.0,27.0,6.7,8.0,0.0075799,3,,,1.0,,4.0,1.0,6.0,1.0,,1.0,2.0,,,,,,,,1.0,,0.17,,1.0,1.0,1.0,1.0,,1.0,2.0,,,
12501527,home,Udinese,Jordan Zemura,,,jordan-zemura,J. Zemura,D,33,173,795,M,964119,EUR,942537600,M,33,33,False,18.0,15.0,2.0,,0.0,11.0,11.0,6.0,14.0,4.0,,,,,90.0,46.0,6.3,12.0,0.194851,1,,,7.0,2.0,,6.0,3.0,1.0,2.0,1.0,,,1.0,1.0,,,1.0,1.0,3.0,,0.0474,,2.0,,,1.0,,,1.0,,,
12501527,home,Udinese,Lorenzo Lucca,,,lorenzo-lucca,L. Lucca,F,20,201,5063,M,962364,EUR,968544000,F,17,17,False,11.0,7.0,2.0,1.0,0.0,3.0,3.0,4.0,8.0,1.0,,,,,78.0,27.0,7.2,10.0,0.00239519,3,,,,,2.0,12.0,5.0,,1.0,3.0,5.0,5.0,,6.0,1.0,1.0,,1.0,1.0,2.0,0.171,0.4736,,,,,,,2.0,,,
