match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_dispossessed,stat_blockedScoringAttempt,stat_expectedGoals,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_shotOffTarget,stat_bigChanceMissed,stat_totalOffside,captain
12499452,home,1. FSV Mainz 05,Robin Zentner,robin-zentner,R. Zentner,G,27,193,298,M,174345,EUR,783302400,G,27,27,False,27.0,20.0,16.0,9.0,0.0,13.0,13.0,7.0,14.0,1.0,1.0,5.0,8.0,2.0,3.0,4.0,2.0,2.0,2.0,90.0,46.0,7.8,7.0,0.0018851,1.0,0,-0.0663,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499452,home,1. FSV Mainz 05,Dominik Kohr,dominik-kohr,D. Kohr,D,31,183,342,M,152206,EUR,759974400,D,31,31,False,56.0,38.0,16.0,5.0,0.0,21.0,26.0,17.0,30.0,1.0,11.0,4.0,4.0,,,,,,,90.0,79.0,7.2,22.0,0.0212536,,0,,1.0,3.0,2.0,1.0,1.0,1.0,7.0,5.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
12499452,home,1. FSV Mainz 05,Maxim Leitsch,maxim-leitsch,M. Leitsch,D,5,188,95,M,842869,EUR,895449600,D,5,5,False,12.0,9.0,1.0,1.0,0.0,6.0,8.0,3.0,4.0,,1.0,1.0,,,,,,,,31.0,17.0,6.6,3.0,0.0095735,,0,,2.0,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
12499452,home,1. FSV Mainz 05,Andreas Hanche-Olsen,andreas-hanche-olsen,A. Hanche-Olsen,D,25,185,370,M,794294,EUR,853459200,D,25,25,False,41.0,37.0,4.0,2.0,0.0,30.0,30.0,7.0,11.0,5.0,8.0,8.0,2.0,,,,,,,90.0,55.0,7.1,5.0,0.00583753,,0,,1.0,2.0,,,,2.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
12499452,home,1. FSV Mainz 05,Anthony Caci,anthony-caci,A. Caci,M,19,184,357,M,846471,EUR,867715200,M,19,19,False,35.0,26.0,5.0,4.0,0.0,11.0,12.0,16.0,27.0,3.0,7.0,3.0,3.0,,,,,,,85.0,54.0,7.1,15.0,0.0894241,1.0,0,,4.0,5.0,1.0,1.0,,1.0,1.0,,,2.0,1.0,,,4.0,1.0,,,,,,,,,,,,
12499452,home,1. FSV Mainz 05,Kaishu Sano,kaishu-sano,K. Sano,M,6,176,2306,M,1028307,EUR,978134400,M,6,6,False,18.0,15.0,2.0,1.0,0.0,6.0,6.0,9.0,12.0,1.0,5.0,2.0,,,,,,,,86.0,30.0,6.6,6.0,0.00895558,,1,,3.0,5.0,,,,,2.0,1.0,2.0,2.0,,,,,,1.0,1.0,1.0,0.0153,,,,,,,,
12499452,home,1. FSV Mainz 05,Nadiem Amiri,nadiem-amiri,N. Amiri,M,10,180,2793,M,327755,EUR,846374400,M,18,18,False,54.0,46.0,9.0,6.0,0.0,26.0,29.0,21.0,30.0,,3.0,3.0,8.0,,,,,,,90.0,69.0,8.2,13.0,0.804166,2.0,1,,,2.0,1.0,1.0,1.0,1.0,,,,2.0,1.0,,,5.0,1.0,,1.0,,0.1038,1.0,1.0,0.6091,,,,,
12499452,home,1. FSV Mainz 05,Phillipp Mwene,phillipp-mwene,P. Mwene,M,2,170,470,M,138126,EUR,759801600,M,2,2,False,31.0,25.0,5.0,1.0,0.0,14.0,16.0,15.0,21.0,,1.0,1.0,3.0,,,,,,,90.0,51.0,6.6,13.0,0.140345,2.0,1,,1.0,4.0,1.0,,,,1.0,,2.0,,1.0,,,6.0,4.0,,1.0,1.0,0.0257,,,,,,,,
12499452,home,1. FSV Mainz 05,Karim Onisiwo,karim-onisiwo,K. Onisiwo,F,9,188,465,M,165413,EUR,700790400,F,9,9,False,13.0,6.0,,,0.0,1.0,5.0,6.0,9.0,2.0,4.0,,,,,,,,,76.0,27.0,7.1,11.0,0.186037,1.0,3,,1.0,2.0,1.0,,,,,,3.0,2.0,,,,1.0,1.0,,,,0.0732,,,,1.0,3.0,,,
12499452,home,1. FSV Mainz 05,Jae-sung Lee,jae-sung-lee,J. Lee,F,7,180,2646,M,537552,EUR,713404800,F,7,7,False,29.0,22.0,2.0,1.0,0.0,4.0,6.0,18.0,23.0,5.0,6.0,2.0,2.0,,,,,,,90.0,39.0,6.5,11.0,0.136815,2.0,1,,3.0,5.0,2.0,,,1.0,1.0,,2.0,,,,,,,,,,0.3354,,,,,1.0,1.0,1.0,
