match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_challengeLost,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_aerialLost,stat_totalContest,stat_wonTackle,stat_wonContest,stat_goals,captain,stat_bigChanceCreated,stat_outfielderBlock,stat_hitWoodwork,player_sofascoreId,stat_totalOffside,stat_goodHighClaim,stat_punches,stat_errorLeadToAShot
14572700,home,Sporting Braga,Lukáš Horníček,lukas-hornicek,L. Horníček,G,1,194,512,M,963744,EUR,1026518400,G,1,1,False,23.0,17.0,8.0,2.0,0.0,15.0,16.0,2.0,7.0,1.0,5.0,1.0,3.0,4.0,1.0,1.0,90.0,31.0,6.3,6.0,0.00185088,0.8577,0,-1.6912,0.03,0.01,-0.39,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572700,home,Sporting Braga,Victor Gómez,victor-gomez,V. Gómez,D,2,169,299,M,877918,EUR,954547200,D,2,2,False,70.0,63.0,4.0,2.0,0.0,31.0,31.0,32.0,39.0,7.0,4.0,3.0,,,,,90.0,92.0,6.3,10.0,0.0942773,,1,,0.14,0.02,-0.69,,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0339,1.0,-0.08,,,,,,,,,,,,,,,,,,,,,,
14572700,home,Sporting Braga,Gustaf Lagerbielke,gustaf-lagerbielke,G. Lagerbielke,D,14,193,475,M,965263,EUR,955324800,D,14,14,False,83.0,76.0,5.0,4.0,0.0,39.0,42.0,37.0,41.0,8.0,1.0,,,,,,90.0,92.0,6.4,9.0,0.0830625,,2,,0.29,0.24,-0.7,,,,8.0,3.0,,3.0,,,1.0,1.0,0.4502,,-0.62,1.0,1.0,2.0,1.0,1.0,0.5099,,,,,,,,,,,,,,,,
14572700,home,Sporting Braga,Bright Arrey-Mbi,bright-arrey-mbi,B. Arrey-Mbi,D,26,187,792,M,997173,EUR,1048636800,D,26,26,False,61.0,58.0,1.0,,0.0,34.0,35.0,24.0,26.0,3.0,3.0,,,,,,90.0,74.0,5.9,4.0,0.0158393,,0,,0.17,0.09,-0.63,,,,2.0,2.0,,6.0,2.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
14572700,home,Sporting Braga,Gabriel Martínez,gabriel-martinez,G. Martínez,M,77,185,486,M,1134430,EUR,1043193600,M,77,77,False,38.0,35.0,1.0,1.0,0.0,13.0,14.0,22.0,24.0,9.0,5.0,3.0,,,,,90.0,65.0,8.1,12.0,0.0635032,,3,,0.08,1.0,-0.07,,3.0,1.0,1.0,3.0,1.0,,,4.0,5.0,,0.0732,1.0,-0.17,1.0,2.0,,,2.0,0.2711,Gabriel Martínez,,,1.0,3.0,1.0,,,,,,,,,,
14572700,home,Sporting Braga,Jean-Baptiste Gorby,jean-baptiste-gorby,J. Gorby,M,29,181,4262,M,1120039,EUR,1027555200,M,29,29,False,84.0,80.0,4.0,2.0,0.0,28.0,30.0,52.0,54.0,4.0,4.0,2.0,,,,,90.0,95.0,6.8,6.0,0.0709834,,1,,0.3,0.06,-0.19,,,,,3.0,,1.0,,2.0,1.0,,0.0554,,-0.15,,,,1.0,,,,,2.0,1.0,1.0,,,,,,,,,,,
14572700,home,Sporting Braga,João Moutinho,joao-moutinho,J. Moutinho,M,8,171,1563,M,6562,EUR,526521600,M,8,8,False,46.0,43.0,3.0,3.0,0.0,15.0,16.0,28.0,30.0,2.0,1.0,,,,,,56.0,49.0,6.8,3.0,0.043561,,1,,0.13,0.04,-0.06,,,,1.0,,1.0,1.0,,1.0,,,0.0448,,0.01,,,,,,,,,,,1.0,,,,,,,,,,,
14572700,home,Sporting Braga,Leonardo Lelo,leonardo-lelo,L. Lelo,M,5,175,353,M,1006865,EUR,954374400,M,5,5,False,33.0,26.0,3.0,,0.0,9.0,12.0,17.0,21.0,3.0,4.0,,,,,,56.0,45.0,6.5,13.0,0.0655736,,0,,0.01,0.13,-0.08,,5.0,,1.0,2.0,,,,2.0,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,
14572700,home,Sporting Braga,Rodrigo Zalazar,rodrigo-zalazar,R. Zalazar,M,10,174,2847,M,966575,EUR,934416000,F,10,10,False,52.0,41.0,2.0,2.0,0.0,8.0,9.0,33.0,43.0,9.0,4.0,4.0,,,,,84.0,76.0,9.4,18.0,0.104297,,7,,0.25,0.31,-0.06,,2.0,,1.0,6.0,3.0,,,3.0,1.0,1.0,1.0006,2.0,0.82,1.0,3.0,,2.0,2.0,1.0193,,,,2.0,2.0,1.0,2.0,,,,,,,,,
14572700,home,Sporting Braga,Ricardo Horta,ricardo-horta,R. Horta,M,21,173,2167,M,314380,EUR,779587200,F,21,21,False,39.0,33.0,2.0,1.0,1.0,9.0,10.0,24.0,29.0,2.0,1.0,,,,,,77.0,53.0,8.0,10.0,0.856439,,1,,0.84,0.31,-0.02,,6.0,3.0,,1.0,1.0,,,2.0,,,0.0923,6.0,-0.37,,1.0,,,,,,,,,,,,True,2.0,,,,,,,
