match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_totalCross,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_keyPass,player_sofascoreId,captain,stat_dispossessed,stat_lastManTackle,stat_bigChanceMissed,stat_accurateCross,stat_blockedScoringAttempt,stat_penaltyWon,stat_penaltyMiss,player_firstName,player_lastName,stat_hitWoodwork,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_penaltyConceded,stat_totalOffside
13472598,home,Bahia,Ronaldo,ronaldo,Ronaldo,G,96,193.0,1025,M,840106,EUR,840672000,G,96,96,False,19.0,16.0,4.0,1.0,0.0,15.0,16.0,1.0,3.0,8.0,3.0,90.0,27.0,7.1,3.0,0.00031954,26.26223749724,3.0,3.885,7.665,0,0.1454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472598,home,Bahia,Kanu,kanu,Kanu,D,4,186.0,926,M,871705,EUR,857692800,D,4,4,False,63.0,60.0,,,0.0,36.0,37.0,24.0,26.0,3.0,,90.0,69.0,7.2,3.0,0.00956325,288.95591377151,33.0,113.295,14.595,1,,2.0,4.0,3.0,6.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472598,home,Bahia,Santiago Ramos Mingo,ramos-mingo-santiago,S. R. Mingo,D,21,185.0,2035,M,989843,EUR,1006300800,D,21,21,False,60.0,56.0,1.0,,0.0,23.0,25.0,33.0,35.0,5.0,,90.0,64.0,7.1,4.0,0.0315474,212.47507377146,24.0,148.155,28.035,0,,1.0,1.0,3.0,1.0,,,2.0,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472598,home,Bahia,Luciano Juba,luciano-juba,L. Juba,D,46,176.0,3659,M,1017264,EUR,935884800,D,46,46,False,62.0,58.0,3.0,1.0,0.0,23.0,23.0,35.0,39.0,7.0,,90.0,76.0,8.3,8.0,0.636213,229.62687207875,31.0,132.51,14.385,1,,,,1.0,4.0,,,,1.0,1.0,1.0,0.0227,,,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.3048,3.0,,,,,,,,,,,,,,,,,,
13472598,home,Bahia,Everton Ribeiro,everton-ribeiro,E. Ribeiro,M,10,174.0,5845,M,145063,EUR,608169600,M,10,10,False,58.0,53.0,3.0,2.0,1.0,7.0,8.0,46.0,50.0,3.0,,75.0,75.0,7.7,13.0,0.118916,192.49652022406,29.0,71.085,15.225,1,,,,3.0,2.0,,1.0,,1.0,1.0,1.0,0.3653,,1.0,,3.0,1.0,,,,,2.0,,5.0,evertonri,True,2.0,1.0,,,,,,,,,,,,,,
13472598,home,Bahia,Nicolás Acevedo,nicolas-acevedo,N. Acevedo,M,26,173.0,1112,M,959620,EUR,924048000,M,26,26,False,56.0,52.0,1.0,,0.0,17.0,17.0,35.0,39.0,3.0,,64.0,75.0,7.7,5.0,0.0880045,240.29444071683,27.0,99.96,19.005,6,,3.0,,6.0,5.0,2.0,3.0,1.0,3.0,3.0,2.0,0.8243,,1.0,1.0,,,,,3.0,,1.0,0.8074,1.0,,,,,2.0,,,,,,,,,,,,,
13472598,home,Bahia,Rodrigo Nestor,rodrigo-nestor,R. Nestor,M,11,174.0,2064,M,905461,EUR,965779200,M,11,11,False,41.0,34.0,2.0,2.0,0.0,14.0,16.0,20.0,25.0,1.0,,75.0,53.0,7.5,12.0,0.103005,111.18193550582,17.0,39.165,17.745,2,,,1.0,6.0,2.0,2.0,,,1.0,1.0,,0.1033,,,2.0,2.0,,,,2.0,1.0,1.0,0.1954,1.0,,,2.0,,,,,,,,,,,,,,,
13472598,home,Bahia,Ademir,ademir,Ademir,F,7,172.0,1700,M,922546,EUR,792892800,F,7,7,False,42.0,33.0,2.0,2.0,1.0,4.0,5.0,29.0,37.0,3.0,,90.0,71.0,8.8,18.0,0.258949,270.29367418719,33.0,135.66,33.075,7,,1.0,,2.0,6.0,,3.0,,1.0,,3.0,0.4206,,1.0,1.0,5.0,2.0,2.0,1.0,2.0,,3.0,0.3205,3.0,,,,,,1.0,2.0,1.0,,,,,,,,,,
13472598,home,Bahia,Willian José,willian-jose,W. José,F,12,189.0,3025,M,123223,EUR,690854400,F,12,12,False,24.0,19.0,2.0,2.0,0.0,1.0,1.0,18.0,23.0,3.0,,75.0,34.0,6.0,9.0,0.244283,31.850990178487,6.0,-2.835,3.255,4,,,,2.0,,,1.0,2.0,,,,1.1041,,,,1.0,,,,2.0,,1.0,0.8749,2.0,,,2.0,,4.0,,1.0,,1.0,,,,,,,,,
13472598,home,Bahia,Erick Pulga,erick-pulga,E. Pulga,M,16,169.0,4844,M,1104070,EUR,970358400,F,16,16,False,18.0,15.0,1.0,1.0,0.0,1.0,2.0,14.0,16.0,1.0,,64.0,35.0,7.4,8.0,0.181741,201.54534053957,16.0,94.605,36.75,4,,1.0,,5.0,3.0,1.0,1.0,,2.0,2.0,1.0,0.3054,,,,2.0,2.0,,1.0,3.0,,,0.9389,1.0,,,1.0,,1.0,,,,,Erick,Pulga,1.0,,,,,,
