match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalTackle,stat_wasFouled,stat_fouls,stat_totalOffside,stat_interceptionWon,stat_challengeLost,stat_totalCross,stat_wonContest,stat_shotOffTarget,stat_unsuccessfulTouch,stat_keyPass,player_firstName,player_lastName,player_sofascoreId,stat_wonTackle,stat_outfielderBlock,captain,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_accurateCross,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork,stat_bigChanceCreated,stat_bigChanceMissed
10408486,home,Cádiz,Jeremías Ledesma,jeremias-ledesma,C. Ledesma,G,23,186,1063,M,341097,EUR,729561600,G,1,1,False,33.0,14.0,26.0,7.0,7.0,9.0,7.0,24.0,1.0,7.0,1.0,1.0,3.0,1.0,90.0,42.0,7.5,20.0,0.0,0.0,0.00161909,0,0.8411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408486,home,Cádiz,Joseba Zaldúa,joseba-zaldua,J. Zaldúa,D,,176,88,M,347450,EUR,709344000,D,2,2,False,14.0,12.0,,,6.0,6.0,6.0,8.0,2.0,1.0,,,,,53.0,27.0,6.6,3.0,0.0,0.0,0.00517803,0,,1.0,3.0,4.0,6.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10408486,home,Cádiz,Fali,fali,Fali,D,,186,193,M,349794,EUR,745113600,D,3,3,False,26.0,21.0,6.0,2.0,18.0,19.0,3.0,7.0,4.0,6.0,,,,,90.0,34.0,6.9,5.0,0.0,0.0,0.00221451,0,,,1.0,,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
10408486,home,Cádiz,Mamadou Mbaye,mamadou-mbaye,M. Mbaye,D,15,188,162,M,921621,EUR,898992000,D,5,5,False,43.0,31.0,4.0,,28.0,31.0,3.0,12.0,5.0,4.0,,,,,90.0,54.0,7.0,12.0,0.0,0.0,0.00084215,0,,3.0,1.0,4.0,2.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10408486,home,Cádiz,Santiago Arzamendia,santiago-arzamendia,S. Arzamendia,D,15,172,405,M,887429,EUR,894326400,D,21,21,False,32.0,21.0,2.0,1.0,10.0,11.0,11.0,22.0,3.0,4.0,,,,,73.0,51.0,6.7,14.0,0.0634,0.0,0.121214,1,,,,5.0,2.0,3.0,,,3.0,,,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
10408486,home,Cádiz,Théo Bongonda,theo-bongonda,T. Bongonda,M,77,177,22829,M,344953,EUR,816825600,M,10,10,False,12.0,8.0,,,2.0,3.0,6.0,9.0,,3.0,,,,,73.0,23.0,6.8,7.0,0.3544,0.0,0.0562344,3,,,1.0,3.0,4.0,3.0,2.0,,,,,1.0,,1.0,3.0,1.0,,,,theo_bongonda,2.0,,,,,,,,,,,
10408486,home,Cádiz,Fede San Emeterio,fede-san-emeterio,F. S. E. Diaz,M,6,174,81,M,376382,EUR,858470400,M,24,24,False,24.0,21.0,4.0,3.0,16.0,17.0,5.0,7.0,,3.0,,,,,45.0,26.0,6.7,4.0,0.0,0.0,0.0139098,0,,,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,
10408486,home,Cádiz,Álex Fernández,alex-fernandez,Á. Fernández,M,8,183,168,M,148588,EUR,719107200,M,8,8,False,34.0,29.0,5.0,2.0,18.0,19.0,11.0,16.0,2.0,1.0,,,,,79.0,43.0,6.7,8.0,0.1797,0.2569,0.00599689,2,,1.0,1.0,4.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,True,2.0,2.0,,,,,,,
10408486,home,Cádiz,Brian Ocampo,brian-ocampo,B. Ocampo,M,10,173,942,M,941405,EUR,930268800,M,14,14,False,25.0,19.0,2.0,2.0,5.0,5.0,14.0,20.0,1.0,7.0,,,,,90.0,44.0,6.7,13.0,0.0402,0.0,0.256967,1,,2.0,2.0,12.0,10.0,4.0,3.0,3.0,3.0,,,2.0,,2.0,,,2.0,,,,3.0,,,3.0,,1.0,,,,,,
10408486,home,Cádiz,Lucas Pérez,lucas-perez,L. Pérez,F,,181,960,M,107128,EUR,589852800,F,15,15,False,30.0,24.0,3.0,1.0,6.0,6.0,18.0,29.0,1.0,2.0,,,,,90.0,46.0,6.6,15.0,0.0948,0.1034,0.0474825,2,,,,4.0,1.0,3.0,1.0,,,,,,5.0,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,
