match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialWon,stat_interceptionWon,stat_wonTackle,stat_fouls,stat_dispossessed,stat_outfielderBlock,stat_totalOffside,stat_totalCross,stat_wonContest,stat_blockedScoringAttempt,stat_keyPass,player_sofascoreId,stat_goalAssist,stat_accurateCross,stat_goals,stat_savedShotsFromInsideTheBox,stat_lastManTackle,stat_errorLeadToAShot,stat_bigChanceCreated,stat_bigChanceMissed
10385515,home,Leeds United,Illan Meslier,,,illan-meslier,I. Meslier,G,16,196,1694,M,906076,EUR,951955200,G,1,1,False,25.0,20.0,8.0,4.0,17.0,19.0,3.0,6.0,1.0,1.0,10.0,2.0,2.0,2.0,90.0,38.0,6.6,6.0,0.0,0.0,0.00031808,0,-0.0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385515,home,Leeds United,Luke Ayling,,,luke-ayling,L. Ayling,D,12,183,334,M,102624,EUR,683078400,D,2,2,False,28.0,23.0,3.0,2.0,14.0,18.0,9.0,10.0,2.0,3.0,3.0,,,,90.0,45.0,6.3,9.0,0.1975,0.047,0.00667855,2,,True,2.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10385515,home,Leeds United,Robin Koch,,,robin-koch,R. Koch,D,4,190,1826,M,581302,EUR,837561600,D,5,5,False,45.0,37.0,5.0,3.0,29.0,34.0,8.0,11.0,2.0,9.0,5.0,,,,90.0,58.0,6.7,8.0,0.0,0.0,0.00181122,0,,,,3.0,,,,,1.0,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,
10385515,home,Leeds United,Maximilian Wöber,,,maximilian-wober,M. Wöber,D,39,188,655,M,794962,EUR,886550400,D,39,39,False,30.0,19.0,9.0,3.0,11.0,14.0,8.0,16.0,3.0,8.0,2.0,,,,90.0,52.0,6.8,13.0,0.0,0.0,0.00708675,0,,,,2.0,1.0,,,,2.0,1.0,,1.0,5.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,
10385515,home,Leeds United,Junior Firpo,,,junior-firpo,J. Firpo,D,23,184,2241,M,914835,EUR,840672000,D,3,3,False,43.0,38.0,1.0,,20.0,21.0,18.0,23.0,3.0,1.0,6.0,,,,90.0,59.0,6.3,8.0,0.0,0.0,0.0166481,0,,,2.0,9.0,2.0,,,,2.0,,1.0,,2.0,1.0,3.0,2.0,1.0,,1.0,,,,,,,,,,,,
10385515,home,Leeds United,Tyler Adams,,,tyler-adams,T. Adams,M,12,175,2918,M,800419,EUR,918950400,M,12,12,False,50.0,45.0,2.0,2.0,26.0,28.0,19.0,22.0,2.0,,6.0,,,,90.0,60.0,6.8,7.0,0.0399,0.0,0.0903139,1,,,,3.0,2.0,1.0,,,1.0,1.0,,,2.0,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,
10385515,home,Leeds United,Marc Roca,,,marc-roca,M. Roca,M,21,184,1491,M,847128,EUR,848966400,M,8,8,False,34.0,29.0,1.0,,15.0,18.0,14.0,16.0,1.0,,7.0,,,,66.0,42.0,6.1,7.0,0.1109,0.0,0.00683204,3,,,,6.0,2.0,,,,1.0,,,,2.0,1.0,2.0,2.0,,,,,3.0,,,,,,,,,,
10385515,home,Leeds United,Crysencio Summerville,,,crysencio-summerville,C. Summerville,M,7,174,5285,M,917005,EUR,1004400000,M,10,10,False,15.0,15.0,,,7.0,7.0,8.0,9.0,5.0,,5.0,,,,66.0,30.0,6.7,4.0,0.0,0.0,0.0127794,0,,,,4.0,2.0,1.0,,,1.0,2.0,3.0,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,,2.0,csummerville7,,,,,,,,
10385515,home,Leeds United,Brenden Aaronson,,,brenden-aaronson,B. Aaronson,M,11,178,2596,M,973431,EUR,972172800,M,7,7,False,19.0,17.0,,,6.0,8.0,11.0,12.0,4.0,,7.0,,,,84.0,37.0,6.1,11.0,0.1572,0.2228,0.220119,2,,,5.0,13.0,2.0,3.0,1.0,1.0,,2.0,2.0,1.0,1.0,,,4.0,,1.0,1.0,1.0,,2.0,,,,,,,,,
10385515,home,Leeds United,Jack Harrison,,,jack-harrison,J. Harrison,M,17,175,1145,M,829570,EUR,848448000,M,11,11,False,36.0,26.0,2.0,1.0,11.0,15.0,16.0,25.0,3.0,1.0,7.0,,,,89.0,61.0,7.8,22.0,0.828,0.4219,0.09657,2,,,,5.0,,2.0,,1.0,2.0,4.0,1.0,,2.0,1.0,1.0,2.0,,,4.0,,1.0,3.0,,1.0,1.0,1.0,,,,,
