match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,player_firstName,player_lastName,captain,stat_aerialWon,stat_outfielderBlock,stat_errorLeadToAShot,stat_interceptionWon,stat_lastManTackle,stat_wonTackle,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_dispossessed,stat_bigChanceCreated,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goals,stat_goodHighClaim,stat_totalOffside
14025047,home,Tottenham Hotspur,Guglielmo Vicario,guglielmo-vicario,G. Vicario,G,1,194,7123,M,guglielmovicario,553606,EUR,844646400,G,1,1,False,46.0,43.0,7.0,4.0,0.0,42.0,44.0,1.0,2.0,1.0,7.0,2.0,4.0,1.0,90.0,55.0,8.0,3.0,0.00022241,0.5313,0,1.0692,0.06,0.01,0.33,0.44,3.35,2.13,0.22,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025047,home,Tottenham Hotspur,Pedro Porro,pedro-porro,P. Porro,D,23,173,10890,M,pedroporro29,913654,EUR,937180800,D,23,23,False,62.0,46.0,13.0,5.0,0.0,16.0,24.0,30.0,38.0,2.0,4.0,,,,90.0,94.0,7.6,23.0,0.257314,,1,,0.66,0.27,-0.1,,3.12,4.66,1.47,0.74,0.31,8.0,2.0,1.0,6.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0223,3.0,-0.19,,,,,,,,,,,,,,,,,,
14025047,home,Tottenham Hotspur,Cristian Romero,cristian-romero,C. Romero,D,17,185,37910,M,cutiromero2,829932,EUR,893635200,D,17,17,False,88.0,78.0,4.0,2.0,0.0,58.0,59.0,20.0,29.0,3.0,3.0,,,,90.0,95.0,7.2,11.0,0.0202256,,0,,0.27,0.15,0.19,,3.45,3.81,1.06,0.27,0.18,,,2.0,5.0,5.0,,,,,,1.0,1.0,3.0,,,,,,True,4.0,2.0,1.0,,,,,,,,,,,,
14025047,home,Tottenham Hotspur,Micky van de Ven,micky-van-de-ven,M. van de Ven,D,37,193,12526,M,mickyvdven,998247,EUR,987638400,D,37,37,False,68.0,63.0,3.0,,0.0,47.0,49.0,16.0,19.0,4.0,4.0,,,,90.0,82.0,6.9,7.0,0.00544451,,2,,0.04,0.15,0.61,,3.76,3.64,1.02,0.39,0.29,,,2.0,3.0,5.0,,1.0,,2.0,1.0,1.0,1.0,,0.5881,,-0.68,,,,3.0,,,1.0,1.0,1.0,,,,,,,,,
14025047,home,Tottenham Hotspur,Djed Spence,djed-spence,D. Spence,D,24,184,4534,M,,945798,EUR,965779200,D,24,24,False,51.0,48.0,3.0,1.0,0.0,17.0,17.0,31.0,34.0,3.0,2.0,,,,90.0,62.0,7.1,5.0,0.0692794,,2,,0.13,0.43,0.16,,3.31,3.84,1.21,0.65,0.48,2.0,,1.0,2.0,2.0,,1.0,1.0,1.0,,,,1.0,0.1793,,-0.48,,,,1.0,,,,,,1.0,0.1153,,,,,,,
14025047,home,Tottenham Hotspur,Pape Matar Sarr,pape-matar-sarr,P. M. Sarr,M,29,185,32679,M,pape,1002711,EUR,1031961600,M,29,29,False,52.0,43.0,1.0,1.0,1.0,19.0,23.0,24.0,29.0,4.0,4.0,,,,90.0,66.0,7.8,12.0,0.217707,,0,,0.16,0.31,0.24,,3.11,4.99,1.65,0.71,0.24,,,1.0,5.0,10.0,1.0,4.0,3.0,,2.0,,1.0,,,1.0,,,,,4.0,,,,,1.0,,,2.0,1.0,,,,,
14025047,home,Tottenham Hotspur,Archie Gray,archie-gray,A. Gray,D,14,187,5627,M,ArchieGray06,1142335,EUR,1142121600,M,14,14,False,41.0,38.0,2.0,2.0,0.0,15.0,17.0,23.0,24.0,2.0,5.0,,,,71.0,46.0,6.7,4.0,0.0468106,,0,,0.03,0.14,-0.07,,2.07,4.53,1.51,0.57,0.18,,,2.0,6.0,3.0,1.0,,,,1.0,1.0,,3.0,,,,Archie Gray,,,2.0,,,,,1.0,,,,,,,,,
14025047,home,Tottenham Hotspur,Lucas Bergvall,bergvall-lucas,L. Bergvall,M,15,186,9218,M,lucasbergvall,1391251,EUR,1138838400,M,15,15,False,22.0,19.0,2.0,1.0,0.0,6.0,7.0,13.0,15.0,1.0,1.0,,,,80.0,33.0,6.9,8.0,0.00657239,,1,,-0.2,0.14,0.16,,2.43,5.2,1.9,0.73,0.23,1.0,,3.0,5.0,4.0,1.0,2.0,2.0,,2.0,1.0,,1.0,0.1158,,0.13,,,,,,,,,2.0,1.0,0.2031,,,,,,,
14025047,home,Tottenham Hotspur,Mohammed Kudus,mohammed-kudus,M. Kudus,M,20,176,89524,M,Kudus,905163,EUR,965174400,F,20,20,False,24.0,22.0,4.0,3.0,2.0,9.0,9.0,13.0,15.0,,3.0,,,,85.0,46.0,8.8,11.0,0.577959,,2,,0.79,0.36,0.18,,2.95,3.77,1.1,0.45,0.38,10.0,5.0,1.0,3.0,5.0,,3.0,2.0,2.0,1.0,2.0,2.0,,0.0599,5.0,-0.35,,,,,,,,,1.0,,,1.0,,,,,,
14025047,home,Tottenham Hotspur,Richarlison,richarlison,Richarlison,F,9,184,44707,M,Richarlison,840217,EUR,863222400,F,9,9,False,7.0,6.0,1.0,1.0,0.0,2.0,2.0,4.0,5.0,3.0,2.0,,,,71.0,23.0,9.5,4.0,0.00719741,,5,,-0.13,0.52,0.2,,2.54,3.35,1.03,0.49,0.11,,,2.0,3.0,5.0,,2.0,2.0,1.0,,3.0,,1.0,0.7796,,0.84,,,,3.0,,,,,,3.0,1.8313,,,1.0,1.0,2.0,,
