match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_shotOffTarget,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_interceptionWon,captain,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalOffside,stat_accurateCross,stat_blockedScoringAttempt,stat_keyPass,stat_totalContest,stat_bigChanceCreated,stat_wonContest,stat_errorLeadToAShot,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_bigChanceMissed,stat_outfielderBlock
11067598,home,Botafogo,Lucas Perri,,,lucas-perri,L. Perri,G,1,196,3423,M,871290,EUR,881712000,G,12,12,False,25.0,20.0,8.0,3.0,20.0,24.0,1.0,1.0,8.0,3.0,2.0,3.0,1.0,90.0,40.0,7.5,5.0,5.534e-05,0,0.3241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067598,home,Botafogo,Danilo Barbosa,,,danilo-barbosa,D. Barbosa,M,5,182,801,M,330063,EUR,825465600,D,5,5,False,70.0,59.0,7.0,5.0,31.0,34.0,37.0,2.0,3.0,,,,,90.0,82.0,6.8,14.0,0.016727,1,,28.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0693,,,,,,,,,,,,,,,,,,,
11067598,home,Botafogo,Adryelson,,,adryelson,Adryelson,D,34,184,1086,M,795261,EUR,890611200,D,34,34,False,54.0,53.0,7.0,7.0,39.0,39.0,15.0,4.0,2.0,,,,,90.0,65.0,7.2,2.0,0.00799316,0,,14.0,,1.0,,3.0,,1.0,,,1.0,,4.0,,,,,,,,,,,,,,,,,,
11067598,home,Botafogo,Víctor Cuesta,,,victor-cuesta,Víctor Cuesta,D,31,187,553,M,587148,EUR,595900800,D,15,15,False,64.0,56.0,4.0,2.0,38.0,42.0,23.0,1.0,,,,,,90.0,80.0,7.0,13.0,0.00525993,1,,18.0,1.0,2.0,3.0,7.0,6.0,1.0,1.0,2.0,3.0,0.0548,1.0,True,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,
11067598,home,Botafogo,Tchê Tchê,,,tche-tche,Tchê Tchê,M,3,175,2494,M,840398,EUR,715132800,M,6,6,False,55.0,50.0,8.0,7.0,17.0,18.0,42.0,,3.0,,,,,90.0,71.0,7.3,13.0,0.108129,2,,34.0,5.0,,,1.0,2.0,,1.0,2.0,1.0,0.0256,,,,,,4.0,,1.0,1.0,4.0,,,,,,,,,
11067598,home,Botafogo,Marlon Freitas,,,marlon-freitas,M. Freitas,M,17,185,3107,M,840202,EUR,796262400,M,17,17,False,26.0,23.0,6.0,5.0,6.0,7.0,19.0,,2.0,,,,,45.0,33.0,7.1,5.0,0.0846966,1,,17.0,,,,2.0,2.0,,1.0,1.0,1.0,0.0151,1.0,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,
11067598,home,Botafogo,Gabriel Pires,,,gabriel-pires,G. Pires,M,10,186,398,M,178407,EUR,748310400,M,14,14,False,52.0,43.0,6.0,5.0,15.0,18.0,40.0,,4.0,,,,,83.0,71.0,7.2,17.0,0.193069,1,,30.0,6.0,1.0,3.0,7.0,9.0,1.0,,,3.0,0.0172,,,1.0,4.0,3.0,2.0,,2.0,1.0,1.0,3.0,1.0,2.0,,,,,,
11067598,home,Botafogo,Victor Sá,,,victor-sa,Victor Sá,M,7,178,521,M,799634,EUR,764726400,M,7,7,False,55.0,48.0,4.0,2.0,23.0,24.0,32.0,1.0,5.0,,,,,90.0,73.0,7.3,10.0,0.0644579,0,,26.0,1.0,1.0,1.0,5.0,8.0,,,3.0,1.0,,3.0,,2.0,3.0,1.0,2.0,,1.0,,3.0,2.0,,1.0,,,,,,
11067598,home,Botafogo,Júnior Santos,,,junior-santos,J. Santos,F,37,188,2187,M,922559,EUR,781833600,F,37,37,False,44.0,39.0,,,9.0,10.0,36.0,1.0,6.0,,,,,85.0,64.0,6.3,15.0,0.0329981,2,,30.0,2.0,1.0,1.0,10.0,3.0,3.0,1.0,1.0,2.0,0.0627,2.0,,1.0,1.0,,1.0,,,1.0,1.0,3.0,,,1.0,,,,,
11067598,home,Botafogo,Luís Henrique,,,luis-henrique,L. Henrique,M,11,181,6186,M,977679,EUR,1008288000,F,11,11,False,19.0,15.0,3.0,2.0,7.0,9.0,12.0,,5.0,,,,,61.0,29.0,7.0,7.0,0.033024,1,,9.0,2.0,,,1.0,1.0,,,,,0.0284,,,,,,1.0,,1.0,,2.0,2.0,,1.0,,1.0,0.2762,,,
