match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_aerialLost,stat_interceptionWon,stat_keyPass,stat_outfielderBlock,stat_unsuccessfulTouch,stat_accurateCross,stat_bigChanceCreated,stat_totalOffside,stat_totalContest,stat_blockedScoringAttempt,stat_fouls,stat_expectedGoals,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_wonContest,captain,stat_goodHighClaim,stat_penaltyFaced,stat_penaltyConceded
12448290,home,FC Twente,Lars Unnerstall,lars-unnerstall,L. Unnerstall,G,1,198,265,M,94835,EUR,648432000,G,1,1,False,9.0,7.0,3.0,1.0,0.0,7.0,7.0,2.0,4.0,1.0,1.0,90.0,14.0,6.3,2.0,2.622e-05,0,-0.7103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448290,home,FC Twente,Bart van Rooij,bart-van-rooij,B. v. Rooij,D,28,174,343,M,946506,EUR,990835200,D,28,28,False,79.0,72.0,4.0,3.0,0.0,39.0,39.0,45.0,6.0,,,90.0,98.0,6.9,13.0,0.024905,0,,,,33.0,5.0,1.0,2.0,4.0,1.0,1.0,3.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12448290,home,FC Twente,Gustaf Lagerbielke,gustaf-lagerbielke,G. Lagerbielke,D,14,193,475,M,965263,EUR,955324800,D,3,3,False,102.0,99.0,7.0,5.0,0.0,53.0,53.0,49.0,2.0,,,90.0,115.0,7.3,3.0,0.0634146,0,,,,46.0,,2.0,3.0,5.0,,,8.0,3.0,2.0,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12448290,home,FC Twente,Alec Van Hoorenbeeck,alec-van-hoorenbeeck,A. V. Hoorenbeeck,D,18,187,120,M,974203,EUR,914976000,D,17,17,False,99.0,90.0,7.0,4.0,0.0,45.0,48.0,51.0,6.0,,,90.0,116.0,7.4,12.0,0.239147,0,,,,45.0,,4.0,4.0,5.0,,1.0,7.0,1.0,1.0,,3.0,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,
12448290,home,FC Twente,Bas Kuipers,bas-kuipers,B. Kuipers,D,25,180,146,M,339879,EUR,777081600,D,5,5,False,45.0,41.0,4.0,1.0,1.0,17.0,17.0,31.0,4.0,,,70.0,58.0,7.3,6.0,0.526272,0,,,,27.0,3.0,,1.0,,,1.0,2.0,,,,,,3.0,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,
12448290,home,FC Twente,Youri Regeer,youri-regeer,Y. Regeer,M,6,177,742,M,996940,EUR,1061164800,M,8,8,False,30.0,26.0,3.0,2.0,0.0,9.0,9.0,21.0,2.0,,,45.0,36.0,6.4,5.0,0.00980331,1,,,,17.0,,,5.0,1.0,1.0,,1.0,1.0,,,2.0,1.0,,,,,,,1.0,1.0,1.0,0.0366,,,,,,,,,,
12448290,home,FC Twente,Michal Sadílek,michal-sadilek,M. Sadílek,M,23,168,329,M,825731,EUR,928108800,M,23,23,False,63.0,61.0,3.0,3.0,0.0,29.0,29.0,36.0,3.0,,,82.0,75.0,7.7,4.0,0.124611,2,,,,33.0,2.0,1.0,1.0,5.0,,1.0,1.0,,,4.0,,,,1.0,,1.0,,,,,,0.2868,1.0,1.0,1.0,1.0,0.2124,,,,,
12448290,home,FC Twente,Daan Rots,daan-rots,D. Rots,M,11,179,509,M,1048430,EUR,996019200,M,11,11,False,42.0,31.0,3.0,2.0,2.0,4.0,5.0,41.0,3.0,,,86.0,62.0,9.8,15.0,1.41297,2,,,,29.0,4.0,1.0,1.0,3.0,1.0,,2.0,1.0,1.0,1.0,,,6.0,,,2.0,4.0,,,,,0.1238,,,2.0,,0.4987,,,,,
12448290,home,FC Twente,Sem Steijn,sem-steijn,S. Steijn,M,14,173,3417,M,944467,EUR,1005523200,M,14,14,False,29.0,25.0,2.0,2.0,0.0,9.0,11.0,18.0,1.0,,,90.0,41.0,9.0,7.0,0.0332156,6,,,,16.0,,1.0,5.0,1.0,1.0,,1.0,,,,1.0,,,,2.0,,,,,2.0,3.0,1.6176,,,4.0,3.0,2.1332,,,,,
12448290,home,FC Twente,Michel Vlap,michel-vlap,M. Vlap,M,14,189,423,M,798181,EUR,865209600,M,18,18,False,73.0,69.0,2.0,2.0,2.0,16.0,16.0,62.0,4.0,,,90.0,99.0,8.3,16.0,0.289601,4,,,,53.0,5.0,,9.0,2.0,1.0,4.0,1.0,1.0,1.0,,1.0,1.0,4.0,3.0,,,,,4.0,2.0,,0.4159,,1.0,1.0,,0.3736,1.0,,,,
12448290,home,FC Twente,Ricky van Wolfswinkel,ricky-van-wolfswinkel,R. van Wolfswinkel,F,9,186,794,M,35193,EUR,601862400,F,9,9,False,15.0,11.0,1.0,,0.0,2.0,3.0,12.0,4.0,,,82.0,29.0,6.9,7.0,0.0328678,3,,,,9.0,,,5.0,4.0,,1.0,1.0,4.0,3.0,,2.0,,,,,,,1.0,1.0,,1.0,0.7062,2.0,,3.0,1.0,1.1076,,True,,,
