match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_wasFouled,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_shotOffTarget,stat_penaltyConceded,stat_fouls,stat_unsuccessfulTouch,stat_outfielderBlock,captain,stat_blockedScoringAttempt,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId,stat_hitWoodwork,stat_penaltyWon
10433825,home,Kasımpaşa,Erdem Canpolat,Erdem Canpolat,,erdem-canpolat,E. Canpolat,G,1,194.0,88,M,1066726,EUR,987120000,G,22,22,False,26.0,19.0,12.0,5.0,14.0,15.0,5.0,11.0,6.0,1.0,1.0,1.0,90.0,31.0,5.2,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433825,home,Kasımpaşa,Florent Hadergjonaj,,,florent-hadergjonaj,F. Hadergjonaj,D,94,183.0,410,M,354860,EUR,775612800,D,94,94,False,26.0,17.0,4.0,1.0,9.0,9.0,9.0,23.0,6.0,,,,90.0,42.0,5.5,15.0,0,6.0,1.0,2.0,1.0,6.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10433825,home,Kasımpaşa,Ryan Donk,,,ryan-donk,R. Donk,D,,192.0,133,,14900,EUR,512524800,D,4,4,False,41.0,31.0,6.0,1.0,17.0,20.0,14.0,21.0,8.0,,,,90.0,51.0,6.3,10.0,1,,,2.0,,5.0,3.0,3.0,,,,3.0,1.0,,1.0,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10433825,home,Kasımpaşa,Papy Djilobodji,,,papy-djilobodji,P. Djilobodji,D,3,193.0,175,M,106661,EUR,596937600,D,3,3,False,37.0,33.0,2.0,,25.0,26.0,8.0,11.0,5.0,,,,90.0,52.0,6.0,4.0,1,,,1.0,3.0,2.0,3.0,,,,,8.0,,1.0,,,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
10433825,home,Kasımpaşa,Yasin Özcan,,,yasin-ozcan,Y. Özcan,D,58,185.0,1802,M,1392102,EUR,1145491200,D,58,58,False,17.0,12.0,2.0,1.0,9.0,11.0,3.0,6.0,4.0,,,,58.0,33.0,6.0,9.0,0,,,,,2.0,2.0,1.0,,1.0,1.0,,,,,,,1.0,1.0,,,,1.0,3.0,,,,,,,,,,,,,,
10433825,home,Kasımpaşa,Mickaël Malsa,,,mickael-malsa,M. Malsa,M,11,178.0,277,M,360866,EUR,813456000,M,26,26,False,47.0,37.0,4.0,3.0,23.0,25.0,14.0,22.0,11.0,,,,90.0,66.0,6.8,12.0,3,,,,1.0,8.0,9.0,5.0,,3.0,2.0,,2.0,1.0,1.0,,1.0,,4.0,3.0,2.0,,2.0,1.0,1.0,,,,,,,,,,,,,
10433825,home,Kasımpaşa,Aytaç Kara,,,aytac-kara,A. Kara,M,35,188.0,161,M,128196,EUR,732844800,M,35,35,False,57.0,49.0,7.0,3.0,25.0,28.0,24.0,29.0,7.0,,,,90.0,70.0,7.4,9.0,2,,,1.0,1.0,3.0,6.0,1.0,,,,2.0,3.0,2.0,1.0,1.0,2.0,,2.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,
10433825,home,Kasımpaşa,Mortadha Ben Ouanes,,,mortadha-ben-ouanes,M. B. Ouanes,M,12,182.0,1246,M,919225,EUR,773107200,M,12,12,False,24.0,18.0,2.0,,6.0,6.0,12.0,19.0,5.0,,,,90.0,36.0,6.1,7.0,0,1.0,,2.0,1.0,5.0,5.0,2.0,,2.0,2.0,2.0,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
10433825,home,Kasımpaşa,Haris Hajradinović,,,haris-hajradinovic,H. Hajradinović,M,10,179.0,1215,M,254979,EUR,761529600,M,10,10,False,14.0,11.0,,,3.0,4.0,8.0,12.0,,,,,58.0,25.0,6.0,9.0,2,2.0,,,,5.0,1.0,1.0,,1.0,,,1.0,,,,,,,,1.0,,4.0,2.0,,True,1.0,,,,,,,,,,,
10433825,home,Kasımpaşa,Valentin Eysseric,,,valentin-eysseric,V. Eysseric,M,,181.0,141,M,139798,EUR,701481600,M,13,13,False,48.0,37.0,3.0,2.0,13.0,13.0,25.0,40.0,4.0,,,,83.0,66.0,7.6,20.0,2,5.0,1.0,1.0,1.0,4.0,3.0,1.0,,2.0,1.0,,,6.0,,,,,1.0,1.0,2.0,,1.0,,,,,1.0,2.0,,,,,,,,,
