match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_jerseyNumber,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_wasFouled,player_firstName,player_lastName,stat_totalContest,stat_wonContest,stat_bigChanceMissed,captain,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,stat_bigChanceCreated,stat_goalAssist,stat_penaltyConceded,stat_goodHighClaim,player_sofascoreId
10438034,home,Santa Clara,Marco Pereira,marco-pereira,Marco,G,185,11,M,44630,EUR,537408000,G,99,99,False,21.0,16.0,9.0,4.0,15.0,15.0,1.0,6.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,90.0,30.0,6.3,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438034,home,Santa Clara,Pierre Sagna,pierre-sagna,P. Sagna,D,183,17,M,135130,EUR,651196800,D,95,95,False,31.0,25.0,3.0,,11.0,14.0,16.0,24.0,1.0,6.0,,,,,,77.0,55.0,7.1,12.0,1,7.0,2.0,2.0,4.0,3.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,
10438034,home,Santa Clara,Kennedy Boateng,kennedy-boateng,K. Boateng,D,191,330,M,845884,EUR,849225600,D,4,4,False,56.0,41.0,13.0,8.0,27.0,34.0,14.0,22.0,1.0,4.0,,,,,,90.0,64.0,6.7,16.0,1,,,2.0,8.0,5.0,9.0,1.0,1.0,1.0,1.0,,1.0,,4,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10438034,home,Santa Clara,Paulo,paulo,Paulo,D,187,57,M,1018886,EUR,1013644800,D,43,43,False,50.0,40.0,8.0,3.0,32.0,36.0,8.0,14.0,3.0,3.0,,,,,,90.0,62.0,6.4,11.0,0,,,2.0,3.0,5.0,6.0,,1.0,1.0,1.0,1.0,3.0,,2,,,,2.0,,,,,,,,,,,,,,,
10438034,home,Santa Clara,Paulo Henrique,paulo-henrique,P. Henrique,D,182,49,M,342981,EUR,846028800,D,16,16,False,27.0,18.0,6.0,2.0,8.0,11.0,11.0,19.0,,4.0,,,,,,90.0,58.0,6.9,19.0,1,3.0,1.0,,2.0,2.0,7.0,1.0,2.0,2.0,2.0,,2.0,,23,1.0,,,2.0,,,1.0,1.0,1.0,,,,,,,,,,
10438034,home,Santa Clara,Anderson Carvalho,anderson-carvalho,A. Carvalho,M,176,20,M,206770,EUR,643161600,M,8,8,False,43.0,34.0,11.0,5.0,21.0,24.0,13.0,20.0,2.0,8.0,,,,,,77.0,57.0,6.8,12.0,1,1.0,,1.0,,4.0,6.0,1.0,1.0,2.0,2.0,,1.0,1.0,,,1.0,,4.0,,,1.0,,,True,,,,,,,,,
10438034,home,Santa Clara,Victor Bobsin,victor-bobsin,V. Bobsin,M,184,110,M,905451,EUR,947635200,M,80,80,False,46.0,39.0,4.0,3.0,20.0,23.0,19.0,23.0,1.0,8.0,,,,,,90.0,63.0,7.0,10.0,0,,,1.0,2.0,5.0,9.0,,2.0,1.0,1.0,,1.0,1.0,8,,2.0,1.0,3.0,,,4.0,3.0,,,,,,,,,,,
10438034,home,Santa Clara,Rildo,rildo,Rildo,F,178,262,M,1047095,EUR,948412800,M,37,37,False,15.0,9.0,,,2.0,3.0,7.0,13.0,,5.0,,,,,,90.0,34.0,6.8,14.0,3,1.0,,3.0,,8.0,3.0,,,,,1.0,,1.0,37,,2.0,,2.0,,,4.0,1.0,,,2.0,1.0,1.0,1.0,,,,,
10438034,home,Santa Clara,Ricardinho,ricardinho,Ricardinho,M,178,116,M,1094399,EUR,902361600,M,10,10,False,23.0,18.0,4.0,3.0,8.0,8.0,10.0,15.0,,2.0,,,,,,83.0,34.0,6.3,9.0,0,,,,,4.0,2.0,,,,,2.0,2.0,1.0,21,,1.0,,1.0,,,2.0,1.0,,,,,,,,,,,
10438034,home,Santa Clara,Allano,allano,Allano,M,182,485,M,796925,EUR,798681600,M,7,7,False,25.0,19.0,3.0,,5.0,6.0,16.0,25.0,,3.0,,,,,,68.0,58.0,6.6,22.0,2,6.0,2.0,2.0,1.0,10.0,7.0,1.0,,1.0,1.0,5.0,2.0,1.0,29,2.0,2.0,,2.0,,,6.0,3.0,,,1.0,,,,1.0,,,,
