match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_totalCross,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_aerialLost,stat_duelLost,stat_clearanceOffLine,stat_outfielderBlock,stat_wasFouled,captain,stat_aerialWon,stat_onTargetScoringAttempt,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_dispossessed,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_keyPass,player_firstName,player_lastName,stat_challengeLost,stat_totalContest,stat_wonContest,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_shotOffTarget,stat_bigChanceMissed,stat_goodHighClaim,player_sofascoreId,stat_hitWoodwork,stat_totalOffside
11406816,home,Sassuolo,Andrea Consigli,andrea-consigli,A. Consigli,G,189,262,M,38618,EUR,538704000,G,47,47,False,27.0,22.0,6.0,1.0,21.0,22.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,90.0,33.0,6.5,5.0,0.00030082,0,-0.0154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406816,home,Sassuolo,Jeremy Toljan,jeremy-toljan,J. Toljan,D,182,343,M,149606,EUR,776304000,D,22,22,False,36.0,30.0,4.0,1.0,16.0,16.0,14.0,22.0,,8.0,,,,90.0,50.0,6.6,9.0,0.00560001,0,,22,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406816,home,Sassuolo,Ruan,ruan,Ruan,D,187,1238,M,914487,EUR,928713600,D,44,44,False,63.0,54.0,11.0,9.0,45.0,52.0,9.0,11.0,3.0,3.0,,,,90.0,72.0,7.5,9.0,0.0018145,0,,4,,2.0,,,,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
11406816,home,Sassuolo,Gian Marco Ferrari,gian-marco-ferrari,G. M. Ferrari,D,189,224,M,170887,EUR,705888000,D,13,13,False,75.0,66.0,12.0,5.0,46.0,46.0,20.0,29.0,2.0,4.0,,,,90.0,83.0,7.1,9.0,0.0120161,1,,,,2.0,2.0,1.0,,1.0,2.0,,1.0,,True,1.0,1.0,1.0,0.0198,0.1455,,,,,,,,,,,,,,,,,,,
11406816,home,Sassuolo,Josh Doig,josh-doig,J. Doig,D,189,836,M,989276,EUR,1021680000,D,43,43,False,36.0,28.0,4.0,3.0,14.0,17.0,15.0,23.0,1.0,2.0,,,,90.0,60.0,6.6,18.0,0.0429015,1,,3,4.0,1.0,1.0,1.0,1.0,2.0,5.0,,,,,,,2.0,0.0146,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11406816,home,Sassuolo,Uroš Račić,uros-racic,U. Račić,M,193,669,M,839909,EUR,890092800,M,6,6,False,43.0,36.0,6.0,2.0,15.0,17.0,21.0,28.0,,4.0,,,,72.0,51.0,7.0,10.0,0.023192,2,,10,2.0,5.0,,,,,1.0,,,,,2.0,1.0,,0.1773,0.2716,,,1.0,1.0,1.0,,,1.0,3.0,3.0,,,,,,,,,
11406816,home,Sassuolo,Matheus Henrique,matheus-henrique,M. Henrique,M,175,2961,M,912786,EUR,882489600,M,7,7,False,28.0,22.0,3.0,1.0,6.0,8.0,19.0,28.0,,4.0,,,,79.0,45.0,7.6,16.0,0.193836,0,,8,8.0,2.0,,1.0,1.0,,1.0,,,1.0,,,,1.0,,,3.0,,,4.0,4.0,,,,,,1.0,1.0,,,,,,,
11406816,home,Sassuolo,Grégoire Defrel,gregoire-defrel,G. Defrel,F,179,185,M,148566,EUR,677116800,M,92,92,False,31.0,28.0,2.0,1.0,9.0,9.0,20.0,23.0,2.0,,,,,79.0,46.0,7.2,9.0,0.205608,2,,92,1.0,2.0,,1.0,,1.0,7.0,,,,,,2.0,1.0,0.4087,0.9596,1.0,2.0,,2.0,1.0,,,1.0,3.0,1.0,,,1.0,,,,,,
11406816,home,Sassuolo,Kristian Thorstvedt,kristian-thorstvedt,K. Thorstvedt,M,187,1387,M,924973,EUR,921283200,M,42,42,False,61.0,52.0,9.0,5.0,21.0,22.0,31.0,39.0,,6.0,,,,90.0,80.0,7.9,13.0,0.0886357,1,,42,,11.0,1.0,7.0,6.0,1.0,2.0,,,2.0,,1.0,,,0.0194,,,,,3.0,3.0,,,,2.0,1.0,,,,1.0,,,,,
11406816,home,Sassuolo,Armand Laurienté,armand-lauriente,A. Laurienté,M,177,2531,M,932643,EUR,912729600,M,45,45,False,25.0,20.0,1.0,1.0,3.0,3.0,18.0,28.0,,1.0,,,,89.0,50.0,7.6,17.0,0.149965,3,,45,6.0,8.0,,,,1.0,4.0,,,1.0,,1.0,,1.0,0.0946,,1.0,,,4.0,,,,,8.0,6.0,,,,3.0,,,,,
