match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_aerialLost,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalCross,stat_challengeLost,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,stat_shotOffTarget,stat_expectedGoals,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_keyPass,captain,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,player_sofascoreId,stat_goals,stat_blockedScoringAttempt
12530761,home,Başakşehir FK,Muhammed Şengezer,muhammed-sengezer,M. Şengezer,G,16,185,464,M,827418,EUR,852422400,G,16,16,False,45.0,34.0,25.0,14.0,0.0,24.0,25.0,10.0,20.0,1.0,7.0,3.0,1.0,1.0,90.0,52.0,7.4,11.0,0.00739481,0,0.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530761,home,Başakşehir FK,Léo Duarte,leo-duarte,L. Duarte,D,5,183,505,M,839982,EUR,837561600,D,5,5,False,20.0,17.0,3.0,2.0,0.0,10.0,10.0,7.0,10.0,4.0,3.0,,,,90.0,35.0,7.2,5.0,0.00514594,0,,3.0,1.0,5.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12530761,home,Başakşehir FK,Jerome Opoku,opoku-jerome,J. Opoku,D,3,194,1395,M,920514,EUR,908323200,D,3,3,False,38.0,34.0,4.0,2.0,0.0,32.0,35.0,2.0,3.0,10.0,5.0,,,,90.0,56.0,7.7,6.0,0.00082356,0,,4.0,1.0,7.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12530761,home,Başakşehir FK,Lucas Lima,lucas-lima,L. Lima,D,3,178,140,M,248529,EUR,687052800,D,6,6,False,42.0,33.0,8.0,4.0,0.0,19.0,22.0,14.0,21.0,2.0,4.0,,,,90.0,60.0,6.9,15.0,0.0076249,0,,2.0,4.0,2.0,,,,,3.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
12530761,home,Başakşehir FK,Berat Ayberk Özdemir,berat-ayberk-ozdemir,B. A. Özdemir,M,2,187,216,M,876857,EUR,895881600,M,2,2,False,41.0,35.0,4.0,3.0,0.0,27.0,29.0,8.0,12.0,3.0,8.0,,,,90.0,54.0,7.4,6.0,0.00746701,1,,1.0,2.0,4.0,,1.0,,2.0,1.0,,,3.0,,1.0,,,,,1.0,0.0104,,,,,,,,,,,
12530761,home,Başakşehir FK,Deniz Türüç,deniz-turuc,D. Türüç,M,9,175,292,M,252207,EUR,728265600,M,23,23,False,27.0,18.0,7.0,4.0,1.0,7.0,9.0,13.0,24.0,1.0,1.0,,,,83.0,44.0,7.4,16.0,0.179664,2,,3.0,3.0,4.0,1.0,,,1.0,,,,1.0,6.0,,1.0,1.0,,,2.0,0.0499,2.0,1.0,1.0,2.0,,,,,,,
12530761,home,Başakşehir FK,Olivier Kemen,olivier-kemen,O. Kemen,M,8,177,827,M,280447,EUR,837820800,M,8,8,False,23.0,14.0,3.0,1.0,2.0,7.0,9.0,8.0,15.0,,4.0,,,,82.0,38.0,8.2,14.0,0.254923,1,,1.0,3.0,6.0,2.0,3.0,3.0,1.0,,1.0,,2.0,1.0,1.0,3.0,,,,1.0,0.0263,1.0,1.0,1.0,3.0,,,,,,,
12530761,home,Başakşehir FK,Miguel Crespo,miguel-crespo,M. Crespo,M,13,187,618,M,972410,EUR,842400000,M,13,13,False,29.0,25.0,,,0.0,19.0,21.0,6.0,8.0,1.0,8.0,,,,74.0,40.0,6.8,8.0,0.00543656,1,,,4.0,5.0,3.0,3.0,2.0,1.0,1.0,1.0,,,,,2.0,1.0,,,1.0,0.048,,,,1.0,,,,,,,
12530761,home,Başakşehir FK,Ömer Ali Şahiner,omer-ali-sahiner,Ö. A. Şahiner,D,42,175,88,M,103912,EUR,694310400,M,42,42,False,14.0,8.0,3.0,1.0,0.0,3.0,5.0,5.0,11.0,1.0,1.0,,,,74.0,25.0,6.7,9.0,0.00842539,1,,,5.0,1.0,,1.0,,,3.0,,,,2.0,,1.0,2.0,,,,0.0328,,,,1.0,True,1.0,1.0,0.0121,,,
12530761,home,Başakşehir FK,Krzysztof Piątek,krzysztof-piatek,K. Piątek,F,9,183,13169,M,558738,EUR,804556800,F,9,9,False,17.0,14.0,4.0,3.0,0.0,2.0,2.0,13.0,16.0,2.0,2.0,,,,83.0,31.0,9.5,6.0,0.0613059,3,,1.0,5.0,2.0,2.0,,,1.0,3.0,,,,1.0,,1.0,1.0,,,,0.7016,1.0,,,4.0,,3.0,,2.2148,pjona_9,3.0,
