match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,player_sofascoreId,stat_aerialLost,stat_dispossessed,player_firstName,player_lastName,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_hitWoodwork,stat_expectedGoalsOnTarget,stat_goals,captain,stat_bigChanceCreated,stat_errorLeadToAShot,stat_bigChanceMissed,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside
12421140,home,KVC Westerlo,Koen Van Langendonck,koen-van-langendonck,K. V. Langendonck,G,30,188,44,M,247481,EUR,613353600,G,30,30,False,30.0,25.0,14.0,9.0,0.0,16.0,18.0,9.0,12.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,90.0,35.0,7.4,5.0,0.00330115,0,0.2989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421140,home,KVC Westerlo,Bryan Reynolds,bryan-reynolds,B. Reynolds,D,22,185,426,M,862075,EUR,993686400,D,22,22,False,34.0,22.0,7.0,3.0,0.0,6.0,9.0,17.0,26.0,,1.0,2.0,7.0,,,,90.0,56.0,6.6,18.0,0.0577752,1,,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0155,1.0,,,,,,,,,,,,,,,,,,,,,,,
12421140,home,KVC Westerlo,Luka Vušković,luka-vuskovic,L. Vušković,D,44,193,11576,M,1405212,EUR,1172275200,D,44,44,False,49.0,42.0,10.0,6.0,0.0,27.0,29.0,15.0,20.0,5.0,6.0,3.0,5.0,,,,90.0,60.0,7.0,10.0,0.00845555,2,,,,6.0,1.0,,2.0,1.0,1.0,1.0,0.0887,,lukavuskovic,3.0,2.0,,,,,,,,,,,,,,,,,,,,
12421140,home,KVC Westerlo,Emin Bayram,emin-bayram,E. Bayram,D,40,193,768,M,997153,EUR,1049241600,D,40,40,False,55.0,46.0,17.0,11.0,0.0,35.0,38.0,11.0,17.0,1.0,4.0,11.0,2.0,,,,90.0,76.0,7.8,9.0,0.00695509,0,,,,3.0,,1.0,,,,,,,,3.0,,,,1.0,2.0,4.0,2.0,1.0,,,,,,,,,,,,,
12421140,home,KVC Westerlo,Tuur Rommens,rommens-tuur,T. Rommens,D,25,185,329,M,1130011,EUR,1048636800,D,25,25,False,31.0,17.0,5.0,2.0,1.0,8.0,13.0,10.0,19.0,1.0,8.0,2.0,6.0,,,,90.0,61.0,7.8,18.0,0.04566,4,,1.0,1.0,4.0,1.0,,2.0,1.0,4.0,1.0,0.3769,1.0,,,2.0,,,,,,3.0,1.0,1.0,1.0,1.0,0.6784,,,,,,,,,
12421140,home,KVC Westerlo,Alfie Devine,alfie-devine,A. Devine,M,21,182,1496,M,1049459,EUR,1091318400,M,10,10,False,17.0,12.0,1.0,1.0,0.0,2.0,5.0,10.0,14.0,,3.0,,4.0,,,,84.0,34.0,8.4,14.0,0.0199582,2,,2.0,,4.0,1.0,3.0,,4.0,,,0.522,,,,1.0,,,1.0,,,2.0,2.0,2.0,,,1.5235,2.0,,,,,,,,
12421140,home,KVC Westerlo,Doğucan Haspolat,dogucan-haspolat,D. Haspolat,M,34,177,454,M,846087,EUR,950227200,M,34,34,False,38.0,27.0,10.0,4.0,1.0,15.0,16.0,14.0,31.0,,6.0,2.0,3.0,,,,90.0,62.0,7.9,20.0,0.145262,1,,9.0,2.0,5.0,,3.0,1.0,,1.0,2.0,0.0146,5.0,,2.0,1.0,,,2.0,1.0,1.0,3.0,2.0,,,,,,True,1.0,,,,,,
12421140,home,KVC Westerlo,Serhiy Sydorchuk,serhiy-sydorchuk,S. Sydorchuk,M,8,189,289,M,81202,EUR,673142400,M,15,15,False,27.0,22.0,1.0,1.0,0.0,7.0,8.0,15.0,19.0,,1.0,3.0,5.0,,,,79.0,42.0,6.7,13.0,0.259064,0,,,,7.0,1.0,4.0,,3.0,,2.0,,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
12421140,home,KVC Westerlo,Griffin Yow,griffin-yow,G. Yow,M,18,173,283,M,979808,EUR,1032912000,F,18,18,False,15.0,10.0,2.0,2.0,0.0,7.0,7.0,5.0,14.0,,9.0,1.0,7.0,,,,84.0,44.0,8.0,15.0,0.479089,3,,6.0,2.0,5.0,1.0,5.0,,5.0,,1.0,0.4031,3.0,,2.0,,,,4.0,,,5.0,3.0,2.0,1.0,,0.763,1.0,,1.0,1.0,,,,,
12421140,home,KVC Westerlo,Matija Frigan,matija-frigan,M. Frigan,F,20,184,1391,M,1092081,EUR,1044921600,F,9,9,False,15.0,7.0,,,0.0,3.0,4.0,4.0,11.0,1.0,1.0,,3.0,,,,90.0,24.0,6.6,11.0,0.0348138,3,,,,6.0,1.0,1.0,1.0,2.0,,2.0,0.4428,2.0,,2.0,,,,,,,,,1.0,1.0,,0.191,,,,,,,,,
