match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_jerseyNumber,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_blockedScoringAttempt,stat_totalOffside,stat_keyPass,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_errorLeadToAGoal,stat_goalAssist
11409057,home,Rio Ave,Jhonatan,jhonatan,Jhonatan,G,189,96,M,798688,EUR,673660800,G,18,18,False,35.0,33.0,5.0,3.0,32.0,33.0,1.0,2.0,9.0,4.0,5.0,90.0,48.0,7.4,2.0,0.00017953,0,0.2824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409057,home,Rio Ave,Josué Sá,josue-sa,J. Sá,D,186,48,M,137982,EUR,708739200,D,23,23,False,61.0,54.0,6.0,2.0,43.0,46.0,11.0,15.0,5.0,,,90.0,77.0,7.0,11.0,0.00514212,0,,,,3,1.0,5.0,2.0,9.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11409057,home,Rio Ave,Aderllan Santos,aderllan-santos,A. Santos,D,193,103,M,129617,EUR,608083200,D,33,33,False,95.0,88.0,12.0,6.0,75.0,75.0,13.0,20.0,4.0,,,90.0,105.0,7.6,7.0,0.00514471,0,,,,33,,2.0,1.0,3.0,,,2.0,1.0,1.0,,,1.0,True,1.0,2.0,1.0,,,,,,,,,,,,,,,,
11409057,home,Rio Ave,Patrick William,patrick-william,P. William,D,186,83,M,921624,EUR,865296000,D,4,4,False,58.0,49.0,5.0,1.0,41.0,46.0,8.0,12.0,3.0,,,70.0,70.0,6.6,11.0,0.00180256,2,,,,,,2.0,3.0,6.0,,,1.0,4.0,1.0,1.0,,1.0,,,,,2.0,1.0,1.0,0.0565,0.046,,,,,,,,,,,
11409057,home,Rio Ave,Costinha,costinha,Costinha,D,181,818,M,988333,EUR,954028800,M,20,20,False,32.0,26.0,4.0,2.0,16.0,17.0,12.0,17.0,8.0,,,90.0,69.0,7.2,13.0,0.0954989,2,,,,20,,,4.0,7.0,5.0,4.0,2.0,2.0,2.0,3.0,1.0,,,,,,2.0,1.0,,0.1044,,2.0,2.0,1.0,1.0,1.0,1.0,,,,,
11409057,home,Rio Ave,Joca Fernandes,joca-fernandes,J. Fernandes,M,167,50,M,583834,EUR,822873600,M,14,14,False,25.0,21.0,2.0,2.0,6.0,7.0,15.0,19.0,5.0,,,70.0,43.0,6.9,9.0,0.183037,0,,,,8,1.0,,5.0,5.0,4.0,2.0,,2.0,,1.0,1.0,1.0,,,,2.0,1.0,,,,,1.0,,,,,,,,,,
11409057,home,Rio Ave,Amine Oudrhiri,amine-oudrhiri,A. Oudrhiri,M,184,104,M,374560,EUR,720835200,M,10,10,False,45.0,42.0,5.0,2.0,28.0,28.0,15.0,19.0,6.0,,,90.0,57.0,7.0,6.0,0.0663342,0,,,,95,,1.0,4.0,5.0,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,,,,,2.0,1.0,1.0,,,1.0,,,,,
11409057,home,Rio Ave,João Graça,joao-graca,J. Graça,M,177,46,M,309296,EUR,803433600,M,21,21,False,51.0,42.0,4.0,2.0,25.0,26.0,17.0,25.0,3.0,,,78.0,55.0,6.6,12.0,0.0527956,0,,,,21,,1.0,4.0,2.0,1.0,,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,1.0,,,,,,,,
11409057,home,Rio Ave,Fábio Ronaldo,fabio-ronaldo,F. Ronaldo,F,178,236,M,1134514,EUR,988416000,M,77,77,False,26.0,21.0,4.0,3.0,9.0,11.0,12.0,16.0,4.0,,,78.0,45.0,6.6,13.0,0.0329989,0,,,,11,,,7.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,1.0,3.0,,,,,1.0,,2.0,,,,,,,,
11409057,home,Rio Ave,Aziz,aziz,Aziz,F,187,741,M,984147,EUR,910656000,F,81,81,False,18.0,10.0,,,3.0,4.0,7.0,14.0,,,,83.0,27.0,7.1,15.0,0.294077,1,,,,9,,1.0,1.0,1.0,,,,,,5.0,,,,,,,,1.0,,0.085,,,,1.0,,4.0,2.0,1.0,,,,
