match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_fouls,stat_aerialLost,stat_dispossessed,stat_totalContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_expectedGoals,stat_shotOffTarget,stat_wonContest,stat_penaltyWon,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_totalOffside,stat_errorLeadToAGoal,stat_goodHighClaim,stat_penaltyFaced,stat_penaltyConceded
12514209,home,Sporting Braga,Lukáš Horníček,lukas-hornicek,L. Horníček,G,1,194,548,M,963744,EUR,1026518400,G,91,91,False,46.0,36.0,21.0,12.0,0.0,30.0,35.0,6.0,11.0,7.0,1.0,1.0,3.0,1.0,1.0,90.0,53.0,7.3,10.0,0.00163665,0,0.5485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514209,home,Sporting Braga,Victor Gómez,victor-gomez,V. Gómez,D,2,169,297,M,877918,EUR,954547200,D,2,2,False,69.0,57.0,7.0,2.0,0.0,20.0,23.0,40.0,55.0,5.0,,,,,,90.0,107.0,7.9,20.0,0.0995251,0,,9.0,3.0,1.0,1.0,6.0,1.0,5.0,1.0,3.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
12514209,home,Sporting Braga,Sikou Niakaté,sikou-niakate,S. Niakaté,D,4,186,1565,M,868235,EUR,931564800,D,4,4,False,83.0,81.0,4.0,4.0,0.0,50.0,51.0,31.0,32.0,3.0,,,,,,78.0,88.0,7.1,3.0,0.0225949,0,,,,1.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514209,home,Sporting Braga,Bright Arrey-Mbi,bright-arrey-mbi,B. Arrey-Mbi,D,26,187,788,M,997173,EUR,1048636800,D,26,26,False,80.0,76.0,,,0.0,54.0,55.0,22.0,25.0,4.0,1.0,,,,,90.0,81.0,6.7,4.0,0.0078573,0,,,,1.0,2.0,1.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
12514209,home,Sporting Braga,Francisco Chissumba,francisco-chissumba,F. Chissumba,D,55,180,264,M,1158067,EUR,1117324800,D,55,55,False,48.0,46.0,,,0.0,17.0,18.0,29.0,34.0,3.0,,,,,,90.0,72.0,7.0,11.0,0.0182115,1,,4.0,,1.0,6.0,2.0,,4.0,,1.0,1.0,2.0,,,Francisco,Chissumba,2.0,2.0,1.0,1.0,1.0,1.0,0.0435,,,,,,,,,,,,,,
12514209,home,Sporting Braga,Vítor Carvalho,vitor-carvalho,V. Carvalho,M,6,183,434,M,887754,EUR,864691200,M,6,6,False,64.0,53.0,7.0,4.0,0.0,22.0,27.0,31.0,37.0,5.0,,,,,,90.0,70.0,7.0,12.0,0.0155932,1,,,,3.0,4.0,5.0,,,1.0,1.0,1.0,,1.0,,,,1.0,2.0,1.0,,,,0.0304,1.0,,,,,,,,,,,,,
12514209,home,Sporting Braga,Jean-Baptiste Gorby,jean-baptiste-gorby,J. Gorby,M,29,181,4294,M,1120039,EUR,1027555200,M,29,29,False,54.0,49.0,8.0,5.0,0.0,21.0,23.0,28.0,31.0,4.0,,,,,,73.0,57.0,6.7,5.0,0.0136216,1,,,,,2.0,1.0,1.0,,,,,,1.0,,,,1.0,,,,1.0,1.0,0.0187,,,,,,,,,,,,,,
12514209,home,Sporting Braga,Ismael Gharbi,gharbi-ismael,I. Gharbi,M,11,173,7580,M,1113488,EUR,1081555200,M,20,20,False,25.0,21.0,1.0,,0.0,3.0,4.0,19.0,29.0,5.0,,,,,,73.0,49.0,7.3,16.0,0.112839,0,,8.0,1.0,,2.0,3.0,,1.0,1.0,1.0,,2.0,1.0,1.0,,,,,1.0,2.0,,,,,1.0,1.0,,,,,,,,,,,
12514209,home,Sporting Braga,Ricardo Horta,ricardo-horta,R. Horta,M,21,173,2145,M,314380,EUR,779587200,M,21,21,False,26.0,23.0,,,0.0,6.0,7.0,17.0,19.0,,,,,,,62.0,36.0,7.3,4.0,0.0407381,2,,,,,2.0,2.0,,,,2.0,2.0,,,1.0,,,1.0,,,1.0,,,1.0002,1.0,,,True,1.0,1.0,1.0,0.8637,,,,,,
12514209,home,Sporting Braga,Bruma,bruma,Bruma,F,7,173,2690,M,97012,EUR,782956800,M,7,7,False,31.0,28.0,3.0,2.0,1.0,5.0,5.0,23.0,27.0,2.0,,,,,,62.0,39.0,7.8,6.0,0.518786,3,,1.0,,,1.0,1.0,,,,1.0,,,,2.0,,,,,,1.0,1.0,,0.1119,2.0,,,,,,,,2.0,1.0,,,,
